# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
BOARD1,SMD,10x7cm,BOARD-DINRAIL-3.17INX7CM,10x7cm-board-dinrail-3.17inx7cm,34.85,50.48,0.00,0.00
C1,PTH,0.1uF,C050-024X044,0.1uf-c050-024x044,0.00,0.00,90.00,-90.00
C2,PTH,0.1uF,C050-024X044,0.1uf-c050-024x044,0.00,0.00,270.00,90.00
JP1,PTH,1x3,1X03,1x3-1x03,0.00,0.00,90.00,-90.00
LOGO1,PTH,DOC-OSHW-LOGO-L,OSHW-LOGO-L,doc-oshw-logo-l-oshw-logo-l,0.00,0.00,0.00,0.00
RS1,PTH,10K OHM "B" TAPER,SLIDER-45MM,10k ohm "b" taper-slider-45mm,0.00,0.00,270.00,90.00
RS2,PTH,10K OHM "B" TAPER,SLIDER-45MM,10k ohm "b" taper-slider-45mm,0.00,0.00,270.00,90.00
RS3,PTH,10K OHM "B" TAPER,SLIDER-45MM,10k ohm "b" taper-slider-45mm,0.00,0.00,270.00,90.00
RS4,PTH,10K OHM "B" TAPER,SLIDER-45MM,10k ohm "b" taper-slider-45mm,0.00,0.00,270.00,90.00
X1,PTH,RJ45/8,RJ45-NO-SHIELD,rj45/8-rj45-no-shield,0.00,0.00,180.00,-180.00
