# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
BOARD1,PTH,,BOARD-DINRAIL-3.17INX10CM,-board-dinrail-3.17inx10cm,0.00,0.00,0.00,0.00
C1,SMD,220uF,0810-CAP,220uf-0810-cap,62.23,67.31,270.00,90.00
C2,SMD,1uF,0603-CAP,1uf-0603-cap,53.34,49.53,0.00,0.00
C3,SMD,10uF,0603-CAP,10uf-0603-cap,53.34,39.37,0.00,0.00
C4,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,68.58,84.45,90.00,-90.00
CON1,PTH,,1X04_LOCK,-1x04_lock,0.00,0.00,270.00,90.00
FEATHER,PTH,FEATHERWING_NODIM,FEATHERWING_DIM,featherwing_nodim-featherwing_dim,0.00,0.00,270.00,90.00
R1,PTH,,AXIAL-0.4-RES,-axial-0.4-res,0.00,0.00,180.00,-180.00
R2,PTH,,AXIAL-0.4-RES,-axial-0.4-res,0.00,0.00,0.00,0.00
SDISHIELD,PTH,ARDUINOR3_VIAS,ARDUINO_R3_VIAS,arduinor3_vias-arduino_r3_vias,0.00,0.00,270.00,90.00
SW1,PTH,,SWITCH-SPDT,-switch-spdt,0.00,0.00,0.00,0.00
VR1,SMD,,TO-252,-to-252,55.99,44.45,0.00,0.00
