# name, smd?, value, package, component, x, y, angle
J1X11, PTH, , RJ45-NO-SHIELD, -rj45-no-shield, 0.00, 0.00, 180.00
J1X12, PTH, , RJ45-NO-SHIELD, -rj45-no-shield, 0.00, 0.00, 180.00
J1X21, PTH, , RJ45-NO-SHIELD, -rj45-no-shield, 0.00, 0.00, 180.00
J1X22, PTH, , RJ45-NO-SHIELD, -rj45-no-shield, 0.00, 0.00, 180.00
J1X31, PTH, , RJ45-NO-SHIELD, -rj45-no-shield, 0.00, 0.00, 180.00
J1X32, PTH, , RJ45-NO-SHIELD, -rj45-no-shield, 0.00, 0.00, 180.00
J2X11, PTH, , SCREWTERMINAL-3.5MM-8, -screwterminal-3.5mm-8, 0.00, 0.00, 180.00
J2X12, PTH, , SCREWTERMINAL-3.5MM-8, -screwterminal-3.5mm-8, 0.00, 0.00, 180.00
J2X21, PTH, , SCREWTERMINAL-3.5MM-8, -screwterminal-3.5mm-8, 0.00, 0.00, 180.00
J2X22, PTH, , SCREWTERMINAL-3.5MM-8, -screwterminal-3.5mm-8, 0.00, 0.00, 180.00
J2X31, PTH, , SCREWTERMINAL-3.5MM-8, -screwterminal-3.5mm-8, 0.00, 0.00, 180.00
J2X32, PTH, , SCREWTERMINAL-3.5MM-8, -screwterminal-3.5mm-8, 0.00, 0.00, 180.00
J3X11, PTH, , KK-156-8-F, -kk-156-8-f, 0.00, 0.00, 180.00
J3X12, PTH, , KK-156-8-F, -kk-156-8-f, 0.00, 0.00, 180.00
J3X21, PTH, , KK-156-8-F, -kk-156-8-f, 0.00, 0.00, 180.00
J3X22, PTH, , KK-156-8-F, -kk-156-8-f, 0.00, 0.00, 180.00
J3X31, PTH, , KK-156-8-F, -kk-156-8-f, 0.00, 0.00, 180.00
J3X32, PTH, , KK-156-8-F, -kk-156-8-f, 0.00, 0.00, 180.00
J4X11, PTH, , SCREWTERMINAL-3.5MM-4_LOCK, -screwterminal-3.5mm-4_lock, 0.00, 0.00, 270.00
