# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
CON1X11,PTH,3.5mm,SCREWTERMINAL-3.5MM-3_LOCK.007S,3.5mm-screwterminal-3.5mm-3_lock.007s,0.00,0.00,270.00,90.00
CON1X12,PTH,3.5mm,SCREWTERMINAL-3.5MM-3_LOCK.007S,3.5mm-screwterminal-3.5mm-3_lock.007s,0.00,0.00,270.00,90.00
CON1X21,PTH,3.5mm,SCREWTERMINAL-3.5MM-3_LOCK.007S,3.5mm-screwterminal-3.5mm-3_lock.007s,0.00,0.00,270.00,90.00
CON1X22,PTH,3.5mm,SCREWTERMINAL-3.5MM-3_LOCK.007S,3.5mm-screwterminal-3.5mm-3_lock.007s,0.00,0.00,270.00,90.00
CON1X31,PTH,3.5mm,SCREWTERMINAL-3.5MM-3_LOCK.007S,3.5mm-screwterminal-3.5mm-3_lock.007s,0.00,0.00,270.00,90.00
CON1X32,PTH,3.5mm,SCREWTERMINAL-3.5MM-3_LOCK.007S,3.5mm-screwterminal-3.5mm-3_lock.007s,0.00,0.00,270.00,90.00
J1X11,PTH,RJ45,RJ45-NO-SHIELD,rj45-rj45-no-shield,0.00,0.00,180.00,-180.00
J1X12,PTH,RJ45,RJ45-NO-SHIELD,rj45-rj45-no-shield,0.00,0.00,180.00,-180.00
J1X21,PTH,RJ45,RJ45-NO-SHIELD,rj45-rj45-no-shield,0.00,0.00,180.00,-180.00
J1X22,PTH,RJ45,RJ45-NO-SHIELD,rj45-rj45-no-shield,0.00,0.00,180.00,-180.00
J1X31,PTH,RJ45,RJ45-NO-SHIELD,rj45-rj45-no-shield,0.00,0.00,180.00,-180.00
J1X32,PTH,RJ45,RJ45-NO-SHIELD,rj45-rj45-no-shield,0.00,0.00,180.00,-180.00
J2X11,PTH,3.5mm,SCREWTERMINAL-3.5MM-8,3.5mm-screwterminal-3.5mm-8,0.00,0.00,180.00,-180.00
J2X12,PTH,3.5mm,SCREWTERMINAL-3.5MM-8,3.5mm-screwterminal-3.5mm-8,0.00,0.00,180.00,-180.00
J2X21,PTH,3.5mm,SCREWTERMINAL-3.5MM-8,3.5mm-screwterminal-3.5mm-8,0.00,0.00,180.00,-180.00
J2X22,PTH,3.5mm,SCREWTERMINAL-3.5MM-8,3.5mm-screwterminal-3.5mm-8,0.00,0.00,180.00,-180.00
J2X31,PTH,3.5mm,SCREWTERMINAL-3.5MM-8,3.5mm-screwterminal-3.5mm-8,0.00,0.00,180.00,-180.00
J2X32,PTH,3.5mm,SCREWTERMINAL-3.5MM-8,3.5mm-screwterminal-3.5mm-8,0.00,0.00,180.00,-180.00
J3X11,PTH,0.156,KK-156-8-F,0.156-kk-156-8-f,0.00,0.00,180.00,-180.00
J3X12,PTH,0.156,KK-156-8-F,0.156-kk-156-8-f,0.00,0.00,180.00,-180.00
J3X21,PTH,0.156,KK-156-8-F,0.156-kk-156-8-f,0.00,0.00,180.00,-180.00
J3X22,PTH,0.156,KK-156-8-F,0.156-kk-156-8-f,0.00,0.00,180.00,-180.00
J3X31,PTH,0.156,KK-156-8-F,0.156-kk-156-8-f,0.00,0.00,180.00,-180.00
J3X32,PTH,0.156,KK-156-8-F,0.156-kk-156-8-f,0.00,0.00,180.00,-180.00
J4X11,PTH,3.5mm,SCREWTERMINAL-3.5MM-4_LOCK,3.5mm-screwterminal-3.5mm-4_lock,0.00,0.00,90.00,-90.00
J4X12,PTH,3.5mm,SCREWTERMINAL-3.5MM-4_LOCK,3.5mm-screwterminal-3.5mm-4_lock,0.00,0.00,90.00,-90.00
J4X21,PTH,3.5mm,SCREWTERMINAL-3.5MM-4_LOCK,3.5mm-screwterminal-3.5mm-4_lock,0.00,0.00,90.00,-90.00
J4X22,PTH,3.5mm,SCREWTERMINAL-3.5MM-4_LOCK,3.5mm-screwterminal-3.5mm-4_lock,0.00,0.00,90.00,-90.00
J4X31,PTH,3.5mm,SCREWTERMINAL-3.5MM-4_LOCK,3.5mm-screwterminal-3.5mm-4_lock,0.00,0.00,90.00,-90.00
J4X32,PTH,3.5mm,SCREWTERMINAL-3.5MM-4_LOCK,3.5mm-screwterminal-3.5mm-4_lock,0.00,0.00,90.00,-90.00
J5X11,PTH,0.100,1X08_LOCK,0.100-1x08_lock,0.00,0.00,180.00,-180.00
J5X12,PTH,0.100,1X08_LOCK,0.100-1x08_lock,0.00,0.00,180.00,-180.00
J5X21,PTH,0.100,1X08_LOCK,0.100-1x08_lock,0.00,0.00,180.00,-180.00
J5X22,PTH,0.100,1X08_LOCK,0.100-1x08_lock,0.00,0.00,180.00,-180.00
J5X31,PTH,0.100,1X08_LOCK,0.100-1x08_lock,0.00,0.00,180.00,-180.00
J5X32,PTH,0.100,1X08_LOCK,0.100-1x08_lock,0.00,0.00,180.00,-180.00
M1X11,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
M1X12,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
M1X21,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
M1X22,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
M1X31,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
M1X32,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
M2X11,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
M2X12,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
M2X21,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
M2X22,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
M2X31,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
M2X32,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
R1X11,PTH,nostuff,AXIAL-0.4-RES,nostuff-axial-0.4-res,0.00,0.00,270.00,90.00
R1X12,PTH,nostuff,AXIAL-0.4-RES,nostuff-axial-0.4-res,0.00,0.00,270.00,90.00
R1X21,PTH,nostuff,AXIAL-0.4-RES,nostuff-axial-0.4-res,0.00,0.00,270.00,90.00
R1X22,PTH,nostuff,AXIAL-0.4-RES,nostuff-axial-0.4-res,0.00,0.00,270.00,90.00
R1X31,PTH,nostuff,AXIAL-0.4-RES,nostuff-axial-0.4-res,0.00,0.00,270.00,90.00
R1X32,PTH,nostuff,AXIAL-0.4-RES,nostuff-axial-0.4-res,0.00,0.00,270.00,90.00
R2X11,PTH,nostuff,AXIAL-0.4-RES,nostuff-axial-0.4-res,0.00,0.00,270.00,90.00
R2X12,PTH,nostuff,AXIAL-0.4-RES,nostuff-axial-0.4-res,0.00,0.00,270.00,90.00
R2X21,PTH,nostuff,AXIAL-0.4-RES,nostuff-axial-0.4-res,0.00,0.00,270.00,90.00
R2X22,PTH,nostuff,AXIAL-0.4-RES,nostuff-axial-0.4-res,0.00,0.00,270.00,90.00
R2X31,PTH,nostuff,AXIAL-0.4-RES,nostuff-axial-0.4-res,0.00,0.00,270.00,90.00
R2X32,PTH,nostuff,AXIAL-0.4-RES,nostuff-axial-0.4-res,0.00,0.00,270.00,90.00
R3X11,PTH,nostuff,AXIAL-0.4-RES,nostuff-axial-0.4-res,0.00,0.00,270.00,90.00
R3X12,PTH,nostuff,AXIAL-0.4-RES,nostuff-axial-0.4-res,0.00,0.00,270.00,90.00
R3X21,PTH,nostuff,AXIAL-0.4-RES,nostuff-axial-0.4-res,0.00,0.00,270.00,90.00
R3X22,PTH,nostuff,AXIAL-0.4-RES,nostuff-axial-0.4-res,0.00,0.00,270.00,90.00
R3X31,PTH,nostuff,AXIAL-0.4-RES,nostuff-axial-0.4-res,0.00,0.00,270.00,90.00
R3X32,PTH,nostuff,AXIAL-0.4-RES,nostuff-axial-0.4-res,0.00,0.00,270.00,90.00
R4X11,PTH,nostuff,AXIAL-0.4-RES,nostuff-axial-0.4-res,0.00,0.00,270.00,90.00
R4X12,PTH,nostuff,AXIAL-0.4-RES,nostuff-axial-0.4-res,0.00,0.00,270.00,90.00
R4X21,PTH,nostuff,AXIAL-0.4-RES,nostuff-axial-0.4-res,0.00,0.00,270.00,90.00
R4X22,PTH,nostuff,AXIAL-0.4-RES,nostuff-axial-0.4-res,0.00,0.00,270.00,90.00
R4X31,PTH,nostuff,AXIAL-0.4-RES,nostuff-axial-0.4-res,0.00,0.00,270.00,90.00
R4X32,PTH,nostuff,AXIAL-0.4-RES,nostuff-axial-0.4-res,0.00,0.00,270.00,90.00
R5X11,PTH,nostuff,AXIAL-0.4-RES,nostuff-axial-0.4-res,0.00,0.00,270.00,90.00
R5X12,PTH,nostuff,AXIAL-0.4-RES,nostuff-axial-0.4-res,0.00,0.00,270.00,90.00
R5X21,PTH,nostuff,AXIAL-0.4-RES,nostuff-axial-0.4-res,0.00,0.00,270.00,90.00
R5X22,PTH,nostuff,AXIAL-0.4-RES,nostuff-axial-0.4-res,0.00,0.00,270.00,90.00
R5X31,PTH,nostuff,AXIAL-0.4-RES,nostuff-axial-0.4-res,0.00,0.00,270.00,90.00
R5X32,PTH,nostuff,AXIAL-0.4-RES,nostuff-axial-0.4-res,0.00,0.00,270.00,90.00
R6X11,PTH,nostuff,AXIAL-0.4-RES,nostuff-axial-0.4-res,0.00,0.00,270.00,90.00
R6X12,PTH,nostuff,AXIAL-0.4-RES,nostuff-axial-0.4-res,0.00,0.00,270.00,90.00
R6X21,PTH,nostuff,AXIAL-0.4-RES,nostuff-axial-0.4-res,0.00,0.00,270.00,90.00
R6X22,PTH,nostuff,AXIAL-0.4-RES,nostuff-axial-0.4-res,0.00,0.00,270.00,90.00
