# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
CON1,PTH,2mm,4P-2.0,2mm-4p-2.0,0.00,0.00,0.00,0.00
CON2,PTH,2mm,4P-2.0,2mm-4p-2.0,0.00,0.00,0.00,0.00
CON3,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
CON4,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
J1,PTH,RJ45,RJ45-NO-SHIELD,rj45-rj45-no-shield,0.00,0.00,180.00,-180.00
R1,PTH,nostuff,CUT-R,nostuff-cut-r,0.00,0.00,90.00,-90.00
R2,PTH,nostuff,CUT-R,nostuff-cut-r,0.00,0.00,90.00,-90.00
R3,PTH,nostuff,CUT-R,nostuff-cut-r,0.00,0.00,90.00,-90.00
R4,PTH,nostuff,CUT-R,nostuff-cut-r,0.00,0.00,90.00,-90.00
R5,PTH,nostuff,CUT-R,nostuff-cut-r,0.00,0.00,90.00,-90.00
R6,PTH,nostuff,CUT-R,nostuff-cut-r,0.00,0.00,90.00,-90.00
U$1,PTH,OSHW,OSHW-LOGO-M,oshw-oshw-logo-m,0.00,0.00,0.00,0.00
