# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
CON1X11,PTH,2mm,4P-2.0,2mm-4p-2.0,0.00,0.00,0.00,0.00
CON1X12,PTH,2mm,4P-2.0,2mm-4p-2.0,0.00,0.00,0.00,0.00
CON1X21,PTH,2mm,4P-2.0,2mm-4p-2.0,0.00,0.00,0.00,0.00
CON1X22,PTH,2mm,4P-2.0,2mm-4p-2.0,0.00,0.00,0.00,0.00
CON2X11,PTH,2mm,4P-2.0,2mm-4p-2.0,0.00,0.00,0.00,0.00
CON2X12,PTH,2mm,4P-2.0,2mm-4p-2.0,0.00,0.00,0.00,0.00
CON2X21,PTH,2mm,4P-2.0,2mm-4p-2.0,0.00,0.00,0.00,0.00
CON2X22,PTH,2mm,4P-2.0,2mm-4p-2.0,0.00,0.00,0.00,0.00
CON3X11,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
CON3X12,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
CON3X21,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
CON3X22,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
CON4X11,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
CON4X12,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
CON4X21,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
CON4X22,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
J1X11,PTH,RJ45,RJ45-NO-SHIELD,rj45-rj45-no-shield,0.00,0.00,180.00,-180.00
J1X12,PTH,RJ45,RJ45-NO-SHIELD,rj45-rj45-no-shield,0.00,0.00,180.00,-180.00
J1X21,PTH,RJ45,RJ45-NO-SHIELD,rj45-rj45-no-shield,0.00,0.00,180.00,-180.00
J1X22,PTH,RJ45,RJ45-NO-SHIELD,rj45-rj45-no-shield,0.00,0.00,180.00,-180.00
R1X11,PTH,nostuff,CUT-R,nostuff-cut-r,0.00,0.00,90.00,-90.00
R1X12,PTH,nostuff,CUT-R,nostuff-cut-r,0.00,0.00,90.00,-90.00
R1X21,PTH,nostuff,CUT-R,nostuff-cut-r,0.00,0.00,90.00,-90.00
R1X22,PTH,nostuff,CUT-R,nostuff-cut-r,0.00,0.00,90.00,-90.00
R2X11,PTH,nostuff,CUT-R,nostuff-cut-r,0.00,0.00,90.00,-90.00
R2X12,PTH,nostuff,CUT-R,nostuff-cut-r,0.00,0.00,90.00,-90.00
R2X21,PTH,nostuff,CUT-R,nostuff-cut-r,0.00,0.00,90.00,-90.00
R2X22,PTH,nostuff,CUT-R,nostuff-cut-r,0.00,0.00,90.00,-90.00
R3X11,PTH,nostuff,CUT-R,nostuff-cut-r,0.00,0.00,90.00,-90.00
R3X12,PTH,nostuff,CUT-R,nostuff-cut-r,0.00,0.00,90.00,-90.00
R3X21,PTH,nostuff,CUT-R,nostuff-cut-r,0.00,0.00,90.00,-90.00
R3X22,PTH,nostuff,CUT-R,nostuff-cut-r,0.00,0.00,90.00,-90.00
R4X11,PTH,nostuff,CUT-R,nostuff-cut-r,0.00,0.00,90.00,-90.00
R4X12,PTH,nostuff,CUT-R,nostuff-cut-r,0.00,0.00,90.00,-90.00
R4X21,PTH,nostuff,CUT-R,nostuff-cut-r,0.00,0.00,90.00,-90.00
R4X22,PTH,nostuff,CUT-R,nostuff-cut-r,0.00,0.00,90.00,-90.00
R5X11,PTH,nostuff,CUT-R,nostuff-cut-r,0.00,0.00,90.00,-90.00
R5X12,PTH,nostuff,CUT-R,nostuff-cut-r,0.00,0.00,90.00,-90.00
R5X21,PTH,nostuff,CUT-R,nostuff-cut-r,0.00,0.00,90.00,-90.00
R5X22,PTH,nostuff,CUT-R,nostuff-cut-r,0.00,0.00,90.00,-90.00
R6X11,PTH,nostuff,CUT-R,nostuff-cut-r,0.00,0.00,90.00,-90.00
R6X12,PTH,nostuff,CUT-R,nostuff-cut-r,0.00,0.00,90.00,-90.00
R6X21,PTH,nostuff,CUT-R,nostuff-cut-r,0.00,0.00,90.00,-90.00
R6X22,PTH,nostuff,CUT-R,nostuff-cut-r,0.00,0.00,90.00,-90.00
U$1X1,PTH,BOARD,BOARD-SEEED10X10-NOHOLES,board-board-seeed10x10-noholes,0.00,0.00,0.00,0.00
U$1X11,PTH,OSHW,OSHW-LOGO-M,oshw-oshw-logo-m,0.00,0.00,0.00,0.00
U$1X12,PTH,OSHW,OSHW-LOGO-M,oshw-oshw-logo-m,0.00,0.00,0.00,0.00
U$1X21,PTH,OSHW,OSHW-LOGO-M,oshw-oshw-logo-m,0.00,0.00,0.00,0.00
U$1X22,PTH,OSHW,OSHW-LOGO-M,oshw-oshw-logo-m,0.00,0.00,0.00,0.00
