# name, smd?, value, package, component, x, y, angle
PAD1, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 90.00
PAD2, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 90.00
PAD10, SMD, , SMD1.27-2.54, -smd1.27-2.54, 9.53, 1.27, 270.00
PAD11, SMD, , SMD1.27-2.54, -smd1.27-2.54, 1.27, 29.85, 0.00
PAD12, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 180.00
PAD14, SMD, , SMD1.27-2.54, -smd1.27-2.54, 14.35, 20.07, 270.00
PAD20, SMD, , SMD1.27-2.54, -smd1.27-2.54, 15.88, 1.27, 270.00
PAD21, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 180.00
PAD23, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 90.00
PAD24, SMD, , SMD1.27-2.54, -smd1.27-2.54, 1.27, 23.50, 0.00
R1, SMD, , R0805, -r0805, 9.02, 26.67, 90.00
