# name, smd?, value, package, component, x, y, angle
PADL1, SMD, , SMD1.27-2.54, -smd1.27-2.54, 16.54, 53.47, 250.00
PADL2, SMD, , SMD1.27-2.54, -smd1.27-2.54, 9.04, 66.68, 90.00
PADL3, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 90.00
PADL4, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 250.00
PADL5, SMD, , SMD1.27-2.54, -smd1.27-2.54, 39.98, 32.30, 270.00
PADL6, SMD, , SMD1.27-2.54, -smd1.27-2.54, 32.48, 45.51, 70.00
PADL7, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 270.00
PADL8, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 70.00
PADL9, SMD, , SMD1.27-2.54, -smd1.27-2.54, 59.72, 66.68, 90.00
PADL10, SMD, , SMD1.27-2.54, -smd1.27-2.54, 67.21, 53.47, 250.00
PADL11, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 90.00
PADL12, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 250.00
PADL13, SMD, , SMD1.27-2.54, -smd1.27-2.54, 90.65, 32.30, 270.00
PADL14, SMD, , SMD1.27-2.54, -smd1.27-2.54, 83.16, 45.51, 70.00
PADL15, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 270.00
PADL16, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 70.00
PADNA, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 110.00
PADNA1, SMD, , SMD1.27-2.54, -smd1.27-2.54, 39.98, 66.68, 270.00
PADNA2, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 270.00
PADNA3, SMD, , SMD1.27-2.54, -smd1.27-2.54, 32.48, 53.47, 110.00
PADNA4, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 90.00
PADNA5, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 290.00
