# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
LED1X11,SMD,R,0603-LED,r-0603-led,5.82,26.77,90.00,-90.00
LED1X12,SMD,R,0603-LED,r-0603-led,5.82,72.49,90.00,-90.00
LED1X21,SMD,R,0603-LED,r-0603-led,29.82,26.77,90.00,-90.00
LED1X22,SMD,R,0603-LED,r-0603-led,29.82,72.49,90.00,-90.00
LED1X31,SMD,R,0603-LED,r-0603-led,53.82,26.77,90.00,-90.00
LED1X32,SMD,R,0603-LED,r-0603-led,53.82,72.49,90.00,-90.00
LED1X41,SMD,R,0603-LED,r-0603-led,77.82,26.77,90.00,-90.00
LED1X42,SMD,R,0603-LED,r-0603-led,77.82,72.49,90.00,-90.00
LED2X11,SMD,R,0603-LED,r-0603-led,18.39,33.55,270.00,90.00
LED2X12,SMD,R,0603-LED,r-0603-led,18.39,79.27,270.00,90.00
LED2X21,SMD,R,0603-LED,r-0603-led,42.39,33.55,270.00,90.00
LED2X22,SMD,R,0603-LED,r-0603-led,42.39,79.27,270.00,90.00
LED2X31,SMD,R,0603-LED,r-0603-led,66.39,33.55,270.00,90.00
LED2X32,SMD,R,0603-LED,r-0603-led,66.39,79.27,270.00,90.00
LED2X41,SMD,R,0603-LED,r-0603-led,90.39,33.55,270.00,90.00
LED2X42,SMD,R,0603-LED,r-0603-led,90.39,79.27,270.00,90.00
R1KX11,SMD,1k0,0603-RES,1k0-0603-res,11.68,30.35,180.00,-180.00
R1KX12,SMD,1k0,0603-RES,1k0-0603-res,11.68,76.07,180.00,-180.00
R1KX21,SMD,1k0,0603-RES,1k0-0603-res,35.69,30.35,180.00,-180.00
R1KX22,SMD,1k0,0603-RES,1k0-0603-res,35.69,76.07,180.00,-180.00
R1KX31,SMD,1k0,0603-RES,1k0-0603-res,59.69,30.35,180.00,-180.00
R1KX32,SMD,1k0,0603-RES,1k0-0603-res,59.69,76.07,180.00,-180.00
R1KX41,SMD,1k0,0603-RES,1k0-0603-res,83.69,30.35,180.00,-180.00
R1KX42,SMD,1k0,0603-RES,1k0-0603-res,83.69,76.07,180.00,-180.00
TP1X11,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,90.00,-90.00
TP1X12,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,90.00,-90.00
TP1X21,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,90.00,-90.00
TP1X22,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,90.00,-90.00
TP1X31,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,90.00,-90.00
TP1X32,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,90.00,-90.00
TP1X41,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,90.00,-90.00
TP1X42,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,90.00,-90.00
TP2X11,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,0.00,0.00
TP2X12,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,0.00,0.00
TP2X21,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,0.00,0.00
TP2X22,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,0.00,0.00
TP2X31,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,0.00,0.00
TP2X32,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,0.00,0.00
TP2X41,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,0.00,0.00
TP2X42,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,0.00,0.00
TP3X11,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,0.00,0.00
TP3X12,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,0.00,0.00
TP3X21,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,0.00,0.00
TP3X22,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,0.00,0.00
TP3X31,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,0.00,0.00
TP3X32,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,0.00,0.00
TP3X41,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,0.00,0.00
TP3X42,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,0.00,0.00
TP4X11,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,0.00,0.00
TP4X12,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,0.00,0.00
TP4X21,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,0.00,0.00
TP4X22,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,0.00,0.00
TP4X31,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,0.00,0.00
TP4X32,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,0.00,0.00
TP4X41,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,0.00,0.00
TP4X42,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,0.00,0.00
TP5X11,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,0.00,0.00
TP5X12,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,0.00,0.00
TP5X21,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,0.00,0.00
TP5X22,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,0.00,0.00
TP5X31,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,0.00,0.00
TP5X32,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,0.00,0.00
TP5X41,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,0.00,0.00
TP5X42,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,0.00,0.00
TP6X11,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,0.00,0.00
TP6X12,PTH,PTR1PAD1-13,P1-13,ptr1pad1-13-p1-13,0.00,0.00,0.00,0.00
