# name, smd?, value, package, component, x, y, angle
ARD_PRO_MINI, PTH, , ARDUINO_MINI, -arduino_mini, 0.00, 0.00, 90.00
B1, PTH, DF05, DB, df05-db, 0.00, 0.00, 0.00
C1, PTH, 22uf 25V, C050-035X075, 22uf 25v-c050-035x075, 0.00, 0.00, 0.00
C2, PTH, 0.1uf 25V, AXIAL-5MM, 0.1uf 25v-axial-5mm, 0.00, 0.00, 0.00
C3, PTH, 0.1uf 25V, AXIAL-5MM, 0.1uf 25v-axial-5mm, 0.00, 0.00, 0.00
C6, PTH, 22, 7343-TE-D, 22-7343-te-d, 0.00, 0.00, 0.00
C7, PTH, 22, 7343-TE-D, 22-7343-te-d, 0.00, 0.00, 180.00
C8, PTH, 270 pf, AXIAL-5MM, 270 pf-axial-5mm, 0.00, 0.00, 180.00
D3, PTH, 1N4148, DO35-7, 1n4148-do35-7, 0.00, 0.00, 180.00
DCC1, PTH, , 2.15/1.0, -2.15/1.0, 0.00, 0.00, 0.00
DCC2, PTH, , 2.15/1.0, -2.15/1.0, 0.00, 0.00, 0.00
IC2, PTH, SN754410, DIP16, sn754410-dip16, 0.00, 0.00, 0.00
JP5, PTH, MOT1, 1X02, mot1-1x02, 0.00, 0.00, 180.00
JP6, PTH, MOT2, 1X02, mot2-1x02, 0.00, 0.00, 270.00
OK1, PTH, 6N137, DIL08, 6n137-dil08, 0.00, 0.00, 270.00
R12, PTH, 10K, 0204V, 10k-0204v, 0.00, 0.00, 90.00
R17, PTH, 5K, 0204V, 5k-0204v, 0.00, 0.00, 90.00
R18, PTH, 1.3K, 0204V, 1.3k-0204v, 0.00, 0.00, 180.00
TP1, PTH, TPTP10SQ, TP10SQ, tptp10sq-tp10sq, 0.00, 0.00, 0.00
TP2, PTH, TPTP10SQ, TP10SQ, tptp10sq-tp10sq, 0.00, 0.00, 0.00
TP3, PTH, TPTP10SQ, TP10SQ, tptp10sq-tp10sq, 0.00, 0.00, 0.00
VR1, PTH, 7805, TO220V, 7805-to220v, 0.00, 0.00, 0.00
