# name, smd?, value, package, component, x, y, angle
ARD_PRO_MINIX11, PTH, , ARDUINO_MINI, -arduino_mini, 0.00, 0.00, 90.00
ARD_PRO_MINIX12, PTH, , ARDUINO_MINI, -arduino_mini, 0.00, 0.00, 90.00
ARD_PRO_MINIX13, PTH, , ARDUINO_MINI, -arduino_mini, 0.00, 0.00, 90.00
ARD_PRO_MINIX14, PTH, , ARDUINO_MINI, -arduino_mini, 0.00, 0.00, 90.00
ARD_PRO_MINIX15, PTH, , ARDUINO_MINI, -arduino_mini, 0.00, 0.00, 90.00
B1X11, PTH, , DB, -db, 0.00, 0.00, 0.00
B1X12, PTH, , DB, -db, 0.00, 0.00, 0.00
B1X13, PTH, , DB, -db, 0.00, 0.00, 0.00
B1X14, PTH, , DB, -db, 0.00, 0.00, 0.00
B1X15, PTH, , DB, -db, 0.00, 0.00, 0.00
C1X11, PTH, , C050-035X075, -c050-035x075, 0.00, 0.00, 0.00
C1X12, PTH, , C050-035X075, -c050-035x075, 0.00, 0.00, 0.00
C1X13, PTH, , C050-035X075, -c050-035x075, 0.00, 0.00, 0.00
C1X14, PTH, , C050-035X075, -c050-035x075, 0.00, 0.00, 0.00
C1X15, PTH, , C050-035X075, -c050-035x075, 0.00, 0.00, 0.00
C2X11, PTH, , AXIAL-5MM, -axial-5mm, 0.00, 0.00, 0.00
C2X12, PTH, , AXIAL-5MM, -axial-5mm, 0.00, 0.00, 0.00
C2X13, PTH, , AXIAL-5MM, -axial-5mm, 0.00, 0.00, 0.00
C2X14, PTH, , AXIAL-5MM, -axial-5mm, 0.00, 0.00, 0.00
C2X15, PTH, , AXIAL-5MM, -axial-5mm, 0.00, 0.00, 0.00
C3X11, PTH, , AXIAL-5MM, -axial-5mm, 0.00, 0.00, 0.00
C3X12, PTH, , AXIAL-5MM, -axial-5mm, 0.00, 0.00, 0.00
C3X13, PTH, , AXIAL-5MM, -axial-5mm, 0.00, 0.00, 0.00
C3X14, PTH, , AXIAL-5MM, -axial-5mm, 0.00, 0.00, 0.00
C3X15, PTH, , AXIAL-5MM, -axial-5mm, 0.00, 0.00, 0.00
C6X11, PTH, , 7343-TE-D, -7343-te-d, 0.00, 0.00, 0.00
C6X12, PTH, , 7343-TE-D, -7343-te-d, 0.00, 0.00, 0.00
C6X13, PTH, , 7343-TE-D, -7343-te-d, 0.00, 0.00, 0.00
C6X14, PTH, , 7343-TE-D, -7343-te-d, 0.00, 0.00, 0.00
C6X15, PTH, , 7343-TE-D, -7343-te-d, 0.00, 0.00, 0.00
C7X11, PTH, , 7343-TE-D, -7343-te-d, 0.00, 0.00, 180.00
C7X12, PTH, , 7343-TE-D, -7343-te-d, 0.00, 0.00, 180.00
C7X13, PTH, , 7343-TE-D, -7343-te-d, 0.00, 0.00, 180.00
