# name, smd?, value, package, component, x, y, angle
C1, PTH, 0.1uf, CAP-PTH-SMALL2, 0.1uf-cap-pth-small2, 0.00, 0.00, 90.00
C2, PTH, 0.1uf, CAP-PTH-SMALL2, 0.1uf-cap-pth-small2, 0.00, 0.00, 0.00
CANPWR, PTH, , 1X02, -1x02, 0.00, 0.00, 90.00
J1, PTH, M13, 1X13, m13-1x13, 0.00, 0.00, 180.00
J4, PTH, MST4V, MSTBV4, mst4v-mstbv4, 0.00, 0.00, 0.00
L1, SMD, ZJYS51R5-2P, ZJYS, zjys51r5-2p-zjys, 22.68, 27.50, 0.00
LED1, PTH, , Q62902-B155, -q62902-b155, 0.00, 0.00, 270.00
LED2, PTH, , Q62902-B155, -q62902-b155, 0.00, 0.00, 270.00
LED3, PTH, , Q62902-B155, -q62902-b155, 0.00, 0.00, 270.00
R1, PTH, 470R, 0204/5, 470r-0204/5, 0.00, 0.00, 0.00
R2, PTH, 470R, 0204/5, 470r-0204/5, 0.00, 0.00, 180.00
R3, PTH, 470R, 0204/5, 470r-0204/5, 0.00, 0.00, 180.00
R4, PTH, 120R, 0204/5, 120r-0204/5, 0.00, 0.00, 0.00
R5, PTH, 10k, 0204/5, 10k-0204/5, 0.00, 0.00, 0.00
RES1, PTH, RESONATORPTH, RESONATOR-PTH, resonatorpth-resonator-pth, 0.00, 0.00, 180.00
TERM, PTH, , 1X02, -1x02, 0.00, 0.00, 0.00
U1, PTH, MCP2515-P, DIL18, mcp2515-p-dil18, 0.00, 0.00, 180.00
U2, PTH, MCP2551-P, DIL08, mcp2551-p-dil08, 0.00, 0.00, 180.00
