# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
C1,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,32.38,18.80,90.00,-90.00
C2,SMD,.01uF,0603-CAP,.01uf-0603-cap,29.21,10.16,270.00,90.00
C4,SMD,.01uF,0603-CAP,.01uf-0603-cap,13.72,14.22,0.00,0.00
C5,SMD,.01uF,0603-CAP,.01uf-0603-cap,19.43,10.16,270.00,90.00
CMRI-IO,PTH,0.100,1X05-CMRI-IO,0.100-1x05-cmri-io,0.00,0.00,90.00,-90.00
CMRINET1,PTH,3.5mm,CMRINET-3.5MM,3.5mm-cmrinet-3.5mm,0.00,0.00,90.00,-90.00
CMRINET2,PTH,3.5mm,CMRINET-3.5MM,3.5mm-cmrinet-3.5mm,0.00,0.00,90.00,-90.00
CMRINET3,PTH,0.156,KK-156-5,0.156-kk-156-5,0.00,0.00,90.00,-90.00
CMRINET4,PTH,0.156,KK-156-5,0.156-kk-156-5,0.00,0.00,90.00,-90.00
CON1,PTH,0.100,1X05_LOCK,0.100-1x05_lock,0.00,0.00,90.00,-90.00
CON2,PTH,0.100,1X05_LOCK,0.100-1x05_lock,0.00,0.00,90.00,-90.00
D1,SMD,BAV199,SOT23,bav199-sot23,15.24,10.16,90.00,-90.00
J1,PTH,,J3-254,-j3-254,0.00,0.00,90.00,-90.00
M1,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
M2,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
M3,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
M4,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
R1,PTH,12k,AXIAL-0.4-RES,12k-axial-0.4-res,0.00,0.00,270.00,90.00
R1-ALT,SMD,12k,0805-RES,12k-0805-res,32.51,10.16,270.00,90.00
R2,SMD,470,0805-RES,470-0805-res,38.10,45.09,90.00,-90.00
TX,SMD,Y,0603-LED,y-0603-led,37.47,48.26,0.00,0.00
U1,SMD,MAX3465CSD,SO14,max3465csd-so14,13.97,20.32,90.00,-90.00
U2,SMD,NE555,SO08,ne555-so08,22.86,10.16,0.00,0.00
