# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
C1X11,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,32.38,28.32,90.00,-90.00
C1X21,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,82.39,28.32,90.00,-90.00
C2X11,SMD,.01uF,0603-CAP,.01uf-0603-cap,29.21,19.69,270.00,90.00
C2X21,SMD,.01uF,0603-CAP,.01uf-0603-cap,79.21,19.69,270.00,90.00
C4X11,SMD,.01uF,0603-CAP,.01uf-0603-cap,13.72,23.75,0.00,0.00
C4X21,SMD,.01uF,0603-CAP,.01uf-0603-cap,63.72,23.75,0.00,0.00
C5X11,SMD,.01uF,0603-CAP,.01uf-0603-cap,19.43,19.69,270.00,90.00
C5X21,SMD,.01uF,0603-CAP,.01uf-0603-cap,69.43,19.69,270.00,90.00
CMRI-IOX11,PTH,0.100,1X05-CMRI-IO,0.100-1x05-cmri-io,0.00,0.00,90.00,-90.00
CMRI-IOX21,PTH,0.100,1X05-CMRI-IO,0.100-1x05-cmri-io,0.00,0.00,90.00,-90.00
CMRINET1X11,PTH,3.5mm,CMRINET-3.5MM,3.5mm-cmrinet-3.5mm,0.00,0.00,90.00,-90.00
CMRINET1X21,PTH,3.5mm,CMRINET-3.5MM,3.5mm-cmrinet-3.5mm,0.00,0.00,90.00,-90.00
CMRINET2X11,PTH,3.5mm,CMRINET-3.5MM,3.5mm-cmrinet-3.5mm,0.00,0.00,90.00,-90.00
CMRINET2X21,PTH,3.5mm,CMRINET-3.5MM,3.5mm-cmrinet-3.5mm,0.00,0.00,90.00,-90.00
CMRINET3X11,PTH,0.156,KK-156-5,0.156-kk-156-5,0.00,0.00,90.00,-90.00
CMRINET3X21,PTH,0.156,KK-156-5,0.156-kk-156-5,0.00,0.00,90.00,-90.00
CMRINET4X11,PTH,0.156,KK-156-5,0.156-kk-156-5,0.00,0.00,90.00,-90.00
CMRINET4X21,PTH,0.156,KK-156-5,0.156-kk-156-5,0.00,0.00,90.00,-90.00
CON1X11,PTH,0.100,1X05_LOCK,0.100-1x05_lock,0.00,0.00,90.00,-90.00
CON1X21,PTH,0.100,1X05_LOCK,0.100-1x05_lock,0.00,0.00,90.00,-90.00
CON2X11,PTH,0.100,1X05_LOCK,0.100-1x05_lock,0.00,0.00,90.00,-90.00
CON2X21,PTH,0.100,1X05_LOCK,0.100-1x05_lock,0.00,0.00,90.00,-90.00
D1X11,SMD,BAV199,SOT23,bav199-sot23,15.24,19.69,90.00,-90.00
D1X21,SMD,BAV199,SOT23,bav199-sot23,65.24,19.69,90.00,-90.00
FID-LR,SMD,,FIDUCIAL_1MM,-fiducial_1mm,93.98,7.62,0.00,0.00
FID-UL,SMD,,FIDUCIAL_1MM,-fiducial_1mm,6.35,92.08,0.00,0.00
J1X11,PTH,,J3-254,-j3-254,0.00,0.00,90.00,-90.00
J1X21,PTH,,J3-254,-j3-254,0.00,0.00,90.00,-90.00
M1X11,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
M1X21,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
M2X11,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
M2X21,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
M3X11,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
M3X21,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
M4X11,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
M4X21,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
R1-ALTX11,SMD,12k,0805-RES,12k-0805-res,32.51,19.69,270.00,90.00
R1-ALTX21,SMD,12k,0805-RES,12k-0805-res,82.51,19.69,270.00,90.00
R1X11,PTH,12k,AXIAL-0.4-RES,12k-axial-0.4-res,0.00,0.00,270.00,90.00
R1X21,PTH,12k,AXIAL-0.4-RES,12k-axial-0.4-res,0.00,0.00,270.00,90.00
R2X11,SMD,470,0805-RES,470-0805-res,38.10,54.61,90.00,-90.00
R2X21,SMD,470,0805-RES,470-0805-res,88.10,54.61,90.00,-90.00
TXX11,SMD,Y,0603-LED,y-0603-led,37.47,57.79,0.00,0.00
TXX21,SMD,Y,0603-LED,y-0603-led,87.47,57.79,0.00,0.00
U1X11,SMD,MAX3465CSD,SO14,max3465csd-so14,13.97,29.85,90.00,-90.00
U1X21,SMD,MAX3465CSD,SO14,max3465csd-so14,63.97,29.85,90.00,-90.00
U2X1,PTH,,BOARD-10X8X2-TEMPLATE,-board-10x8x2-template,0.00,0.00,0.00,0.00
U2X11,SMD,NE555,SO08,ne555-so08,22.86,19.69,0.00,0.00
U2X21,SMD,NE555,SO08,ne555-so08,72.86,19.69,0.00,0.00
