# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
BOARD1,PTH,BOARD69X70,BOARD-DINRAIL-2.7IN-7CM,board69x70-board-dinrail-2.7in-7cm,0.00,0.00,0.00,0.00
C1,PTH,0.1uF,C050-024X044,0.1uf-c050-024x044,0.00,0.00,270.00,90.00
C2,PTH,.01uF,C050-024X044,.01uf-c050-024x044,0.00,0.00,270.00,90.00
C4,PTH,.01uF,C-PTH-0.100,.01uf-c-pth-0.100,0.00,0.00,0.00,0.00
C5,PTH,.01uF,C-PTH-0.100,.01uf-c-pth-0.100,0.00,0.00,270.00,90.00
CMRI-IO,PTH,,CON-CMRI-IO,-con-cmri-io,0.00,0.00,90.00,-90.00
CMRINET1,PTH,CMRInet,CMRINET-3.5MM,cmrinet-cmrinet-3.5mm,0.00,0.00,0.00,0.00
CMRINET2,PTH,CMRInet,CMRINET-3.5MM,cmrinet-cmrinet-3.5mm,0.00,0.00,0.00,0.00
CMRINET3,PTH,CMRInet,KK-156-5,cmrinet-kk-156-5,0.00,0.00,0.00,0.00
CMRINET4,PTH,CMRInet,KK-156-5,cmrinet-kk-156-5,0.00,0.00,0.00,0.00
D1,PTH,1N4148,DIODE-1N4148,1n4148-diode-1n4148,0.00,0.00,90.00,-90.00
R1,PTH,,AXIAL-0.3-RES,-axial-0.3-res,0.00,0.00,270.00,90.00
R2,PTH,470,AXIAL-0.3-RES,470-axial-0.3-res,0.00,0.00,90.00,-90.00
TX,PTH,,LED5MM,-led5mm,0.00,0.00,90.00,-90.00
U$3,PTH,,MRCS-LOGO,-mrcs-logo,0.00,0.00,0.00,0.00
U1,PTH,MAX3465CPD,DIL14,max3465cpd-dil14,0.00,0.00,90.00,-90.00
U2,PTH,,DIL-08,-dil-08,0.00,0.00,0.00,0.00
