# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
BOARD1,PTH,,BOARD-SEEED10X10,-board-seeed10x10,0.00,0.00,0.00,0.00
CON1,PTH,,1X06_LOCK,-1x06_lock,0.00,0.00,270.00,90.00
L1SAT,SMD,Y,0603-LED,y-0603-led,54.61,71.12,180.00,-180.00
L2SAT,SMD,Y,0603-LED,y-0603-led,54.61,58.42,180.00,-180.00
L3SAT,SMD,Y,0603-LED,y-0603-led,54.61,45.72,180.00,-180.00
L4SAT,SMD,Y,0603-LED,y-0603-led,54.61,33.02,180.00,-180.00
LDAT,SMD,Y,0603-LED,y-0603-led,53.34,83.82,180.00,-180.00
R17,SMD,2K2,0603-RES,2k2-0603-res,50.80,71.12,180.00,-180.00
R18,SMD,2K2,0603-RES,2k2-0603-res,50.80,58.42,180.00,-180.00
R19,SMD,2K2,0603-RES,2k2-0603-res,50.80,45.72,180.00,-180.00
R20,SMD,2K2,0603-RES,2k2-0603-res,50.80,33.02,180.00,-180.00
RDAT,SMD,2K2,0603-RES,2k2-0603-res,50.80,83.82,180.00,-180.00
