# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
1NG,SMD,G,0603-LED,g-0603-led,45.09,83.82,270.00,90.00
1NR,SMD,R,0603-LED,r-0603-led,46.48,83.82,90.00,-90.00
1RG,SMD,G,0603-LED,g-0603-led,44.83,79.63,45.00,-45.00
1RR,SMD,R,0603-LED,r-0603-led,43.81,80.64,225.00,45.00
2H,SMD,R,0603-LED,r-0603-led,41.91,15.24,180.00,-180.00
2NGK,SMD,Y,0603-LED,y-0603-led,36.83,11.43,180.00,-180.00
2SGK,SMD,Y,0603-LED,y-0603-led,46.99,11.43,180.00,-180.00
2TEK,SMD,W,0603-LED,w-0603-led,41.91,11.43,180.00,-180.00
3NG,SMD,G,0603-LED,g-0603-led,50.29,74.17,225.00,45.00
3NR,SMD,R,0603-LED,r-0603-led,49.28,75.18,45.00,-45.00
3RG,SMD,G,0603-LED,g-0603-led,47.24,71.12,90.00,-90.00
3RR,SMD,R,0603-LED,r-0603-led,48.77,71.12,270.00,90.00
4H,SMD,R,0603-LED,r-0603-led,62.23,15.24,180.00,-180.00
4NGK,SMD,Y,0603-LED,y-0603-led,57.15,11.43,180.00,-180.00
4SGK,SMD,Y,0603-LED,y-0603-led,67.31,11.43,180.00,-180.00
4TEK,SMD,W,0603-LED,w-0603-led,62.23,11.43,180.00,-180.00
5NG,SMD,G,0603-LED,g-0603-led,62.99,61.47,225.00,45.00
5NR,SMD,R,0603-LED,r-0603-led,61.98,62.48,45.00,-45.00
5RG,SMD,G,0603-LED,g-0603-led,59.94,58.42,90.00,-90.00
5RR,SMD,R,0603-LED,r-0603-led,61.47,58.42,270.00,90.00
7NG,SMD,G,0603-LED,g-0603-led,75.69,48.77,225.00,45.00
7NR,SMD,R,0603-LED,r-0603-led,74.68,49.78,45.00,-45.00
7RG,SMD,G,0603-LED,g-0603-led,72.39,45.72,90.00,-90.00
7RR,SMD,R,0603-LED,r-0603-led,74.17,45.72,270.00,90.00
9NG,SMD,G,0603-LED,g-0603-led,88.39,36.07,225.00,45.00
9NR,SMD,R,0603-LED,r-0603-led,87.38,37.08,45.00,-45.00
9RG,SMD,G,0603-LED,g-0603-led,85.34,33.02,90.00,-90.00
9RR,SMD,R,0603-LED,r-0603-led,86.87,33.02,270.00,90.00
BOARD1,PTH,,BOARD-SEEED10X15,-board-seeed10x15,0.00,0.00,0.00,0.00
C1,SMD,220uF,0810-CAP,220uf-0810-cap,133.35,58.42,0.00,0.00
C2,SMD,1uF,0603-CAP,1uf-0603-cap,124.46,71.12,270.00,90.00
C3,SMD,10uF,0603-CAP,10uf-0603-cap,114.30,71.12,270.00,90.00
C4,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,29.85,24.77,90.00,-90.00
C5,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,92.71,63.50,0.00,0.00
C6,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,119.38,27.94,0.00,0.00
CON1,PTH,,1X06_LOCK,-1x06_lock,0.00,0.00,270.00,90.00
CON2,PTH,,I2C-NOOUTLINE,-i2c-nooutline,0.00,0.00,270.00,90.00
IC1,SMD,MCP23017SO,SO28W,mcp23017so-so28w,89.54,71.12,0.00,0.00
IC2,SMD,MCP23017SO,SO28W,mcp23017so-so28w,18.41,17.78,0.00,0.00
IC3,SMD,MCP23017SO,SO28W,mcp23017so-so28w,116.21,35.56,0.00,0.00
L1SAT,SMD,Y,0603-LED,y-0603-led,10.16,71.12,0.00,0.00
L1T1,SMD,Y,0603-LED,y-0603-led,40.64,83.82,180.00,-180.00
L2SAT,SMD,Y,0603-LED,y-0603-led,10.16,58.42,0.00,0.00
L3SAT,SMD,Y,0603-LED,y-0603-led,10.16,45.72,0.00,0.00
L3T1,SMD,Y,0603-LED,y-0603-led,52.71,71.12,0.00,0.00
L3T2,SMD,Y,0603-LED,y-0603-led,33.02,71.12,180.00,-180.00
L4SAT,SMD,Y,0603-LED,y-0603-led,10.16,33.02,0.00,0.00
L5T1,SMD,Y,0603-LED,y-0603-led,65.41,58.42,0.00,0.00
L5T2,SMD,Y,0603-LED,y-0603-led,33.02,58.42,180.00,-180.00
L7T1,SMD,Y,0603-LED,y-0603-led,78.11,45.72,0.00,0.00
L7T2,SMD,Y,0603-LED,y-0603-led,33.02,45.72,180.00,-180.00
L9T1,SMD,Y,0603-LED,y-0603-led,90.81,33.02,0.00,0.00
L9T2,SMD,Y,0603-LED,y-0603-led,33.02,33.02,180.00,-180.00
LDAT,SMD,Y,0603-LED,y-0603-led,10.16,83.82,0.00,0.00
LLOOP,SMD,Y,0603-LED,y-0603-led,143.51,49.53,90.00,-90.00
LMC,SMD,WW,0603-LED,ww-0603-led,78.74,11.43,180.00,-180.00
LYLAD,SMD,Y,0603-LED,y-0603-led,110.36,19.05,180.00,-180.00
R1,SMD,220R,0603-RES,220r-0603-res,83.82,80.01,90.00,-90.00
R2,SMD,220R,0603-RES,220r-0603-res,82.04,80.01,90.00,-90.00
R3,SMD,220R,0603-RES,220r-0603-res,87.63,80.01,90.00,-90.00
R4,SMD,220R,0603-RES,220r-0603-res,83.82,62.23,270.00,90.00
R5,SMD,220R,0603-RES,220r-0603-res,88.90,62.23,270.00,90.00
R6,SMD,2K2,0603-RES,2k2-0603-res,36.83,83.82,180.00,-180.00
R7,SMD,2K2,0603-RES,2k2-0603-res,57.15,71.12,0.00,0.00
R8,SMD,2K2,0603-RES,2k2-0603-res,69.85,58.42,0.00,0.00
R9,SMD,2K2,0603-RES,2k2-0603-res,82.55,45.72,0.00,0.00
R10,SMD,2K2,0603-RES,2k2-0603-res,95.25,33.02,0.00,0.00
R12,SMD,2K2,0603-RES,2k2-0603-res,29.21,71.12,180.00,-180.00
R13,SMD,2K2,0603-RES,2k2-0603-res,29.21,58.42,180.00,-180.00
R14,SMD,2K2,0603-RES,2k2-0603-res,29.21,45.72,180.00,-180.00
R15,SMD,2K2,0603-RES,2k2-0603-res,29.21,33.02,180.00,-180.00
R17,SMD,2K2,0603-RES,2k2-0603-res,13.97,71.12,0.00,0.00
R18,SMD,2K2,0603-RES,2k2-0603-res,13.97,58.42,0.00,0.00
R19,SMD,2K2,0603-RES,2k2-0603-res,13.97,45.72,0.00,0.00
R20,SMD,2K2,0603-RES,2k2-0603-res,13.97,33.02,0.00,0.00
R21,SMD,2K2,0603-RES,2k2-0603-res,107.06,19.05,180.00,-180.00
R22,SMD,2K2,0603-RES,2k2-0603-res,67.31,21.59,90.00,-90.00
R25,SMD,1K0,0603-RES,1k0-0603-res,59.69,21.59,90.00,-90.00
R29,SMD,2K2,0603-RES,2k2-0603-res,55.88,21.59,90.00,-90.00
R37,SMD,2K2,0603-RES,2k2-0603-res,35.56,21.59,90.00,-90.00
R40,SMD,2K2,0603-RES,2k2-0603-res,46.99,21.59,90.00,-90.00
R43,SMD,1K0,0603-RES,1k0-0603-res,39.37,21.59,90.00,-90.00
R46,SMD,2K2,0603-RES,2k2-0603-res,143.51,53.34,90.00,-90.00
R47,SMD,1K0,0603-RES,1k0-0603-res,78.11,21.59,90.00,-90.00
R48,SMD,2K2,0603-RES,2k2-0603-res,43.18,21.59,90.00,-90.00
R49,SMD,2K2,0603-RES,2k2-0603-res,63.50,21.59,90.00,-90.00
RDAT,SMD,2K2,0603-RES,2k2-0603-res,13.97,83.82,0.00,0.00
U$1,PTH,CONNECTOR-POWER-L,POWER-R2,connector-power-l-power-r2,0.00,0.00,270.00,90.00
VR1,SMD,,TO-252,-to-252,119.38,68.47,270.00,90.00
