# name, smd?, value, package, component, x, y, angle
BOARD, PTH, BOARD80X150, BOARD-DINRAIL-3.17INX15CM, board80x150-board-dinrail-3.17inx15cm, 0.00, 0.00, 0.00
C1, SMD, 150uF, 0810-CAP, 150uf-0810-cap, 14.61, 40.01, 180.00
C2, SMD, 150uF, 0810-CAP, 150uf-0810-cap, 14.61, 48.90, 180.00
C3, SMD, 1.0uF, 0805-CAP, 1.0uf-0805-cap, 17.78, 55.24, 315.00
C4, SMD, 10uF, 0805-CAP, 10uf-0805-cap, 22.86, 55.24, 225.00
ESP32, PTH, ESP32, ESP32-LOLIN-OLED, esp32-esp32-lolin-oled, 0.00, 0.00, 0.00
I2C, PTH, CONNECTOR-I2CLEFT, I2C-L, connector-i2cleft-i2c-l, 0.00, 0.00, 0.00
J1, PTH, , DCJ0202, -dcj0202, 0.00, 0.00, 0.00
J2, PTH, CONNECTOR-GROVE-4P-2.0-3470130P1, 4P-2.0, connector-grove-4p-2.0-3470130p1-4p-2.0, 0.00, 0.00, 90.00
J3, PTH, , RJ25-INVERTED, -rj25-inverted, 0.00, 0.00, 180.00
J4, PTH, , RJ25-INVERTED, -rj25-inverted, 0.00, 0.00, 180.00
JP1, PTH, 5v I2C Power, 1X02_LOCK, 5v i2c power-1x02_lock, 0.00, 0.00, 180.00
JP2, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 0.00
JP3, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 0.00
LABEL1, PTH, 7.5-12vDC, POWER_USAGE, 7.5-12vdc-power_usage, 0.00, 0.00, 90.00
LED1, PTH, LEDMATRIX, LEDMATRIX, ledmatrix-ledmatrix, 0.00, 0.00, 0.00
LED2, PTH, LEDMATRIX, LEDMATRIX, ledmatrix-ledmatrix, 0.00, 0.00, 0.00
OSHW1, PTH, OSHW-LOGOL, OSHW-LOGO-L, oshw-logol-oshw-logo-l, 0.00, 0.00, 0.00
Q1, SMD, BSS138, SOT23, bss138-sot23, 73.03, 7.62, 270.00
Q2, SMD, BSS138, SOT23, bss138-sot23, 73.03, 12.70, 270.00
Q3, SMD, BSS138, SOT23, bss138-sot23, 35.56, 43.82, 0.00
Q4, SMD, BSS138, SOT23, bss138-sot23, 40.64, 43.82, 0.00
Q5, SMD, BSS138, SOT23, bss138-sot23, 45.72, 43.82, 0.00
Q6, SMD, BSS138, SOT23, bss138-sot23, 50.80, 43.82, 0.00
Q7, SMD, BSS138, SOT23, bss138-sot23, 55.88, 43.82, 0.00
Q8, SMD, BSS138, SOT23, bss138-sot23, 60.96, 43.82, 0.00
Q9, SMD, BSS138, SOT23, bss138-sot23, 66.04, 43.82, 0.00
Q10, SMD, BSS138, SOT23, bss138-sot23, 71.12, 43.82, 0.00
Q11, SMD, BSS138, SOT23, bss138-sot23, 76.20, 43.82, 0.00
Q12, SMD, BSS138, SOT23, bss138-sot23, 81.28, 43.82, 0.00
Q13, SMD, BSS138, SOT23, bss138-sot23, 86.36, 43.82, 0.00
R1, SMD, 10k, 0805-RES, 10k-0805-res, 68.58, 7.62, 90.00
R2, SMD, 10k, 0805-RES, 10k-0805-res, 78.11, 7.62, 0.00
R3, SMD, 10k, 0805-RES, 10k-0805-res, 68.58, 12.70, 90.00
R4, SMD, 10k, 0805-RES, 10k-0805-res, 78.11, 12.70, 0.00
R5, SMD, 10k, 0805-RES, 10k-0805-res, 35.56, 39.37, 180.00
R6, SMD, 10k, 0805-RES, 10k-0805-res, 40.64, 39.37, 180.00
R7, SMD, 10k, 0805-RES, 10k-0805-res, 45.72, 39.37, 180.00
R8, SMD, 10k, 0805-RES, 10k-0805-res, 50.80, 39.37, 180.00
R9, SMD, 10k, 0805-RES, 10k-0805-res, 55.88, 39.37, 180.00
R10, SMD, 10k, 0805-RES, 10k-0805-res, 60.96, 39.37, 180.00
R11, SMD, 10k, 0805-RES, 10k-0805-res, 66.04, 39.37, 180.00
R12, SMD, 10k, 0805-RES, 10k-0805-res, 71.12, 39.37, 180.00
R13, SMD, 10k, 0805-RES, 10k-0805-res, 76.20, 39.37, 180.00
R14, SMD, 10k, 0805-RES, 10k-0805-res, 81.28, 39.37, 180.00
R15, SMD, 10k, 0805-RES, 10k-0805-res, 86.36, 39.37, 180.00
R16, SMD, 10k, 0805-RES, 10k-0805-res, 35.56, 48.90, 90.00
R17, SMD, 10k, 0805-RES, 10k-0805-res, 40.64, 48.90, 90.00
R18, SMD, 10k, 0805-RES, 10k-0805-res, 45.72, 48.90, 90.00
R19, SMD, 10k, 0805-RES, 10k-0805-res, 50.80, 48.90, 90.00
R20, SMD, 10k, 0805-RES, 10k-0805-res, 55.88, 48.90, 90.00
R21, SMD, 10k, 0805-RES, 10k-0805-res, 60.96, 48.90, 90.00
R22, SMD, 10k, 0805-RES, 10k-0805-res, 66.04, 48.90, 90.00
R23, SMD, 10k, 0805-RES, 10k-0805-res, 71.12, 48.90, 90.00
R24, SMD, 10k, 0805-RES, 10k-0805-res, 76.20, 48.90, 90.00
R25, SMD, 10k, 0805-RES, 10k-0805-res, 81.28, 48.90, 90.00
R26, SMD, 10k, 0805-RES, 10k-0805-res, 86.36, 48.90, 90.00
VR5.0, SMD, 5v, TO-252, 5v-to-252, 20.32, 62.34, 0.00
