# name, smd?, value, package, component, x, y, angle
BOARD, PTH, BOARD80X150, BOARD-DINRAIL-3.17INX15CM, board80x150-board-dinrail-3.17inx15cm, 0.00, 0.00, 0.00
C1, SMD, 150uF, 0810-CAP, 150uf-0810-cap, 14.61, 24.77, 180.00
C2, SMD, 1.0uF, 0805-CAP, 1.0uf-0805-cap, 12.70, 33.65, 315.00
C3, SMD, 10uF, 0805-CAP, 10uf-0805-cap, 17.78, 33.65, 225.00
I2C, PTH, CONNECTOR-I2CLEFT, I2C-L, connector-i2cleft-i2c-l, 0.00, 0.00, 0.00
I2CLED32, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 270.00
I2CLED64, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 180.00
IO-A, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00
IO-B, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 0.00
IO-C, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 0.00
J1, PTH, , RJ25-INVERTED, -rj25-inverted, 0.00, 0.00, 0.00
J2, PTH, , DCJ0202, -dcj0202, 0.00, 0.00, 0.00
J3, PTH, CONNECTOR-GROVE-4P-2.0-3470130P1, 4P-2.0, connector-grove-4p-2.0-3470130p1-4p-2.0, 0.00, 0.00, 90.00
J4, PTH, , RJ25-INVERTED, -rj25-inverted, 0.00, 0.00, 180.00
J5, PTH, , RJ25-INVERTED, -rj25-inverted, 0.00, 0.00, 180.00
JP1, PTH, LED, 1X02_LOCK, led-1x02_lock, 0.00, 0.00, 180.00
JP2, PTH, 5v I2C Power, 1X02_LOCK, 5v i2c power-1x02_lock, 0.00, 0.00, 180.00
LABEL1, PTH, 7.5-12vDC, POWER_USAGE, 7.5-12vdc-power_usage, 0.00, 0.00, 180.00
MATRIX1, PTH, LEDMATRIX, LEDMATRIX, ledmatrix-ledmatrix, 0.00, 0.00, 0.00
MATRIX2, PTH, LEDMATRIX, LEDMATRIX, ledmatrix-ledmatrix, 0.00, 0.00, 0.00
OSHW1, PTH, OSHW-LOGOL, OSHW-LOGO-L, oshw-logol-oshw-logo-l, 0.00, 0.00, 0.00
Q1, SMD, BSS138, SOT23, bss138-sot23, 102.87, 38.73, 0.00
Q2, SMD, BSS138, SOT23, bss138-sot23, 41.91, 39.37, 0.00
