# name, smd?, value, package, component, x, y, angle
BOARD, PTH, BOARD80X150, BOARD-DINRAIL-3.17IN-NOHOLES, board80x150-board-dinrail-3.17in-noholes, 0.00, 0.00, 0.00
C1, SMD, 150uF, 0810-CAP, 150uf-0810-cap, 9.53, 34.93, 180.00
C2, SMD, 1.0uF, 0603-CAP, 1.0uf-0603-cap, 7.62, 43.81, 315.00
C3, SMD, 10uF, 0603-CAP, 10uf-0603-cap, 12.70, 43.81, 225.00
I2C, PTH, CONNECTOR-I2CLEFT, I2C-L, connector-i2cleft-i2c-l, 0.00, 0.00, 0.00
I2CLED1, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 0.00
I2CLED32, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 270.00
I2CLED64, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 180.00
IO-A, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00
IO-B, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 0.00
IO-C, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 0.00
J1, PTH, , RJ25-INVERTED, -rj25-inverted, 0.00, 0.00, 0.00
J2, PTH, , DCJ0202, -dcj0202, 0.00, 0.00, 0.00
J3, PTH, CONNECTOR-GROVE-4P-2.0-3470130P1, 4P-2.0, connector-grove-4p-2.0-3470130p1-4p-2.0, 0.00, 0.00, 90.00
J4, PTH, , RJ25-INVERTED, -rj25-inverted, 0.00, 0.00, 180.00
J5, PTH, , RJ25-INVERTED, -rj25-inverted, 0.00, 0.00, 180.00
J6, PTH, , RJ25-INVERTED, -rj25-inverted, 0.00, 0.00, 180.00
LABEL1, PTH, 7.5-12vDC, POWER_USAGE, 7.5-12vdc-power_usage, 0.00, 0.00, 180.00
MT1, PTH, MOUNTINGHOLE, MOUNTINGHOLE, mountinghole-mountinghole, 0.00, 0.00, 0.00
MT2, PTH, MOUNTINGHOLE, MOUNTINGHOLE, mountinghole-mountinghole, 0.00, 0.00, 0.00
MT3, PTH, MOUNTINGHOLE, MOUNTINGHOLE, mountinghole-mountinghole, 0.00, 0.00, 0.00
MT4, PTH, MOUNTINGHOLE, MOUNTINGHOLE, mountinghole-mountinghole, 0.00, 0.00, 0.00
OSHW1, PTH, OSHW-LOGOL, OSHW-LOGO-L, oshw-logol-oshw-logo-l, 0.00, 0.00, 0.00
Q1, SMD, BSS138, SOT23, bss138-sot23, 88.90, 49.66, 0.00
Q2, SMD, BSS138, SOT23, bss138-sot23, 38.10, 49.53, 0.00
Q3, SMD, BSS138, SOT23, bss138-sot23, 43.18, 49.53, 0.00
Q4, SMD, BSS138, SOT23, bss138-sot23, 27.94, 49.53, 0.00
Q5, SMD, BSS138, SOT23, bss138-sot23, 33.02, 49.53, 0.00
Q6, SMD, BSS138, SOT23, bss138-sot23, 48.26, 49.53, 0.00
Q7, SMD, BSS138, SOT23, bss138-sot23, 53.34, 49.53, 0.00
Q8, SMD, BSS138, SOT23, bss138-sot23, 58.42, 49.53, 0.00
Q9, SMD, BSS138, SOT23, bss138-sot23, 63.50, 49.53, 0.00
Q10, SMD, BSS138, SOT23, bss138-sot23, 68.58, 49.53, 0.00
Q11, SMD, BSS138, SOT23, bss138-sot23, 73.66, 49.53, 0.00
Q12, SMD, BSS138, SOT23, bss138-sot23, 78.74, 49.53, 0.00
Q13, SMD, BSS138, SOT23, bss138-sot23, 83.82, 49.53, 0.00
Q14, SMD, BSS138, SOT23, bss138-sot23, 93.98, 49.53, 0.00
R2, SMD, 10k, 0603-RES, 10k-0603-res, 38.10, 45.72, 180.00
R3, SMD, 10k, 0603-RES, 10k-0603-res, 43.18, 45.72, 180.00
R4, SMD, 10k, 0603-RES, 10k-0603-res, 27.94, 45.72, 180.00
R5, SMD, 10k, 0603-RES, 10k-0603-res, 33.02, 45.72, 180.00
R6, SMD, 10k, 0603-RES, 10k-0603-res, 48.26, 45.72, 180.00
R7, SMD, 10k, 0603-RES, 10k-0603-res, 53.34, 45.72, 180.00
R8, SMD, 10k, 0603-RES, 10k-0603-res, 58.42, 45.72, 180.00
R9, SMD, 10k, 0603-RES, 10k-0603-res, 63.50, 45.72, 180.00
R10, SMD, 10k, 0603-RES, 10k-0603-res, 68.58, 45.72, 180.00
R11, SMD, 10k, 0603-RES, 10k-0603-res, 73.66, 45.72, 180.00
R12, SMD, 10k, 0603-RES, 10k-0603-res, 78.74, 45.72, 180.00
R13, SMD, 10k, 0603-RES, 10k-0603-res, 83.82, 45.72, 180.00
R14, SMD, 10k, 0603-RES, 10k-0603-res, 88.90, 45.72, 180.00
R15, SMD, 10k, 0603-RES, 10k-0603-res, 38.10, 53.34, 180.00
R16, SMD, 10k, 0603-RES, 10k-0603-res, 43.18, 53.34, 180.00
R17, SMD, 10k, 0603-RES, 10k-0603-res, 27.94, 53.34, 180.00
R18, SMD, 10k, 0603-RES, 10k-0603-res, 33.02, 53.34, 180.00
R19, SMD, 10k, 0603-RES, 10k-0603-res, 48.26, 53.34, 180.00
R20, SMD, 10k, 0603-RES, 10k-0603-res, 53.34, 53.34, 180.00
R21, SMD, 10k, 0603-RES, 10k-0603-res, 58.42, 53.34, 180.00
R22, SMD, 10k, 0603-RES, 10k-0603-res, 63.50, 53.34, 180.00
R23, SMD, 10k, 0603-RES, 10k-0603-res, 68.58, 53.34, 180.00
R24, SMD, 10k, 0603-RES, 10k-0603-res, 73.66, 53.34, 180.00
R25, SMD, 10k, 0603-RES, 10k-0603-res, 78.74, 53.34, 180.00
R26, SMD, 10k, 0603-RES, 10k-0603-res, 83.82, 53.34, 180.00
R27, SMD, 10k, 0603-RES, 10k-0603-res, 88.90, 53.34, 180.00
R28, SMD, 10k, 0603-RES, 10k-0603-res, 93.98, 45.72, 180.00
R29, SMD, 10k, 0603-RES, 10k-0603-res, 93.98, 53.34, 180.00
U$1, PTH, ESP32-GEEKCREITDOITV1, ESP32-GEEKCREIT, esp32-geekcreitdoitv1-esp32-geekcreit, 0.00, 0.00, 270.00
VR5.0, SMD, 78M05B, TO-252, 78m05b-to-252, 10.16, 50.91, 0.00
