# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
BOARD, PTH, BOARD80X150, BOARD-DINRAIL-3.17IN-IOB, board80x150-board-dinrail-3.17in-iob, 0.00, 0.00, 0.00, 0.00
C1, SMD, 150uF, 0810-CAP, 150uf-0810-cap, 10.16, 56.52, 270.00, 90.00
C2, SMD, 1.0uF, 0603-CAP, 1.0uf-0603-cap, 6.35, 67.31, 270.00, 90.00
C3, SMD, 10uF, 0603-CAP, 10uf-0603-cap, 12.70, 67.31, 270.00, 90.00
CON1, PTH, , 1X05_LOCK, -1x05_lock, 0.00, 0.00, 270.00, 90.00
CON2, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 90.00, -90.00
CON3, PTH, , 4P-2.0, -4p-2.0, 0.00, 0.00, 90.00, -90.00
FID1, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 97.79, 5.46, 0.00, 0.00
FID2, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 8.76, 92.46, 0.00, 0.00
I2C, PTH, CONNECTOR-I2CLEFT, I2C-L, connector-i2cleft-i2c-l, 0.00, 0.00, 0.00, 0.00
I2CLED32, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 270.00, 90.00
I2CLED64, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 180.00, -180.00
IO-B, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 0.00, 0.00
IO-C, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 0.00, 0.00
IO-D, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 0.00, 0.00
J2, PTH, , DCJ0202, -dcj0202, 0.00, 0.00, 0.00, 0.00
J4, PTH, , RJ25-INVERTED, -rj25-inverted, 0.00, 0.00, 180.00, -180.00
J5, PTH, , RJ25-INVERTED, -rj25-inverted, 0.00, 0.00, 180.00, -180.00
J6, PTH, , RJ25-INVERTED, -rj25-inverted, 0.00, 0.00, 180.00, -180.00
JP2, PTH, , 1X03, -1x03, 0.00, 0.00, 0.00, 0.00
LABEL1, PTH, 7.5-12vDC, PWR_LABEL, 7.5-12vdc-pwr_label, 0.00, 0.00, 180.00, -180.00
LED1, SMD, G, 0603-LED, g-0603-led, 3.68, 86.36, 270.00, 90.00
OSHW1, PTH, OSHW-LOGOL, OSHW-LOGO-L, oshw-logol-oshw-logo-l, 0.00, 0.00, 0.00, 0.00
Q1, SMD, BSS138, SOT23, bss138-sot23, 84.07, 49.66, 0.00, 0.00
Q2, SMD, BSS138, SOT23, bss138-sot23, 36.58, 49.53, 0.00, 0.00
Q3, SMD, BSS138, SOT23, bss138-sot23, 41.15, 49.53, 0.00, 0.00
Q4, SMD, BSS138, SOT23, bss138-sot23, 27.94, 49.53, 0.00, 0.00
Q5, SMD, BSS138, SOT23, bss138-sot23, 32.26, 49.53, 0.00, 0.00
