# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
COMS,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,270.00,90.00
I2C,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,270.00,90.00
J1,PTH,RJ12/6,RJ25-PANEL,rj12/6-rj25-panel,0.00,0.00,180.00,-180.00
LED1,SMD,B,0603-LED,b-0603-led,4.45,39.24,90.00,-90.00
LED2,PTH,B,LED5MM,b-led5mm,0.00,0.00,180.00,-180.00
Q1,SMD,2N2222,SOT23,2n2222-sot23,19.08,25.25,180.00,-180.00
R1,SMD,4k7,0603-RES,4k7-0603-res,20.29,28.58,180.00,-180.00
R2,SMD,150k,0603-RES,150k-0603-res,13.97,22.23,0.00,0.00
R3,SMD,47k,0603-RES,47k-0603-res,20.32,22.23,180.00,-180.00
R14,SMD,39k,0603-RES,39k-0603-res,13.97,19.69,0.00,0.00
R15,SMD,27k,0603-RES,27k-0603-res,13.94,17.14,0.00,0.00
R16,SMD,240k,0603-RES,240k-0603-res,20.32,19.69,0.00,0.00
R17,SMD,1k,0603-RES,1k-0603-res,20.32,17.14,180.00,-180.00
R18,SMD,470R,0603-RES,470r-0603-res,4.45,34.29,270.00,90.00
R19,SMD,47R,0603-RES,47r-0603-res,13.97,24.77,180.00,-180.00
U$1,PTH,PRO-MICRO,ARDUINO-PRO-MICRO-NOSILK,pro-micro-arduino-pro-micro-nosilk,0.00,0.00,180.00,-180.00
U1,SMD,LM393M,SO08,lm393m-so08,13.82,8.23,0.00,0.00
