# name, smd?, value, package, component, x, y, angle
COMS, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 270.00
I2C, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 270.00
J1, PTH, RJ12, RJ25, rj12-rj25, 0.00, 0.00, 180.00
LED1, SMD, Blue, 0805-LED, blue-0805-led, 4.45, 39.50, 270.00
LED2, PTH, Blue, LED5MM, blue-led5mm, 0.00, 0.00, 180.00
Q1, SMD, 2N2222, SOT23, 2n2222-sot23, 19.20, 25.43, 270.00
R1, SMD, 4k7, 0805-RES, 4k7-0805-res, 20.29, 28.58, 180.00
R2, SMD, 150k, 0805-RES, 150k-0805-res, 13.97, 22.23, 0.00
R3, SMD, 47k, 0805-RES, 47k-0805-res, 20.32, 22.23, 180.00
R14, SMD, 39k, 0805-RES, 39k-0805-res, 13.97, 19.69, 0.00
R15, SMD, 27k, 0805-RES, 27k-0805-res, 13.94, 17.14, 0.00
R16, SMD, 240k, 0805-RES, 240k-0805-res, 20.32, 19.69, 0.00
R17, SMD, 1k, 0805-RES, 1k-0805-res, 20.32, 17.14, 180.00
R18, SMD, 470R, 0805-RES, 470r-0805-res, 4.45, 34.29, 270.00
R19, SMD, 47R, 0805-RES, 47r-0805-res, 13.97, 24.77, 180.00
U$1, PTH, ARDUINO-PRO-MICRO, ARDUINO-PRO-MICRO-NOSILK, arduino-pro-micro-arduino-pro-micro-nosilk, 0.00, 0.00, 180.00
U1, SMD, LM393M, SO08, lm393m-so08, 13.82, 8.23, 0.00
