# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
BOARD,PTH,BOARD,BOARD-DINRAIL-3.17INX10CM,board-board-dinrail-3.17inx10cm,0.00,0.00,0.00,0.00
C1,SMD,1uF,0603-CAP,1uf-0603-cap,20.32,57.79,90.00,-90.00
C2,SMD,1.0uF,0603-CAP,1.0uf-0603-cap,6.35,57.79,90.00,-90.00
C5,SMD,220uF,0810-CAP,220uf-0810-cap,8.26,50.16,0.00,0.00
CMRI-IO,PTH,0.100,1X05-CMRI-IO,0.100-1x05-cmri-io,0.00,0.00,90.00,-90.00
CON1,PTH,0.200,MSTB2,0.200-mstb2,0.00,0.00,0.00,0.00
CON2,PTH,2mm,4P-2.0,2mm-4p-2.0,0.00,0.00,90.00,-90.00
CON3,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,90.00,-90.00
CPU,PTH,DAVEK,ARDUINO_PRO_MINI_DAVEK,davek-arduino_pro_mini_davek,0.00,0.00,180.00,-180.00
I2C,PTH,I2C,I2C-L,i2c-i2c-l,0.00,0.00,0.00,0.00
I2C-POWER,PTH,0.100,1X02_LOCK,0.100-1x02_lock,0.00,0.00,90.00,-90.00
IC1,SMD,cj7805,TO-252,cj7805-to-252,13.34,59.80,90.00,-90.00
J2,PTH,RJ12/6,RJ25-PANEL,rj12/6-rj25-panel,0.00,0.00,180.00,-180.00
J4,PTH,2.1mm,DCJ0202,2.1mm-dcj0202,0.00,0.00,0.00,0.00
J5,PTH,RJ12/6,RJ25-PANEL,rj12/6-rj25-panel,0.00,0.00,180.00,-180.00
J6,PTH,RJ12/6,RJ25-PANEL,rj12/6-rj25-panel,0.00,0.00,180.00,-180.00
J7,PTH,RJ12/6,RJ25-PANEL,rj12/6-rj25-panel,0.00,0.00,180.00,-180.00
JP10,PTH,0.100,1X06_LOCK,0.100-1x06_lock,0.00,0.00,180.00,-180.00
JP11,PTH,0.100,1X06_LOCK,0.100-1x06_lock,0.00,0.00,180.00,-180.00
JP12,PTH,0.100,1X06_LOCK,0.100-1x06_lock,0.00,0.00,180.00,-180.00
JP13,PTH,0.100,1X06_LOCK,0.100-1x06_lock,0.00,0.00,180.00,-180.00
OSH,PTH,OSHW,OSHW-LOGO-L,oshw-oshw-logo-l,0.00,0.00,0.00,0.00
PWR,PTH,7.5-12vDC,PWR_LABEL,7.5-12vdc-pwr_label,0.00,0.00,90.00,-90.00
R101,SMD,1k8,0603-RES,1k8-0603-res,82.04,55.88,270.00,90.00
R111,SMD,1K8,0603-RES,1k8-0603-res,79.50,55.88,270.00,90.00
SCL,PTH,0.100,1X02_LOCK,0.100-1x02_lock,0.00,0.00,270.00,90.00
SDA,PTH,0.100,1X02_LOCK,0.100-1x02_lock,0.00,0.00,270.00,90.00
