# name, smd?, value, package, component, x, y, angle
B1, PTH, DBDB101G, DB, dbdb101g-db, 0.00, 0.00, 90.00
C1, SMD, 1uF, 0805-CAP, 1uf-0805-cap, 19.05, 41.91, 0.00
C2, SMD, 1uF, 0805-CAP, 1uf-0805-cap, 7.62, 41.91, 180.00
C5, SMD, 150uF, 0810-CAP, 150uf-0810-cap, 8.26, 33.66, 270.00
I2C, PTH, CONNECTOR-I2CLEFT, I2C-L, connector-i2cleft-i2c-l, 0.00, 0.00, 0.00
IC1, SMD, , TO252, -to252, 13.34, 45.83, 0.00
J1, PTH, RJ12, RJ25, rj12-rj25, 0.00, 0.00, 0.00
J2, PTH, , RJ11-NO_SHIELD, -rj11-no_shield, 0.00, 0.00, 180.00
J3, PTH, CONNECTOR-GROVE-4P-2.0-3470130P1, 4P-2.0, connector-grove-4p-2.0-3470130p1-4p-2.0, 0.00, 0.00, 90.00
J4, PTH, CONNECTOR-DC-POWER-RA, DCJ0202, connector-dc-power-ra-dcj0202, 0.00, 0.00, 0.00
J5, PTH, , RJ11-NO_SHIELD, -rj11-no_shield, 0.00, 0.00, 180.00
J6, PTH, , RJ11-NO_SHIELD, -rj11-no_shield, 0.00, 0.00, 180.00
J7, PTH, , RJ11-NO_SHIELD, -rj11-no_shield, 0.00, 0.00, 180.00
J8, PTH, RJ12, RJ25, rj12-rj25, 0.00, 0.00, 0.00
JP1, PTH, LN-TERM, 1X02_LOCK, ln-term-1x02_lock, 0.00, 0.00, 90.00
JP2, PTH, SDA, 1X02_LOCK, sda-1x02_lock, 0.00, 0.00, 270.00
JP3, PTH, SCL, 1X02_LOCK, scl-1x02_lock, 0.00, 0.00, 270.00
JP5, PTH, I2C Power, 1X02_LOCK, i2c power-1x02_lock, 0.00, 0.00, 90.00
JP10, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00
JP11, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00
JP12, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00
JP13, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00
LED1, SMD, Blue, 0805-LED, blue-0805-led, 36.20, 39.37, 0.00
LED4, SMD, Y-0330050P1, 0603-LED, y-0330050p1-0603-led, 90.17, 52.71, 180.00
LED5, SMD, Y-0330050P1, 0603-LED, y-0330050p1-0603-led, 86.36, 52.71, 180.00
LED6, SMD, Y-0330050P1, 0603-LED, y-0330050p1-0603-led, 82.55, 52.71, 180.00
LED7, SMD, Y-0330050P1, 0603-LED, y-0330050p1-0603-led, 78.74, 52.71, 180.00
LED8, SMD, Y-0330050P1, 0603-LED, y-0330050p1-0603-led, 72.39, 52.71, 180.00
LED9, SMD, Y-0330050P1, 0603-LED, y-0330050p1-0603-led, 68.58, 52.71, 180.00
LED10, SMD, Y-0330050P1, 0603-LED, y-0330050p1-0603-led, 64.77, 52.71, 180.00
