# name, smd?, value, package, component, x, y, angle
C1, SMD, 1uF, 0805-CAP, 1uf-0805-cap, 24.13, 31.75, 0.00
C2, SMD, 1uF, 0805-CAP, 1uf-0805-cap, 11.43, 31.75, 180.00
C3, SMD, 1uF, 0805-CAP, 1uf-0805-cap, 89.54, 66.67, 0.00
C4, SMD, 1uF, 0805-CAP, 1uf-0805-cap, 51.44, 66.67, 0.00
C5, SMD, 150uF, 0810-CAP, 150uf-0810-cap, 6.99, 53.98, 180.00
C6, SMD, 150uF, 0810-CAP, 150uf-0810-cap, 28.58, 53.98, 0.00
I2C, PTH, CONNECTOR-I2CLEFT, I2C-L, connector-i2cleft-i2c-l, 0.00, 0.00, 0.00
IC1, SMD, 7805, TO252, 7805-to252, 17.78, 35.67, 0.00
J2, PTH, , RJ25, -rj25, 0.00, 0.00, 180.00
J3, PTH, CONNECTOR-GROVE-4P-2.0-3470130P1, 4P-2.0, connector-grove-4p-2.0-3470130p1-4p-2.0, 0.00, 0.00, 90.00
J4, PTH, , DCJ0202, -dcj0202, 0.00, 0.00, 0.00
J5, PTH, , RJ25, -rj25, 0.00, 0.00, 180.00
JP5, PTH, 5v I2C Power, 1X02_LOCK, 5v i2c power-1x02_lock, 0.00, 0.00, 90.00
JP10, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00
JP11, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00
R101, PTH, 1k8, 1/6W-RES, 1k8-1/6w-res, 0.00, 0.00, 270.00
R111, PTH, 1k8, 1/6W-RES, 1k8-1/6w-res, 0.00, 0.00, 270.00
U$1, PTH, OSHW-LOGOL, OSHW-LOGO-L, oshw-logol-oshw-logo-l, 0.00, 0.00, 0.00
U$2, PTH, , WEMOS-D1, -wemos-d1, 0.00, 0.00, 180.00
U$3, PTH, 9-12vDC, POWER_USAGE, 9-12vdc-power_usage, 0.00, 0.00, 90.00
U$4, PTH, BOARD80X100, BOARD-DINRAIL-3.17IN, board80x100-board-dinrail-3.17in, 0.00, 0.00, 0.00
U$5, PTH, VMATCH, VMATCH, vmatch-vmatch, 0.00, 0.00, 270.00
U$6, PTH, VMATCH, VMATCH, vmatch-vmatch, 0.00, 0.00, 270.00
