# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
BOARD,PTH,BOARD,BOARD-DINRAIL-3.17INX8CM-NOHOLES,board-board-dinrail-3.17inx8cm-noholes,0.00,0.00,0.00,0.00
C1,SMD,1.0uF,0603-CAP,1.0uf-0603-cap,18.03,63.88,270.00,90.00
C2,SMD,10uF,0603-CAP,10uf-0603-cap,22.61,63.88,270.00,90.00
C3,SMD,220uF,0810-CAP,220uf-0810-cap,8.26,67.95,270.00,90.00
C4,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,68.58,76.71,90.00,-90.00
CMRI-IO,PTH,0.100,1X05-CMRI-IO,0.100-1x05-cmri-io,0.00,0.00,90.00,-90.00
CON1,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,90.00,-90.00
FID-LR,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,70.87,6.48,0.00,0.00
FID-UL,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,9.40,92.71,0.00,0.00
I2C,PTH,I2C,I2C-L,i2c-i2c-l,0.00,0.00,0.00,0.00
I2C-OLED,PTH,I2C,I2C-NOOUTLINE,i2c-i2c-nooutline,0.00,0.00,180.00,-180.00
IO4-6,PTH,0.100,1X06_LOCK,0.100-1x06_lock,0.00,0.00,180.00,-180.00
J1,PTH,2.1mm,DCJ0202,2.1mm-dcj0202,0.00,0.00,0.00,0.00
J2,PTH,2mm,4P-2.0,2mm-4p-2.0,0.00,0.00,90.00,-90.00
J3,PTH,RJ12/6,RJ25-PANEL,rj12/6-rj25-panel,0.00,0.00,180.00,-180.00
JP1,PTH,0.100,1X02_LOCK,0.100-1x02_lock,0.00,0.00,270.00,90.00
LABEL1,PTH,7.5-12vDC,PWR_LABEL,7.5-12vdc-pwr_label,0.00,0.00,90.00,-90.00
LED18,SMD,G,0603-LED,g-0603-led,3.68,86.36,180.00,-180.00
OSHW1,PTH,OSHW,OSHW-LOGO-L,oshw-oshw-logo-l,0.00,0.00,0.00,0.00
Q1,SMD,BSS138,SOT23,bss138-sot23,21.59,49.53,270.00,90.00
Q2,SMD,BSS138,SOT23,bss138-sot23,26.67,49.53,270.00,90.00
Q3,SMD,BSS138,SOT23,bss138-sot23,31.75,49.53,270.00,90.00
Q4,SMD,BSS138,SOT23,bss138-sot23,40.01,49.53,270.00,90.00
Q5,SMD,BSS138,SOT23,bss138-sot23,44.45,49.53,270.00,90.00
Q6,SMD,BSS138,SOT23,bss138-sot23,48.90,49.53,270.00,90.00
Q7,SMD,BSS138,SOT23,bss138-sot23,53.34,49.53,270.00,90.00
Q8,SMD,BSS138,SOT23,bss138-sot23,60.96,49.53,270.00,90.00
Q9,SMD,BSS138,SOT23,bss138-sot23,66.04,49.53,270.00,90.00
R1,SMD,10k,0603-RES,10k-0603-res,21.59,45.09,180.00,-180.00
R2,SMD,10k,0603-RES,10k-0603-res,26.67,45.09,180.00,-180.00
R3,SMD,10k,0603-RES,10k-0603-res,31.75,45.09,180.00,-180.00
R4,SMD,10k,0603-RES,10k-0603-res,40.01,45.09,180.00,-180.00
R5,SMD,10k,0603-RES,10k-0603-res,44.45,45.09,180.00,-180.00
R6,SMD,10k,0603-RES,10k-0603-res,48.90,45.09,180.00,-180.00
R7,SMD,10k,0603-RES,10k-0603-res,53.34,45.09,180.00,-180.00
R8,SMD,10k,0603-RES,10k-0603-res,60.96,45.09,180.00,-180.00
R9,SMD,10k,0603-RES,10k-0603-res,66.04,45.09,180.00,-180.00
R10,SMD,10k,0603-RES,10k-0603-res,21.59,54.61,90.00,-90.00
R11,SMD,10k,0603-RES,10k-0603-res,26.67,54.61,90.00,-90.00
R12,SMD,10k,0603-RES,10k-0603-res,31.75,54.61,90.00,-90.00
R13,SMD,10k,0603-RES,10k-0603-res,40.01,54.61,90.00,-90.00
R14,SMD,10k,0603-RES,10k-0603-res,44.45,54.61,90.00,-90.00
R15,SMD,10k,0603-RES,10k-0603-res,48.90,54.61,90.00,-90.00
R16,SMD,10k,0603-RES,10k-0603-res,53.34,54.61,90.00,-90.00
R17,SMD,10k,0603-RES,10k-0603-res,60.96,54.61,90.00,-90.00
R18,SMD,10k,0603-RES,10k-0603-res,66.04,54.61,90.00,-90.00
R19,SMD,2K0,0603-RES,2k0-0603-res,10.16,86.36,0.00,0.00
VR5.0,SMD,cj7805,TO-252,cj7805-to-252,20.32,72.50,90.00,-90.00
WEMOS,PTH,Mini-R2,WEMOS-D1,mini-r2-wemos-d1,0.00,0.00,180.00,-180.00
