# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
C1, SMD, 1.0uF, 0805-CAP, 1.0uf-0805-cap, 18.03, 53.72, 270.00, 90.00
C2, SMD, 10uF, 0805-CAP, 10uf-0805-cap, 22.61, 53.72, 270.00, 90.00
C3, SMD, 150uF, 0810-CAP, 150uf-0810-cap, 8.26, 57.79, 270.00, 90.00
C4, SMD, 0.1uF, 0805-CAP, 0.1uf-0805-cap, 68.58, 66.55, 90.00, -90.00
FID-LL, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 3.30, 3.18, 0.00, 0.00
FID-LR, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 77.22, 3.94, 0.00, 0.00
FID-UL, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 1.78, 78.11, 0.00, 0.00
FID-UR, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 77.85, 75.69, 0.00, 0.00
LED18, SMD, G, 0603-LED, g-0603-led, 3.68, 76.20, 180.00, -180.00
Q1, SMD, , SOT23, -sot23, 21.59, 39.37, 270.00, 90.00
Q2, SMD, , SOT23, -sot23, 26.67, 39.37, 270.00, 90.00
Q3, SMD, , SOT23, -sot23, 31.75, 39.37, 270.00, 90.00
Q4, SMD, , SOT23, -sot23, 40.01, 39.37, 270.00, 90.00
Q5, SMD, , SOT23, -sot23, 44.45, 39.37, 270.00, 90.00
Q6, SMD, , SOT23, -sot23, 48.90, 39.37, 270.00, 90.00
Q7, SMD, , SOT23, -sot23, 53.34, 39.37, 270.00, 90.00
Q8, SMD, , SOT23, -sot23, 60.96, 39.37, 270.00, 90.00
Q9, SMD, , SOT23, -sot23, 66.04, 39.37, 270.00, 90.00
R1, SMD, 10k, 0805-RES, 10k-0805-res, 21.59, 34.93, 180.00, -180.00
R2, SMD, 10k, 0805-RES, 10k-0805-res, 26.67, 34.93, 180.00, -180.00
R3, SMD, 10k, 0805-RES, 10k-0805-res, 31.75, 34.93, 180.00, -180.00
R4, SMD, 10k, 0805-RES, 10k-0805-res, 40.01, 34.93, 180.00, -180.00
R5, SMD, 10k, 0805-RES, 10k-0805-res, 44.45, 34.93, 180.00, -180.00
R6, SMD, 10k, 0805-RES, 10k-0805-res, 48.90, 34.93, 180.00, -180.00
R7, SMD, 10k, 0805-RES, 10k-0805-res, 53.34, 34.93, 180.00, -180.00
R8, SMD, 10k, 0805-RES, 10k-0805-res, 60.96, 34.93, 180.00, -180.00
R9, SMD, 10k, 0805-RES, 10k-0805-res, 66.04, 34.93, 180.00, -180.00
R10, SMD, 10k, 0805-RES, 10k-0805-res, 21.59, 44.45, 90.00, -90.00
R11, SMD, 10k, 0805-RES, 10k-0805-res, 26.67, 44.45, 90.00, -90.00
R12, SMD, 10k, 0805-RES, 10k-0805-res, 31.75, 44.45, 90.00, -90.00
R13, SMD, 10k, 0805-RES, 10k-0805-res, 40.01, 44.45, 90.00, -90.00
R14, SMD, 10k, 0805-RES, 10k-0805-res, 44.45, 44.45, 90.00, -90.00
R15, SMD, 10k, 0805-RES, 10k-0805-res, 48.90, 44.45, 90.00, -90.00
R16, SMD, 10k, 0805-RES, 10k-0805-res, 53.34, 44.45, 90.00, -90.00
R17, SMD, 10k, 0805-RES, 10k-0805-res, 60.96, 44.45, 90.00, -90.00
R18, SMD, 10k, 0805-RES, 10k-0805-res, 66.04, 44.45, 90.00, -90.00
R19, SMD, 2K0, 0603-RES, 2k0-0603-res, 10.16, 76.20, 0.00, 0.00
VR5.0, SMD, 5v, TO-252, 5v-to-252, 20.32, 62.34, 90.00, -90.00
