# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
C1,PTH,.01uf,C050-025X075,.01uf-c050-025x075,0.00,0.00,90.00,-90.00
C2,PTH,10uF,E2-5,10uf-e2-5,0.00,0.00,270.00,90.00
C3,PTH,.01uf,C050-025X075,.01uf-c050-025x075,0.00,0.00,270.00,90.00
IC1,PTH,74LS00N,DIL14,74ls00n-dil14,0.00,0.00,0.00,0.00
IC2,PTH,7407N,DIL14,7407n-dil14,0.00,0.00,0.00,0.00
RN1,PTH,1K,DIL14,1k-dil14,0.00,0.00,270.00,90.00
U$1,PTH,,2,8,-2,8,0.00,0.00,0.00,0.00
U$2,PTH,,2,8,-2,8,0.00,0.00,0.00,0.00
U$3,PTH,,2,8,-2,8,0.00,0.00,0.00,0.00
U$4,PTH,,2,8,-2,8,0.00,0.00,0.00,0.00
U$5,PTH,,MRCSLOGOTOP,-mrcslogotop,0.00,0.00,0.00,0.00
U$6,PTH,,CA-PROP65-BACK,-ca-prop65-back,0.00,0.00,0.00,0.00
X1,PTH,P1,22-23-2061,p1-22-23-2061,0.00,0.00,0.00,0.00
X2,PTH,P2,22-23-2061,p2-22-23-2061,0.00,0.00,0.00,0.00
