# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
C1X11,PTH,.01uf,C050-025X075,.01uf-c050-025x075,0.00,0.00,90.00,-90.00
C1X12,PTH,.01uf,C050-025X075,.01uf-c050-025x075,0.00,0.00,90.00,-90.00
C1X21,PTH,.01uf,C050-025X075,.01uf-c050-025x075,0.00,0.00,90.00,-90.00
C1X22,PTH,.01uf,C050-025X075,.01uf-c050-025x075,0.00,0.00,90.00,-90.00
C2X11,PTH,10uF,E2-5,10uf-e2-5,0.00,0.00,270.00,90.00
C2X12,PTH,10uF,E2-5,10uf-e2-5,0.00,0.00,270.00,90.00
C2X21,PTH,10uF,E2-5,10uf-e2-5,0.00,0.00,270.00,90.00
C2X22,PTH,10uF,E2-5,10uf-e2-5,0.00,0.00,270.00,90.00
C3X11,PTH,.01uf,C050-025X075,.01uf-c050-025x075,0.00,0.00,270.00,90.00
C3X12,PTH,.01uf,C050-025X075,.01uf-c050-025x075,0.00,0.00,270.00,90.00
C3X21,PTH,.01uf,C050-025X075,.01uf-c050-025x075,0.00,0.00,270.00,90.00
C3X22,PTH,.01uf,C050-025X075,.01uf-c050-025x075,0.00,0.00,270.00,90.00
IC1X11,PTH,74LS00N,DIL14,74ls00n-dil14,0.00,0.00,0.00,0.00
IC1X12,PTH,74LS00N,DIL14,74ls00n-dil14,0.00,0.00,0.00,0.00
IC1X21,PTH,74LS00N,DIL14,74ls00n-dil14,0.00,0.00,0.00,0.00
IC1X22,PTH,74LS00N,DIL14,74ls00n-dil14,0.00,0.00,0.00,0.00
IC2X11,PTH,7407N,DIL14,7407n-dil14,0.00,0.00,0.00,0.00
IC2X12,PTH,7407N,DIL14,7407n-dil14,0.00,0.00,0.00,0.00
IC2X21,PTH,7407N,DIL14,7407n-dil14,0.00,0.00,0.00,0.00
IC2X22,PTH,7407N,DIL14,7407n-dil14,0.00,0.00,0.00,0.00
RN1X11,PTH,1K,DIL14,1k-dil14,0.00,0.00,270.00,90.00
RN1X12,PTH,1K,DIL14,1k-dil14,0.00,0.00,270.00,90.00
RN1X21,PTH,1K,DIL14,1k-dil14,0.00,0.00,270.00,90.00
RN1X22,PTH,1K,DIL14,1k-dil14,0.00,0.00,270.00,90.00
U$1X11,PTH,,2,8,-2,8,0.00,0.00,0.00,0.00
U$1X12,PTH,,2,8,-2,8,0.00,0.00,0.00,0.00
U$1X21,PTH,,2,8,-2,8,0.00,0.00,0.00,0.00
U$1X22,PTH,,2,8,-2,8,0.00,0.00,0.00,0.00
U$2X11,PTH,,2,8,-2,8,0.00,0.00,0.00,0.00
U$2X12,PTH,,2,8,-2,8,0.00,0.00,0.00,0.00
U$2X21,PTH,,2,8,-2,8,0.00,0.00,0.00,0.00
U$2X22,PTH,,2,8,-2,8,0.00,0.00,0.00,0.00
U$3X11,PTH,,2,8,-2,8,0.00,0.00,0.00,0.00
U$3X12,PTH,,2,8,-2,8,0.00,0.00,0.00,0.00
U$3X21,PTH,,2,8,-2,8,0.00,0.00,0.00,0.00
U$3X22,PTH,,2,8,-2,8,0.00,0.00,0.00,0.00
U$4X11,PTH,,2,8,-2,8,0.00,0.00,0.00,0.00
U$4X12,PTH,,2,8,-2,8,0.00,0.00,0.00,0.00
U$4X21,PTH,,2,8,-2,8,0.00,0.00,0.00,0.00
U$4X22,PTH,,2,8,-2,8,0.00,0.00,0.00,0.00
U$5X11,PTH,,MRCSLOGOTOP,-mrcslogotop,0.00,0.00,0.00,0.00
U$5X12,PTH,,MRCSLOGOTOP,-mrcslogotop,0.00,0.00,0.00,0.00
U$5X21,PTH,,MRCSLOGOTOP,-mrcslogotop,0.00,0.00,0.00,0.00
U$5X22,PTH,,MRCSLOGOTOP,-mrcslogotop,0.00,0.00,0.00,0.00
U$6X11,PTH,,CA-PROP65-BACK,-ca-prop65-back,0.00,0.00,0.00,0.00
U$6X12,PTH,,CA-PROP65-BACK,-ca-prop65-back,0.00,0.00,0.00,0.00
U$6X21,PTH,,CA-PROP65-BACK,-ca-prop65-back,0.00,0.00,0.00,0.00
U$6X22,PTH,,CA-PROP65-BACK,-ca-prop65-back,0.00,0.00,0.00,0.00
X1X11,PTH,P1,22-23-2061,p1-22-23-2061,0.00,0.00,0.00,0.00
X1X12,PTH,P1,22-23-2061,p1-22-23-2061,0.00,0.00,0.00,0.00
X1X21,PTH,P1,22-23-2061,p1-22-23-2061,0.00,0.00,0.00,0.00
X1X22,PTH,P1,22-23-2061,p1-22-23-2061,0.00,0.00,0.00,0.00
X2X11,PTH,P2,22-23-2061,p2-22-23-2061,0.00,0.00,0.00,0.00
X2X12,PTH,P2,22-23-2061,p2-22-23-2061,0.00,0.00,0.00,0.00
X2X21,PTH,P2,22-23-2061,p2-22-23-2061,0.00,0.00,0.00,0.00
X2X22,PTH,P2,22-23-2061,p2-22-23-2061,0.00,0.00,0.00,0.00
