# name, smd?, value, package, component, x, y, angle
BOARD1, PTH, , BOARD-DINRAIL-3.17IN-NOHOLES, -board-dinrail-3.17in-noholes, 0.00, 0.00, 0.00
C1, SMD, 0.1uF, 0805-CAP, 0.1uf-0805-cap, 8.26, 67.31, 0.00
C2, SMD, 10uF, 0805-CAP, 10uf-0805-cap, 8.26, 57.15, 0.00
C3, SMD, 0.1uF, 0805-CAP, 0.1uf-0805-cap, 51.44, 43.82, 0.00
C4, SMD, 220uF, 0810-CAP, 220uf-0810-cap, 77.47, 26.67, 90.00
CON1, PTH, , DCJ0202, -dcj0202, 0.00, 0.00, 90.00
FID1, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 2.54, 88.27, 0.00
FID2, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 2.54, 12.70, 0.00
FID3, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 96.52, 50.80, 0.00
IC1, SMD, MAX7311, TSSOP24, max7311-tssop24, 51.44, 38.10, 90.00
IOB1, PTH, IO4-IOBBARE, IO4-IOB, io4-iobbare-io4-iob, 0.00, 0.00, 270.00
IOB2, PTH, IO4-IOBBARE, IO4-IOB, io4-iobbare-io4-iob, 0.00, 0.00, 270.00
IOB3, PTH, IO4-IOBBARE, IO4-IOB, io4-iobbare-io4-iob, 0.00, 0.00, 270.00
IOB4, PTH, IO4-IOBBARE, IO4-IOB, io4-iobbare-io4-iob, 0.00, 0.00, 270.00
J1, PTH, CONNECTOR-I2CLEFT, I2C-L, connector-i2cleft-i2c-l, 0.00, 0.00, 0.00
J2, PTH, CONNECTOR-I2CLEFT, I2C-L, connector-i2cleft-i2c-l, 0.00, 0.00, 0.00
J5, PTH, CONNECTOR-GROVE-4P-2.0-3470130P1, 4P-2.0, connector-grove-4p-2.0-3470130p1-4p-2.0, 0.00, 0.00, 90.00
J8, PTH, CONNECTOR-GROVE-4P-2.0-3470130P1, 4P-2.0, connector-grove-4p-2.0-3470130p1-4p-2.0, 0.00, 0.00, 90.00
LED16, SMD, DIM-GREEN, 0603-LED, dim-green-0603-led, 5.71, 78.87, 270.00
LED18, SMD, DIM-GREEN, 0603-LED, dim-green-0603-led, 5.71, 85.22, 270.00
R1, SMD, 10k, 0603-RES, 10k-0603-res, 86.36, 49.53, 270.00
R2, SMD, 10k, 0603-RES, 10k-0603-res, 83.82, 49.53, 270.00
R3, SMD, 10k, 0603-RES, 10k-0603-res, 81.28, 49.53, 270.00
R4, SMD, 10k, 0603-RES, 10k-0603-res, 78.74, 49.53, 270.00
R5, SMD, 10k, 0603-RES, 10k-0603-res, 64.77, 49.53, 270.00
R6, SMD, 10k, 0603-RES, 10k-0603-res, 62.23, 49.53, 270.00
R7, SMD, 10k, 0603-RES, 10k-0603-res, 59.69, 49.53, 270.00
R8, SMD, 10k, 0603-RES, 10k-0603-res, 57.15, 49.53, 270.00
R9, SMD, 10k, 0603-RES, 10k-0603-res, 43.18, 49.53, 270.00
R10, SMD, 10k, 0603-RES, 10k-0603-res, 40.64, 49.53, 270.00
R11, SMD, 10k, 0603-RES, 10k-0603-res, 38.10, 49.53, 270.00
R12, SMD, 10k, 0603-RES, 10k-0603-res, 35.56, 49.53, 270.00
R13, SMD, 10k, 0603-RES, 10k-0603-res, 21.59, 49.53, 270.00
R14, SMD, 10k, 0603-RES, 10k-0603-res, 19.05, 49.53, 270.00
R15, SMD, 10k, 0603-RES, 10k-0603-res, 16.51, 49.53, 270.00
R16, SMD, 10k, 0603-RES, 10k-0603-res, 13.97, 49.53, 270.00
R17, SMD, 2k2, 0603-RES, 2k2-0603-res, 9.53, 78.11, 0.00
R18, SMD, 2K2, 0603-RES, 2k2-0603-res, 9.53, 84.45, 0.00
R19, SMD, 4k7, 0603-RES, 4k7-0603-res, 20.96, 22.86, 270.00
R20, SMD, 4k7, 0603-RES, 4k7-0603-res, 18.41, 22.86, 270.00
SCL, PTH, SDA, 1X02_LOCK, sda-1x02_lock, 0.00, 0.00, 90.00
SDA, PTH, SCL, 1X02_LOCK, scl-1x02_lock, 0.00, 0.00, 90.00
SW1, PTH, A0, EDG-04, a0-edg-04, 0.00, 0.00, 180.00
SW2, PTH, A1, EDG-04, a1-edg-04, 0.00, 0.00, 180.00
SW3, PTH, A2, EDG-04, a2-edg-04, 0.00, 0.00, 180.00
U$1, PTH, OSHW-LOGOL, OSHW-LOGO-L, oshw-logol-oshw-logo-l, 0.00, 0.00, 0.00
VR1, SMD, CJ7805, TO-252, cj7805-to-252, 12.17, 62.23, 270.00
