# name, smd?, value, package, component, x, y, angle
AD0, PTH, , MA04-2, -ma04-2, 0.00, 0.00, 90.00
AD1, PTH, , MA04-2, -ma04-2, 0.00, 0.00, 90.00
AD2, PTH, , MA04-2, -ma04-2, 0.00, 0.00, 90.00
AD3, PTH, , MA04-2, -ma04-2, 0.00, 0.00, 90.00
AD4, PTH, , MA04-2, -ma04-2, 0.00, 0.00, 90.00
AD5, PTH, , MA04-2, -ma04-2, 0.00, 0.00, 90.00
BOARD1, PTH, , BOARD-SEEED10X15/2-NOHOLES, -board-seeed10x15/2-noholes, 0.00, 0.00, 0.00
C1, SMD, 0.1uF, 0805-CAP, 0.1uf-0805-cap, 105.41, 29.21, 90.00
C2, SMD, 0.1uF, 0805-CAP, 0.1uf-0805-cap, 105.41, 33.02, 270.00
C3, PTH, 220uF, E5-10.5, 220uf-e5-10.5, 0.00, 0.00, 90.00
C4, SMD, 0.1uF, 0805-CAP, 0.1uf-0805-cap, 105.41, 80.01, 90.00
C5, SMD, 0.1uF, 0805-CAP, 0.1uf-0805-cap, 105.41, 83.82, 270.00
C6, PTH, 220uF, E5-10.5, 220uf-e5-10.5, 0.00, 0.00, 90.00
CODEBUTTON, PTH, , 1X02_LOCK, -1x02_lock, 0.00, 0.00, 90.00
CODEBUTTON1, PTH, , 1X02_LOCK, -1x02_lock, 0.00, 0.00, 90.00
CON1, PTH, CONNECTOR-I2CLEFT, I2C-L, connector-i2cleft-i2c-l, 0.00, 0.00, 90.00
CON2, PTH, CONNECTOR-I2CLEFT, I2C-L, connector-i2cleft-i2c-l, 0.00, 0.00, 90.00
I2C-CABLE, PTH, , MA04-2, -ma04-2, 0.00, 0.00, 180.00
I2C-CABLE1, PTH, , MA04-2, -ma04-2, 0.00, 0.00, 180.00
IC1, SMD, MAX7313AEG, QSOP24, max7313aeg-qsop24, 71.12, 31.75, 180.00
IC2, SMD, MAX7313AEG, QSOP24, max7313aeg-qsop24, 71.12, 82.55, 180.00
LED-SIG-E, PTH, Green, LED3MM, green-led3mm, 0.00, 0.00, 180.00
LED-SIG-E1, PTH, Green, LED3MM, green-led3mm, 0.00, 0.00, 180.00
LED-SIG-S, PTH, Red, LED3MM, red-led3mm, 0.00, 0.00, 180.00
LED-SIG-S1, PTH, Red, LED3MM, red-led3mm, 0.00, 0.00, 180.00
LED-SIG-W, PTH, Green, LED3MM, green-led3mm, 0.00, 0.00, 180.00
LED-SIG-W1, PTH, Green, LED3MM, green-led3mm, 0.00, 0.00, 180.00
LED-SW-N, PTH, Green, LED3MM, green-led3mm, 0.00, 0.00, 180.00
LED-SW-N1, PTH, Green, LED3MM, green-led3mm, 0.00, 0.00, 180.00
LED-SW-R, PTH, Red/Orange, LED3MM, red/orange-led3mm, 0.00, 0.00, 180.00
LED-SW-R1, PTH, Red/Orange, LED3MM, red/orange-led3mm, 0.00, 0.00, 180.00
MCLED, PTH, , 1X02_LOCK, -1x02_lock, 0.00, 0.00, 90.00
