# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
C1,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,105.41,29.21,90.00,-90.00
C2,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,105.41,33.02,270.00,90.00
C3,SMD,220uF,0810-CAP,220uf-0810-cap,111.76,30.48,0.00,0.00
C4,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,105.41,80.01,90.00,-90.00
C5,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,105.41,83.82,270.00,90.00
C6,SMD,220uF,0810-CAP,220uf-0810-cap,111.76,81.28,0.00,0.00
IC1,SMD,MAX7313AEG,QSOP24,max7313aeg-qsop24,71.12,31.75,180.00,-180.00
IC2,SMD,MAX7313AEG,QSOP24,max7313aeg-qsop24,71.12,82.55,180.00,-180.00
R1,SMD,82R,0603-RES,82r-0603-res,74.93,25.40,0.00,0.00
R2,SMD,56R,0603-RES,56r-0603-res,84.71,38.10,0.00,0.00
R3,SMD,56R,0603-RES,56r-0603-res,84.71,12.70,0.00,0.00
R4,SMD,82R,0603-RES,82r-0603-res,16.51,43.18,180.00,-180.00
R5,SMD,56R,0603-RES,56r-0603-res,16.51,40.64,180.00,-180.00
R6,SMD,82R,0603-RES,82r-0603-res,136.78,4.83,0.00,0.00
R7,SMD,82R,0603-RES,82r-0603-res,22.23,19.05,180.00,-180.00
R8,SMD,82R,0603-RES,82r-0603-res,22.23,24.13,180.00,-180.00
R9,SMD,82R,0603-RES,82r-0603-res,22.23,29.21,180.00,-180.00
R10,SMD,10k,0603-RES,10k-0603-res,16.51,38.10,0.00,0.00
R11,SMD,10k,0603-RES,10k-0603-res,35.56,38.73,0.00,0.00
R12,SMD,10k,0603-RES,10k-0603-res,35.56,36.20,0.00,0.00
R13,SMD,10k,0603-RES,10k-0603-res,125.73,12.70,270.00,90.00
R14,SMD,10k,0603-RES,10k-0603-res,123.19,12.70,270.00,90.00
R15,SMD,10k,0603-RES,10k-0603-res,120.65,12.70,270.00,90.00
R16,SMD,10k,0603-RES,10k-0603-res,118.11,12.70,270.00,90.00
R17,SMD,82R,0603-RES,82r-0603-res,74.93,76.20,0.00,0.00
R18,SMD,56R,0603-RES,56r-0603-res,84.71,88.90,0.00,0.00
R19,SMD,56R,0603-RES,56r-0603-res,84.71,63.50,0.00,0.00
R20,SMD,82R,0603-RES,82r-0603-res,16.51,93.98,180.00,-180.00
R21,SMD,56R,0603-RES,56r-0603-res,16.51,91.44,180.00,-180.00
R22,SMD,82R,0603-RES,82r-0603-res,136.78,55.63,0.00,0.00
R23,SMD,82R,0603-RES,82r-0603-res,22.23,69.85,180.00,-180.00
R24,SMD,82R,0603-RES,82r-0603-res,22.23,74.93,180.00,-180.00
R25,SMD,82R,0603-RES,82r-0603-res,22.23,80.01,180.00,-180.00
R26,SMD,10k,0603-RES,10k-0603-res,16.51,88.90,0.00,0.00
R27,SMD,10k,0603-RES,10k-0603-res,35.56,89.54,0.00,0.00
R28,SMD,10k,0603-RES,10k-0603-res,35.56,87.00,0.00,0.00
R29,SMD,10k,0603-RES,10k-0603-res,125.73,63.50,270.00,90.00
R30,SMD,10k,0603-RES,10k-0603-res,123.19,63.50,270.00,90.00
R31,SMD,10k,0603-RES,10k-0603-res,120.65,63.50,270.00,90.00
R32,SMD,10k,0603-RES,10k-0603-res,118.11,63.50,270.00,90.00
VR1,SMD,3v3,SOT223,3v3-sot223,111.76,39.37,0.00,0.00
VR2,SMD,3v3,SOT223,3v3-sot223,111.76,90.17,0.00,0.00
