# name, smd?, value, package, component, x, y, angle
A0, PTH, , J3-254, -j3-254, 0.00, 0.00, 90.00
A1, PTH, , J3-254, -j3-254, 0.00, 0.00, 90.00
A2, PTH, , J3-254, -j3-254, 0.00, 0.00, 90.00
C1, SMD, 150uF, 0810-CAP, 150uf-0810-cap, 8.26, 25.40, 270.00
C2, SMD, 0.1uF, 0805-CAP, 0.1uf-0805-cap, 14.61, 27.94, 90.00
I2C0, PTH, I2CLEFT, I2C-L, i2cleft-i2c-l, 0.00, 0.00, 0.00
I2C1, PTH, I2CLEFT, I2C-L, i2cleft-i2c-l, 0.00, 0.00, 0.00
IC1, SMD, PCF8591T, SO16W, pcf8591t-so16w, 20.96, 25.40, 180.00
LOGO1, PTH, OSHW-LOGOL, OSHW-LOGO-L, oshw-logol-oshw-logo-l, 0.00, 0.00, 0.00
U$9, PTH, BOARD50X50, BOARD-SEEED5X5, board50x50-board-seeed5x5, 0.00, 0.00, 0.00
X1, PTH, RJ45-FRONT, RJ45-NO-SHIELD, rj45-front-rj45-no-shield, 0.00, 0.00, 180.00
