# name, smd?, value, package, component, x, y, angle
A0, PTH, , 1X03, -1x03, 0.00, 0.00, 90.00
A1, PTH, , 1X03, -1x03, 0.00, 0.00, 90.00
A2, PTH, , 1X03, -1x03, 0.00, 0.00, 90.00
A3, PTH, , 1X03, -1x03, 0.00, 0.00, 90.00
A4, PTH, , 1X03, -1x03, 0.00, 0.00, 90.00
A5, PTH, , 1X03, -1x03, 0.00, 0.00, 90.00
BOARD1, PTH, BOARD80X100-TEMPLATE, BOARD-10X8-TEMPLATE, board80x100-template-board-10x8-template, 0.00, 0.00, 0.00
C1, SMD, 0.1uF, 0603-CAP, 0.1uf-0603-cap, 76.20, 40.64, 180.00
C4, SMD, 0.1uF, 0603-CAP, 0.1uf-0603-cap, 23.11, 20.45, 90.00
C8, SMD, 150uF, 0810-CAP, 150uf-0810-cap, 76.20, 47.62, 0.00
CON1, PTH, , MSTBA4, -mstba4, 0.00, 0.00, 180.00
CON2, PTH, , MSTBA4, -mstba4, 0.00, 0.00, 180.00
CON3, PTH, , MSTBA2, -mstba2, 0.00, 0.00, 180.00
CON4, PTH, , MSTBA2, -mstba2, 0.00, 0.00, 180.00
I2C-1, PTH, CONNECTOR-I2CLEFT, I2C-L, connector-i2cleft-i2c-l, 0.00, 0.00, 0.00
I2C-2, PTH, CONNECTOR-I2CLEFT, I2C-L, connector-i2cleft-i2c-l, 0.00, 0.00, 0.00
OSHW1, PTH, OSHW-LOGOL, OSHW-LOGO-L, oshw-logol-oshw-logo-l, 0.00, 0.00, 0.00
POWER, PTH, , MSTBA2, -mstba2, 0.00, 0.00, 0.00
Q1, SMD, IRF540N, SO08, irf540n-so08, 8.89, 60.33, 0.00
Q2, SMD, IRF540N, SO08, irf540n-so08, 15.24, 60.33, 0.00
Q3, SMD, IRF540N, SO08, irf540n-so08, 21.59, 60.33, 0.00
Q4, SMD, IRF540N, SO08, irf540n-so08, 33.02, 60.33, 0.00
Q5, SMD, IRF540N, SO08, irf540n-so08, 39.37, 60.33, 0.00
Q6, SMD, IRF540N, SO08, irf540n-so08, 45.72, 60.33, 0.00
Q7, SMD, IRF540N, SO08, irf540n-so08, 58.42, 60.33, 0.00
Q8, SMD, IRF540N, SO08, irf540n-so08, 73.66, 60.33, 0.00
U$2, PTH, MOUNTINGHOLE, MOUNTINGHOLE, mountinghole-mountinghole, 0.00, 0.00, 0.00
U$3, PTH, MOUNTINGHOLE, MOUNTINGHOLE, mountinghole-mountinghole, 0.00, 0.00, 0.00
U$4, PTH, MOUNTINGHOLE, MOUNTINGHOLE, mountinghole-mountinghole, 0.00, 0.00, 0.00
U$5, PTH, MOUNTINGHOLE, MOUNTINGHOLE, mountinghole-mountinghole, 0.00, 0.00, 0.00
U1, SMD, PCA9685PW, TSSOP28, pca9685pw-tssop28, 29.21, 20.32, 180.00
