# name, smd?, value, package, component, x, y, angle
A1, PTH, , 1X03, -1x03, 0.00, 0.00, 90.00
A2, PTH, , 1X03, -1x03, 0.00, 0.00, 90.00
A3, PTH, , 1X03, -1x03, 0.00, 0.00, 90.00
A4, PTH, , 1X03, -1x03, 0.00, 0.00, 90.00
A5, PTH, , 1X03, -1x03, 0.00, 0.00, 90.00
A6, PTH, , 1X03, -1x03, 0.00, 0.00, 90.00
BOARD1, PTH, BOARD80X100-TEMPLATE, BOARD-10X8-TEMPLATE, board80x100-template-board-10x8-template, 0.00, 0.00, 0.00
C1, SMD, 0.1uF, 0603-CAP, 0.1uf-0603-cap, 9.14, 20.45, 90.00
C2, SMD, 0.1uF, 0805-CAP, 0.1uf-0805-cap, 46.99, 35.56, 90.00
C3, SMD, 10uF, 0805-CAP, 10uf-0805-cap, 57.15, 35.56, 90.00
C4, SMD, 0.1uF, 0603-CAP, 0.1uf-0603-cap, 66.67, 59.05, 270.00
C5, SMD, 150uF, 0810-CAP, 150uf-0810-cap, 84.45, 60.33, 90.00
CON1, PTH, GROVE-4P-2.0, 4P-2.0, grove-4p-2.0-4p-2.0, 0.00, 0.00, 270.00
CON2, PTH, GROVE-4P-2.0, 4P-2.0, grove-4p-2.0-4p-2.0, 0.00, 0.00, 90.00
CON3, PTH, , MSTBA4, -mstba4, 0.00, 0.00, 180.00
CON4, PTH, , MSTBA4, -mstba4, 0.00, 0.00, 180.00
CON5, PTH, , MSTBA2, -mstba2, 0.00, 0.00, 180.00
CON6, PTH, , MSTBA2, -mstba2, 0.00, 0.00, 180.00
OSHW1, PTH, OSHW-LOGOL, OSHW-LOGO-L, oshw-logol-oshw-logo-l, 0.00, 0.00, 0.00
POWER, PTH, , MSTBA2, -mstba2, 0.00, 0.00, 0.00
Q1, SMD, DMN4468, SO08, dmn4468-so08, 8.89, 60.33, 0.00
Q2, SMD, DMN4468, SO08, dmn4468-so08, 15.24, 60.33, 0.00
Q3, SMD, DMN4468, SO08, dmn4468-so08, 21.59, 60.33, 0.00
Q4, SMD, DMN4468, SO08, dmn4468-so08, 33.02, 60.33, 0.00
Q5, SMD, DMN4468, SO08, dmn4468-so08, 39.37, 60.33, 0.00
Q6, SMD, DMN4468, SO08, dmn4468-so08, 45.72, 60.33, 0.00
Q7, SMD, DMN4468, SO08, dmn4468-so08, 58.42, 60.33, 0.00
Q8, SMD, DMN4468, SO08, dmn4468-so08, 73.66, 60.33, 0.00
R1, SMD, 10k, 0603-RES, 10k-0603-res, 26.67, 17.14, 0.00
R2, SMD, 10k, 0603-RES, 10k-0603-res, 26.67, 21.59, 0.00
R3, SMD, 10k, 0603-RES, 10k-0603-res, 1.91, 59.05, 90.00
R4, SMD, 10k, 0603-RES, 10k-0603-res, 4.45, 59.05, 90.00
R5, SMD, 10k, 0603-RES, 10k-0603-res, 26.04, 59.05, 90.00
R6, SMD, 10k, 0603-RES, 10k-0603-res, 28.70, 59.05, 90.00
R7, SMD, 10k, 0603-RES, 10k-0603-res, 50.80, 59.05, 90.00
R8, SMD, 10k, 0603-RES, 10k-0603-res, 53.34, 59.05, 90.00
R9, SMD, 10k, 0603-RES, 10k-0603-res, 63.50, 59.05, 90.00
R10, SMD, 10k, 0603-RES, 10k-0603-res, 69.85, 59.05, 90.00
U$1, PTH, MOUNTINGHOLE, MOUNTINGHOLE, mountinghole-mountinghole, 0.00, 0.00, 0.00
U$2, PTH, MOUNTINGHOLE, MOUNTINGHOLE, mountinghole-mountinghole, 0.00, 0.00, 0.00
U$3, PTH, MOUNTINGHOLE, MOUNTINGHOLE, mountinghole-mountinghole, 0.00, 0.00, 0.00
U$4, PTH, MOUNTINGHOLE, MOUNTINGHOLE, mountinghole-mountinghole, 0.00, 0.00, 0.00
U1, SMD, PCA9685PW, TSSOP28, pca9685pw-tssop28, 15.24, 20.32, 180.00
U2, PTH, WemosD1, WEMOS-D1, wemosd1-wemos-d1, 0.00, 0.00, 180.00
VR1, SMD, 7805, TO-252, 7805-to-252, 52.07, 36.94, 0.00
