# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
ARDUINO1,PTH,DAVEK,ARDUINO_PRO_MINI_DAVEK,davek-arduino_pro_mini_davek,0.00,0.00,270.00,90.00
B1,PTH,DBDB101G,DB,dbdb101g-db,0.00,0.00,180.00,-180.00
BOARD1,PTH,BOARD,BOARD-SEEED10X10-NOHOLES,board-board-seeed10x10-noholes,0.00,0.00,0.00,0.00
C1,SMD,270pF,0603-CAP,270pf-0603-cap,44.07,81.92,270.00,90.00
C2,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,32.77,71.76,90.00,-90.00
C3,SMD,10uF,0603-CAP,10uf-0603-cap,31.75,31.75,0.00,0.00
C4,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,31.75,43.18,0.00,0.00
CON1,PTH,4P4C,555980-1,4p4c-555980-1,0.00,0.00,180.00,-180.00
CON2,PTH,4P4C,555980-1,4p4c-555980-1,0.00,0.00,180.00,-180.00
CON3,PTH,RJ12/6,RJ25-PANEL,rj12/6-rj25-panel,0.00,0.00,180.00,-180.00
CON4,PTH,RJ12/6,RJ25-PANEL,rj12/6-rj25-panel,0.00,0.00,180.00,-180.00
CON5,PTH,RJ12/6,RJ25-PANEL,rj12/6-rj25-panel,0.00,0.00,90.00,-90.00
CON6,PTH,I2C,I2C-L,i2c-i2c-l,0.00,0.00,0.00,0.00
CON9,PTH,0.200,MSTBA4,0.200-mstba4,0.00,0.00,0.00,0.00
J1,PTH,2x4-0.100,MA04-2,2x4-0.100-ma04-2,0.00,0.00,0.00,0.00
J2,PTH,IBT-2,MSTBA4,ibt-2-mstba4,0.00,0.00,180.00,-180.00
LCD,PTH,LCD,LCD-16X2-SILK,lcd-lcd-16x2-silk,0.00,0.00,0.00,0.00
LED1,SMD,Y,0603-LED,y-0603-led,46.36,81.92,270.00,90.00
LED2,SMD,B,0603-LED,b-0603-led,78.74,6.99,270.00,90.00
LED3,SMD,Y,0603-LED,y-0603-led,75.06,6.99,270.00,90.00
LED4,SMD,R,0603-LED,r-0603-led,71.25,7.11,270.00,90.00
LED5,SMD,R,0603-LED,r-0603-led,67.31,7.11,270.00,90.00
LED6,SMD,G,0603-LED,g-0603-led,62.23,6.99,270.00,90.00
LOGO1,PTH,OSHW,OSHW-LOGO-L,oshw-oshw-logo-l,0.00,0.00,0.00,0.00
OPTO1,PTH,6N137,DIL08,6n137-dil08,0.00,0.00,90.00,-90.00
OPTO2,SMD,6N137,SM8,6n137-sm8,46.10,69.09,90.00,-90.00
Q1,SMD,2N7002,SOT23,2n7002-sot23,16.38,78.23,270.00,90.00
R1,SMD,1k0,0603-RES,1k0-0603-res,48.90,81.92,270.00,90.00
R2,SMD,10k,0603-RES,10k-0603-res,21.59,74.30,180.00,-180.00
R3,SMD,4k7,0603-RES,4k7-0603-res,17.78,74.30,0.00,0.00
R4,SMD,1k0,0603-RES,1k0-0603-res,13.97,74.30,180.00,-180.00
R5,SMD,10k,0603-RES,10k-0603-res,86.36,74.93,180.00,-180.00
R6,SMD,10k,0603-RES,10k-0603-res,86.36,72.39,180.00,-180.00
R7,SMD,4k7,0603-RES,4k7-0603-res,87.63,48.01,0.00,0.00
R8,SMD,4k7,0603-RES,4k7-0603-res,87.63,45.21,0.00,0.00
R9,SMD,3k3,0603-RES,3k3-0603-res,87.63,42.67,0.00,0.00
R10,SMD,3k3,0603-RES,3k3-0603-res,87.63,40.13,0.00,0.00
R11,PTH,10k,B25X,10k-b25x,0.00,0.00,270.00,90.00
R12,SMD,2k2,0603-RES,2k2-0603-res,78.74,27.94,270.00,90.00
R13,SMD,2k2,0603-RES,2k2-0603-res,74.93,27.94,270.00,90.00
R14,SMD,2k2,0603-RES,2k2-0603-res,71.76,27.94,270.00,90.00
R15,SMD,2k2,0603-RES,2k2-0603-res,67.31,27.94,270.00,90.00
R16,SMD,2k2,0603-RES,2k2-0603-res,62.23,27.94,270.00,90.00
SW1,PTH,SPDT,SWITCH-SPDT-508,spdt-switch-spdt-508,0.00,0.00,90.00,-90.00
SW2,PTH,DPDT,8X8-SQ-PB,dpdt-8x8-sq-pb,0.00,0.00,270.00,90.00
TP-!PWM,PTH,TPPAD1-13,P1-13,tppad1-13-p1-13,0.00,0.00,270.00,90.00
TP-ENABLE,PTH,TPPAD1-13,P1-13,tppad1-13-p1-13,0.00,0.00,0.00,0.00
TP-GND,PTH,TPPAD1-13,P1-13,tppad1-13-p1-13,0.00,0.00,0.00,0.00
TP-PWM,PTH,TPPAD1-13,P1-13,tppad1-13-p1-13,0.00,0.00,180.00,-180.00
TP-SENSE,PTH,TPPAD1-13,P1-13,tppad1-13-p1-13,0.00,0.00,0.00,0.00
U$2,PTH,IBT-2,IBT-2,ibt-2-ibt-2,0.00,0.00,180.00,-180.00
U$3,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
U$4,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
U$5,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
VR1,SMD,CJ7805,TO-252,cj7805-to-252,33.64,37.72,0.00,0.00
