# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
J1,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
J2,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,180.00,-180.00
J3,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
J4,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,180.00,-180.00
J5,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
J6,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,180.00,-180.00
J7,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
J8,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,180.00,-180.00
J9,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
J10,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,180.00,-180.00
J11,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
J12,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,180.00,-180.00
J13,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,180.00,-180.00
J14,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
J15,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,180.00,-180.00
J16,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
LED1,SMD,,0603-LED,-0603-led,5.97,73.80,270.00,90.00
LED2,SMD,,0603-LED,-0603-led,6.35,25.40,90.00,-90.00
LED3,SMD,,0603-LED,-0603-led,18.03,73.80,270.00,90.00
LED4,SMD,,0603-LED,-0603-led,18.54,25.40,90.00,-90.00
LED5,SMD,,0603-LED,-0603-led,29.97,73.80,270.00,90.00
LED6,SMD,,0603-LED,-0603-led,30.48,25.40,90.00,-90.00
LED7,SMD,,0603-LED,-0603-led,42.16,73.80,270.00,90.00
LED8,SMD,,0603-LED,-0603-led,42.41,25.40,90.00,-90.00
LED9,SMD,,0603-LED,-0603-led,66.29,73.80,270.00,90.00
LED10,SMD,,0603-LED,-0603-led,66.80,25.40,90.00,-90.00
LED11,SMD,,0603-LED,-0603-led,54.10,73.80,270.00,90.00
LED12,SMD,,0603-LED,-0603-led,54.86,25.40,90.00,-90.00
LED13,SMD,,0603-LED,-0603-led,78.99,25.40,90.00,-90.00
LED14,SMD,,0603-LED,-0603-led,78.49,73.80,270.00,90.00
LED15,SMD,,0603-LED,-0603-led,90.93,25.40,90.00,-90.00
LED16,SMD,,0603-LED,-0603-led,90.42,73.80,270.00,90.00
T.DETECTED1,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,6.35,70.72,270.00,90.00
T.DETECTED2,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,5.97,28.48,90.00,-90.00
T.DETECTED3,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,18.16,70.72,270.00,90.00
T.DETECTED4,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,18.03,28.48,90.00,-90.00
T.DETECTED5,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,30.23,70.72,270.00,90.00
T.DETECTED6,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,30.10,28.48,90.00,-90.00
T.DETECTED7,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,42.16,28.48,90.00,-90.00
T.DETECTED8,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,42.29,70.72,270.00,90.00
T.DETECTED9,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,66.55,70.72,270.00,90.00
T.DETECTED10,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,66.29,28.48,90.00,-90.00
T.DETECTED11,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,54.48,70.72,270.00,90.00
T.DETECTED12,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,54.23,28.54,90.00,-90.00
T.DETECTED13,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,78.36,28.48,90.00,-90.00
T.DETECTED14,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,78.74,70.72,270.00,90.00
T.DETECTED15,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,90.42,28.48,90.00,-90.00
T.DETECTED16,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,90.81,70.72,270.00,90.00
