# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
U1,SMD,QRE1113,QRE1113,qre1113-qre1113,6.00,72.39,270.00,90.00
U2,SMD,QRE1113,QRE1113,qre1113-qre1113,6.35,26.67,90.00,-90.00
U3,SMD,QRE1113,QRE1113,qre1113-qre1113,18.41,72.39,270.00,90.00
U4,SMD,QRE1113,QRE1113,qre1113-qre1113,17.78,26.67,90.00,-90.00
U5,SMD,QRE1113,QRE1113,qre1113-qre1113,29.85,72.39,270.00,90.00
U6,SMD,QRE1113,QRE1113,qre1113-qre1113,29.85,26.67,90.00,-90.00
U7,SMD,QRE1113,QRE1113,qre1113-qre1113,41.91,72.39,270.00,90.00
U8,SMD,QRE1113,QRE1113,qre1113-qre1113,41.91,26.67,90.00,-90.00
U9,SMD,QRE1113,QRE1113,qre1113-qre1113,66.04,72.39,270.00,90.00
U10,SMD,QRE1113,QRE1113,qre1113-qre1113,66.04,26.67,90.00,-90.00
U11,SMD,QRE1113,QRE1113,qre1113-qre1113,53.98,72.39,270.00,90.00
U12,SMD,QRE1113,QRE1113,qre1113-qre1113,53.98,26.67,90.00,-90.00
U13,SMD,QRE1113,QRE1113,qre1113-qre1113,78.11,26.67,90.00,-90.00
U14,SMD,QRE1113,QRE1113,qre1113-qre1113,78.11,72.39,270.00,90.00
U15,SMD,QRE1113,QRE1113,qre1113-qre1113,90.17,26.67,90.00,-90.00
U16,SMD,QRE1113,QRE1113,qre1113-qre1113,90.17,72.39,270.00,90.00
