# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
ARDUINO1,PTH,DAVEK,ARDUINO_PRO_MINI_DAVEK,davek-arduino_pro_mini_davek,0.00,0.00,0.00,0.00
C1,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,24.00,15.24,0.00,0.00
C2,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,15.24,41.91,90.00,-90.00
C3,SMD,220uF,0810-CAP,220uf-0810-cap,38.61,4.83,0.00,0.00
CON1,PTH,RJ12/6,RJ25-PANEL,rj12/6-rj25-panel,0.00,0.00,0.00,0.00
JP1,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,180.00,-180.00
JP2,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,180.00,-180.00
JP3,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,180.00,-180.00
JP4,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,180.00,-180.00
LED1,SMD,Y,0603-LED,y-0603-led,13.97,3.81,270.00,90.00
LED2,SMD,Y,0603-LED,y-0603-led,11.43,3.81,270.00,90.00
LED3,SMD,Y,0603-LED,y-0603-led,8.89,3.81,270.00,90.00
LED4,SMD,Y,0603-LED,y-0603-led,6.35,3.81,270.00,90.00
LED5,SMD,G,0603-LED,g-0603-led,2.54,3.81,270.00,90.00
OSH_LOGO,PTH,OSHW-LOGOM,OSHW-LOGO-M,oshw-logom-oshw-logo-m,0.00,0.00,0.00,0.00
Q1,SMD,NPN-2222,SOT23,npn-2222-sot23,29.21,47.62,180.00,-180.00
Q2,SMD,NPN-2222,SOT23,npn-2222-sot23,29.21,39.37,180.00,-180.00
Q3,SMD,NPN-2222,SOT23,npn-2222-sot23,28.58,29.21,180.00,-180.00
Q4,SMD,NPN-2222,SOT23,npn-2222-sot23,28.58,19.05,180.00,-180.00
R1,SMD,1k0,0603-RES,1k0-0603-res,40.01,45.72,270.00,90.00
R2,SMD,1k0,0603-RES,1k0-0603-res,40.01,35.56,270.00,90.00
R3,SMD,1k0,0603-RES,1k0-0603-res,40.01,25.40,270.00,90.00
R4,SMD,1k0,0603-RES,1k0-0603-res,40.01,15.11,270.00,90.00
R5,SMD,100K,0603-RES,100k-0603-res,34.93,45.72,90.00,-90.00
R6,SMD,100K,0603-RES,100k-0603-res,34.93,35.56,90.00,-90.00
R7,SMD,100K,0603-RES,100k-0603-res,34.93,25.40,90.00,-90.00
R8,SMD,100K,0603-RES,100k-0603-res,34.93,15.24,90.00,-90.00
R9,SMD,2k0,0603-RES,2k0-0603-res,13.97,8.26,270.00,90.00
R10,SMD,2k0,0603-RES,2k0-0603-res,11.43,8.26,270.00,90.00
R11,SMD,2k0,0603-RES,2k0-0603-res,8.89,8.26,270.00,90.00
R12,SMD,2k0,0603-RES,2k0-0603-res,6.35,8.26,270.00,90.00
R14,SMD,2k0,0603-RES,2k0-0603-res,2.54,8.26,270.00,90.00
