# name, smd?, value, package, component, x, y, angle
ARDUINO1, PTH, ARDUINO-PRO-MINIDAVESROBOT, ARDUINO_PRO_MINI_DAVEK, arduino-pro-minidavesrobot-arduino_pro_mini_davek, 0.00, 0.00, 0.00
C1, SMD, 0.1uF, 0805-CAP, 0.1uf-0805-cap, 24.00, 15.24, 0.00
C2, SMD, 0.1uF, 0805-CAP, 0.1uf-0805-cap, 15.24, 41.91, 90.00
C3, PTH, 220uF, E2-5, 220uf-e2-5, 0.00, 0.00, 0.00
CON1, PTH, , RJ25-PANEL, -rj25-panel, 0.00, 0.00, 0.00
JP1, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 180.00
JP2, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 180.00
JP3, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 180.00
JP4, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 180.00
LED1, SMD, Y, 0603-LED, y-0603-led, 6.35, 3.81, 90.00
LED2, SMD, Y, 0603-LED, y-0603-led, 8.89, 3.81, 90.00
LED3, SMD, Y, 0603-LED, y-0603-led, 11.43, 3.81, 90.00
LED4, SMD, Y, 0603-LED, y-0603-led, 13.97, 3.81, 90.00
LED5, SMD, G, 0603-LED, g-0603-led, 2.54, 3.81, 90.00
OSH_LOGO, PTH, OSHW-LOGOM, OSHW-LOGO-M, oshw-logom-oshw-logo-m, 0.00, 0.00, 0.00
Q1, SMD, NPN-2222, SOT23, npn-2222-sot23, 28.58, 46.99, 270.00
Q2, SMD, NPN-2222, SOT23, npn-2222-sot23, 28.58, 38.10, 270.00
Q3, SMD, NPN-2222, SOT23, npn-2222-sot23, 28.58, 27.94, 270.00
Q4, SMD, NPN-2222, SOT23, npn-2222-sot23, 28.58, 17.78, 270.00
R1, SMD, 1k0, 0805-RES, 1k0-0805-res, 40.01, 44.45, 270.00
R2, SMD, 1k0, 0805-RES, 1k0-0805-res, 40.01, 34.29, 270.00
R3, SMD, 1k0, 0805-RES, 1k0-0805-res, 40.01, 24.13, 270.00
R4, SMD, 1k0, 0805-RES, 1k0-0805-res, 40.01, 13.84, 270.00
R5, SMD, 100K, 0805-RES, 100k-0805-res, 34.93, 44.45, 90.00
R6, SMD, 100K, 0805-RES, 100k-0805-res, 34.93, 34.29, 90.00
R7, SMD, 100K, 0805-RES, 100k-0805-res, 34.93, 24.13, 90.00
R8, SMD, 100K, 0805-RES, 100k-0805-res, 34.93, 13.97, 90.00
R9, SMD, 2k0, 0805-RES, 2k0-0805-res, 6.35, 8.26, 270.00
R10, SMD, 2k0, 0805-RES, 2k0-0805-res, 8.89, 8.26, 270.00
R11, SMD, 2k0, 0805-RES, 2k0-0805-res, 11.43, 8.26, 270.00
R12, SMD, 2k0, 0805-RES, 2k0-0805-res, 13.97, 8.26, 270.00
R14, SMD, 2k0, 0805-RES, 2k0-0805-res, 2.54, 8.26, 270.00
