# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
ARDUINO1X11,PTH,ARDUINO-PRO-MINIDAVESROBOT,ARDUINO_PRO_MINI_DAVEK,arduino-pro-minidavesrobot-arduino_pro_mini_davek,0.00,0.00,0.00,0.00
ARDUINO1X12,PTH,ARDUINO-PRO-MINIDAVESROBOT,ARDUINO_PRO_MINI_DAVEK,arduino-pro-minidavesrobot-arduino_pro_mini_davek,0.00,0.00,0.00,0.00
ARDUINO1X21,PTH,ARDUINO-PRO-MINIDAVESROBOT,ARDUINO_PRO_MINI_DAVEK,arduino-pro-minidavesrobot-arduino_pro_mini_davek,0.00,0.00,0.00,0.00
ARDUINO1X22,PTH,ARDUINO-PRO-MINIDAVESROBOT,ARDUINO_PRO_MINI_DAVEK,arduino-pro-minidavesrobot-arduino_pro_mini_davek,0.00,0.00,0.00,0.00
C1X11,SMD,0.1uF,0805-CAP,0.1uf-0805-cap,24.00,15.24,0.00,0.00
C1X12,SMD,0.1uF,0805-CAP,0.1uf-0805-cap,24.00,65.24,0.00,0.00
C1X21,SMD,0.1uF,0805-CAP,0.1uf-0805-cap,74.00,15.24,0.00,0.00
C1X22,SMD,0.1uF,0805-CAP,0.1uf-0805-cap,74.00,65.24,0.00,0.00
C2X11,SMD,0.1uF,0805-CAP,0.1uf-0805-cap,15.24,41.91,90.00,-90.00
C2X12,SMD,0.1uF,0805-CAP,0.1uf-0805-cap,15.24,91.91,90.00,-90.00
C2X21,SMD,0.1uF,0805-CAP,0.1uf-0805-cap,65.24,41.91,90.00,-90.00
C2X22,SMD,0.1uF,0805-CAP,0.1uf-0805-cap,65.24,91.91,90.00,-90.00
C3X11,SMD,220uF,0810-CAP,220uf-0810-cap,38.61,4.83,0.00,0.00
C3X12,SMD,220uF,0810-CAP,220uf-0810-cap,38.61,54.83,0.00,0.00
C3X21,SMD,220uF,0810-CAP,220uf-0810-cap,88.61,4.83,0.00,0.00
C3X22,SMD,220uF,0810-CAP,220uf-0810-cap,88.61,54.83,0.00,0.00
CON1X11,PTH,,RJ25-PANEL,-rj25-panel,0.00,0.00,0.00,0.00
CON1X12,PTH,,RJ25-PANEL,-rj25-panel,0.00,0.00,0.00,0.00
CON1X21,PTH,,RJ25-PANEL,-rj25-panel,0.00,0.00,0.00,0.00
CON1X22,PTH,,RJ25-PANEL,-rj25-panel,0.00,0.00,0.00,0.00
JP1X11,PTH,,1X04_LOCK,-1x04_lock,0.00,0.00,180.00,-180.00
JP1X12,PTH,,1X04_LOCK,-1x04_lock,0.00,0.00,180.00,-180.00
JP1X21,PTH,,1X04_LOCK,-1x04_lock,0.00,0.00,180.00,-180.00
JP1X22,PTH,,1X04_LOCK,-1x04_lock,0.00,0.00,180.00,-180.00
JP2X11,PTH,,1X04_LOCK,-1x04_lock,0.00,0.00,180.00,-180.00
JP2X12,PTH,,1X04_LOCK,-1x04_lock,0.00,0.00,180.00,-180.00
JP2X21,PTH,,1X04_LOCK,-1x04_lock,0.00,0.00,180.00,-180.00
JP2X22,PTH,,1X04_LOCK,-1x04_lock,0.00,0.00,180.00,-180.00
JP3X11,PTH,,1X04_LOCK,-1x04_lock,0.00,0.00,180.00,-180.00
JP3X12,PTH,,1X04_LOCK,-1x04_lock,0.00,0.00,180.00,-180.00
JP3X21,PTH,,1X04_LOCK,-1x04_lock,0.00,0.00,180.00,-180.00
JP3X22,PTH,,1X04_LOCK,-1x04_lock,0.00,0.00,180.00,-180.00
