# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
C1X11,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,24.00,15.24,0.00,0.00
C1X12,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,24.00,65.24,0.00,0.00
C1X21,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,74.00,15.24,0.00,0.00
C1X22,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,74.00,65.24,0.00,0.00
C2X11,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,22.86,41.27,90.00,-90.00
C2X12,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,22.86,91.28,90.00,-90.00
C2X21,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,72.86,41.27,90.00,-90.00
C2X22,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,72.86,91.28,90.00,-90.00
C3X11,SMD,220uF,0810-CAP,220uf-0810-cap,38.61,9.91,0.00,0.00
C3X12,SMD,220uF,0810-CAP,220uf-0810-cap,38.61,59.91,0.00,0.00
C3X21,SMD,220uF,0810-CAP,220uf-0810-cap,88.61,9.91,0.00,0.00
C3X22,SMD,220uF,0810-CAP,220uf-0810-cap,88.61,59.91,0.00,0.00
FID-LR,SMD,,FIDUCIAL_1MM,-fiducial_1mm,97.16,8.26,0.00,0.00
FID-UL,SMD,,FIDUCIAL_1MM,-fiducial_1mm,1.91,97.79,0.00,0.00
LED1X11,SMD,Y,0603-LED,y-0603-led,13.97,7.62,270.00,90.00
LED1X12,SMD,Y,0603-LED,y-0603-led,13.97,57.62,270.00,90.00
LED1X21,SMD,Y,0603-LED,y-0603-led,63.97,7.62,270.00,90.00
LED1X22,SMD,Y,0603-LED,y-0603-led,63.97,57.62,270.00,90.00
LED2X11,SMD,Y,0603-LED,y-0603-led,11.43,7.62,270.00,90.00
LED2X12,SMD,Y,0603-LED,y-0603-led,11.43,57.62,270.00,90.00
LED2X21,SMD,Y,0603-LED,y-0603-led,61.43,7.62,270.00,90.00
LED2X22,SMD,Y,0603-LED,y-0603-led,61.43,57.62,270.00,90.00
LED3X11,SMD,Y,0603-LED,y-0603-led,8.89,7.62,270.00,90.00
LED3X12,SMD,Y,0603-LED,y-0603-led,8.89,57.62,270.00,90.00
LED3X21,SMD,Y,0603-LED,y-0603-led,58.89,7.62,270.00,90.00
LED3X22,SMD,Y,0603-LED,y-0603-led,58.89,57.62,270.00,90.00
LED4X11,SMD,Y,0603-LED,y-0603-led,6.35,7.62,270.00,90.00
LED4X12,SMD,Y,0603-LED,y-0603-led,6.35,57.62,270.00,90.00
LED4X21,SMD,Y,0603-LED,y-0603-led,56.35,7.62,270.00,90.00
LED4X22,SMD,Y,0603-LED,y-0603-led,56.35,57.62,270.00,90.00
LED5X11,SMD,G,0603-LED,g-0603-led,2.54,7.62,270.00,90.00
LED5X12,SMD,G,0603-LED,g-0603-led,2.54,57.62,270.00,90.00
LED5X21,SMD,G,0603-LED,g-0603-led,52.54,7.62,270.00,90.00
LED5X22,SMD,G,0603-LED,g-0603-led,52.54,57.62,270.00,90.00
Q1X11,SMD,NPN-2222,SOT23,npn-2222-sot23,28.58,43.18,180.00,-180.00
Q1X12,SMD,NPN-2222,SOT23,npn-2222-sot23,28.58,93.18,180.00,-180.00
Q1X21,SMD,NPN-2222,SOT23,npn-2222-sot23,78.58,43.18,180.00,-180.00
Q1X22,SMD,NPN-2222,SOT23,npn-2222-sot23,78.58,93.18,180.00,-180.00
Q2X11,SMD,NPN-2222,SOT23,npn-2222-sot23,28.58,35.56,180.00,-180.00
Q2X12,SMD,NPN-2222,SOT23,npn-2222-sot23,28.58,85.56,180.00,-180.00
Q2X21,SMD,NPN-2222,SOT23,npn-2222-sot23,78.58,35.56,180.00,-180.00
Q2X22,SMD,NPN-2222,SOT23,npn-2222-sot23,78.58,85.56,180.00,-180.00
Q3X11,SMD,NPN-2222,SOT23,npn-2222-sot23,28.58,27.94,180.00,-180.00
Q3X12,SMD,NPN-2222,SOT23,npn-2222-sot23,28.58,77.94,180.00,-180.00
Q3X21,SMD,NPN-2222,SOT23,npn-2222-sot23,78.58,27.94,180.00,-180.00
Q3X22,SMD,NPN-2222,SOT23,npn-2222-sot23,78.58,77.94,180.00,-180.00
