# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
C1,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,24.00,15.24,0.00,0.00
C2,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,22.86,41.27,90.00,-90.00
C3,SMD,220uF,0810-CAP,220uf-0810-cap,38.61,9.91,0.00,0.00
LED1,SMD,Y,0603-LED,y-0603-led,13.97,7.62,270.00,90.00
LED2,SMD,Y,0603-LED,y-0603-led,11.43,7.62,270.00,90.00
LED3,SMD,Y,0603-LED,y-0603-led,8.89,7.62,270.00,90.00
LED4,SMD,Y,0603-LED,y-0603-led,6.35,7.62,270.00,90.00
LED5,SMD,G,0603-LED,g-0603-led,2.54,7.62,270.00,90.00
Q1,SMD,NPN-2222,SOT23,npn-2222-sot23,28.58,43.18,180.00,-180.00
Q2,SMD,NPN-2222,SOT23,npn-2222-sot23,28.58,35.56,180.00,-180.00
Q3,SMD,NPN-2222,SOT23,npn-2222-sot23,28.58,27.94,180.00,-180.00
Q4,SMD,NPN-2222,SOT23,npn-2222-sot23,28.58,20.32,180.00,-180.00
R1,SMD,330R,0603-RES,330r-0603-res,33.02,43.18,0.00,0.00
R2,SMD,330R,0603-RES,330r-0603-res,33.02,35.56,0.00,0.00
R3,SMD,330R,0603-RES,330r-0603-res,33.02,27.94,0.00,0.00
R4,SMD,330R,0603-RES,330r-0603-res,33.15,20.32,0.00,0.00
R5,SMD,100K,0603-RES,100k-0603-res,33.02,40.01,180.00,-180.00
R6,SMD,100K,0603-RES,100k-0603-res,33.02,32.38,180.00,-180.00
R7,SMD,100K,0603-RES,100k-0603-res,33.02,24.77,180.00,-180.00
R8,SMD,100K,0603-RES,100k-0603-res,33.02,17.14,180.00,-180.00
R9,SMD,2k0,0603-RES,2k0-0603-res,13.97,12.07,270.00,90.00
R10,SMD,2k0,0603-RES,2k0-0603-res,11.43,12.07,270.00,90.00
R11,SMD,2k0,0603-RES,2k0-0603-res,8.89,12.07,270.00,90.00
R12,SMD,2k0,0603-RES,2k0-0603-res,6.35,12.07,270.00,90.00
R14,SMD,5k0,0603-RES,5k0-0603-res,2.54,12.07,270.00,90.00
