# name, smd?, value, package, component, x, y, angle
J1X11, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 0.00
J1X12, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 0.00
J1X21, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 0.00
J1X22, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 0.00
J1X31, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 0.00
J1X32, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 0.00
J1X41, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 0.00
J1X42, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 0.00
J1X51, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 0.00
J1X52, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 0.00
J1X61, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 0.00
J1X62, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 0.00
J1X71, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 0.00
J1X72, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 0.00
J1X81, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 0.00
J1X82, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 0.00
T.AMBIENTX11, SMD, , ALS-PT19, -als-pt19, 9.27, 5.97, 0.00
T.AMBIENTX12, SMD, , ALS-PT19, -als-pt19, 9.27, 51.69, 0.00
T.AMBIENTX21, SMD, , ALS-PT19, -als-pt19, 21.34, 5.97, 0.00
T.AMBIENTX22, SMD, , ALS-PT19, -als-pt19, 21.34, 51.69, 0.00
T.AMBIENTX31, SMD, , ALS-PT19, -als-pt19, 33.40, 5.97, 0.00
T.AMBIENTX32, SMD, , ALS-PT19, -als-pt19, 33.40, 51.69, 0.00
T.AMBIENTX41, SMD, , ALS-PT19, -als-pt19, 45.47, 5.97, 0.00
T.AMBIENTX42, SMD, , ALS-PT19, -als-pt19, 45.47, 51.69, 0.00
T.AMBIENTX51, SMD, , ALS-PT19, -als-pt19, 57.53, 5.97, 0.00
T.AMBIENTX52, SMD, , ALS-PT19, -als-pt19, 57.53, 51.69, 0.00
T.AMBIENTX61, SMD, , ALS-PT19, -als-pt19, 69.60, 5.97, 0.00
T.AMBIENTX62, SMD, , ALS-PT19, -als-pt19, 69.60, 51.69, 0.00
T.AMBIENTX71, SMD, , ALS-PT19, -als-pt19, 81.66, 5.97, 0.00
T.AMBIENTX72, SMD, , ALS-PT19, -als-pt19, 81.66, 51.69, 0.00
T.AMBIENTX81, SMD, , ALS-PT19, -als-pt19, 93.73, 5.97, 0.00
T.AMBIENTX82, SMD, , ALS-PT19, -als-pt19, 93.73, 51.69, 0.00
T.DETECTEDX11, SMD, , ALS-PT19, -als-pt19, 6.10, 23.24, 270.00
T.DETECTEDX12, SMD, , ALS-PT19, -als-pt19, 6.10, 68.96, 270.00
T.DETECTEDX21, SMD, , ALS-PT19, -als-pt19, 18.16, 23.24, 270.00
T.DETECTEDX22, SMD, , ALS-PT19, -als-pt19, 18.16, 68.96, 270.00
T.DETECTEDX31, SMD, , ALS-PT19, -als-pt19, 30.23, 23.24, 270.00
T.DETECTEDX32, SMD, , ALS-PT19, -als-pt19, 30.23, 68.96, 270.00
T.DETECTEDX41, SMD, , ALS-PT19, -als-pt19, 42.29, 23.24, 270.00
T.DETECTEDX42, SMD, , ALS-PT19, -als-pt19, 42.29, 68.96, 270.00
T.DETECTEDX51, SMD, , ALS-PT19, -als-pt19, 54.36, 23.24, 270.00
T.DETECTEDX52, SMD, , ALS-PT19, -als-pt19, 54.36, 68.96, 270.00
T.DETECTEDX61, SMD, , ALS-PT19, -als-pt19, 66.42, 23.24, 270.00
T.DETECTEDX62, SMD, , ALS-PT19, -als-pt19, 66.42, 68.96, 270.00
T.DETECTEDX71, SMD, , ALS-PT19, -als-pt19, 78.49, 23.24, 270.00
T.DETECTEDX72, SMD, , ALS-PT19, -als-pt19, 78.49, 68.96, 270.00
T.DETECTEDX81, SMD, , ALS-PT19, -als-pt19, 90.55, 23.24, 270.00
T.DETECTEDX82, SMD, , ALS-PT19, -als-pt19, 90.55, 68.96, 270.00
