# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
T.AMBIENT,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,9.27,56.96,0.00,0.00
T.AMBIENT1,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,2.79,42.48,180.00,-180.00
T.AMBIENT2,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,21.34,56.96,0.00,0.00
T.AMBIENT3,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,14.86,42.48,180.00,-180.00
T.AMBIENT4,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,33.40,56.96,0.00,0.00
T.AMBIENT5,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,26.92,42.48,180.00,-180.00
T.AMBIENT6,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,38.99,42.48,180.00,-180.00
T.AMBIENT7,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,45.47,56.96,0.00,0.00
T.AMBIENT8,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,69.60,56.96,0.00,0.00
T.AMBIENT9,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,63.12,42.48,180.00,-180.00
T.AMBIENT10,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,57.53,56.96,0.00,0.00
T.AMBIENT11,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,51.05,42.48,180.00,-180.00
T.AMBIENT12,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,75.18,42.48,180.00,-180.00
T.AMBIENT13,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,81.66,56.96,0.00,0.00
T.AMBIENT14,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,87.25,42.48,180.00,-180.00
T.AMBIENT15,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,93.73,56.96,0.00,0.00
T.DETECTED,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,6.10,74.87,270.00,90.00
T.DETECTED1,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,5.97,24.57,90.00,-90.00
T.DETECTED2,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,18.16,74.87,270.00,90.00
T.DETECTED3,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,18.03,24.57,90.00,-90.00
T.DETECTED4,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,30.23,74.87,270.00,90.00
T.DETECTED5,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,30.10,24.57,90.00,-90.00
T.DETECTED6,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,42.16,24.57,90.00,-90.00
T.DETECTED7,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,42.29,74.87,270.00,90.00
T.DETECTED8,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,66.42,74.87,270.00,90.00
T.DETECTED9,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,66.29,24.57,90.00,-90.00
T.DETECTED10,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,54.36,74.87,270.00,90.00
T.DETECTED11,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,54.23,24.57,90.00,-90.00
T.DETECTED12,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,78.36,24.57,90.00,-90.00
T.DETECTED13,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,78.49,74.87,270.00,90.00
T.DETECTED14,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,90.42,24.57,90.00,-90.00
T.DETECTED15,SMD,PT19-21C/L41,ALS-PT19,pt19-21c/l41-als-pt19,90.55,74.87,270.00,90.00
