# name, smd?, value, package, component, x, y, angle
ARDUINO1, PTH, ARDUINO-PRO-MINI-DAVESROBOT, ARDUINO_PRO_MINI_DAVEK, arduino-pro-mini-davesrobot-arduino_pro_mini_davek, 0.00, 0.00, 90.00
CON1, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 270.00
CON2, PTH, IO4INV, RJ25-INVERTED, io4inv-rj25-inverted, 0.00, 0.00, 0.00
DET1, PTH, CONNECTOR-GROVE-4P-2.0-3470130P1, 4P-2.0, connector-grove-4p-2.0-3470130p1-4p-2.0, 0.00, 0.00, 180.00
DET2, PTH, CONNECTOR-GROVE-4P-2.0-3470130P1, 4P-2.0, connector-grove-4p-2.0-3470130p1-4p-2.0, 0.00, 0.00, 180.00
DET3, PTH, CONNECTOR-GROVE-4P-2.0-3470130P1, 4P-2.0, connector-grove-4p-2.0-3470130p1-4p-2.0, 0.00, 0.00, 180.00
DET4, PTH, CONNECTOR-GROVE-4P-2.0-3470130P1, 4P-2.0, connector-grove-4p-2.0-3470130p1-4p-2.0, 0.00, 0.00, 180.00
IC1, SMD, TL331, SOT-23-5, tl331-sot-23-5, 16.51, 15.88, 0.00
IC2, SMD, TL331, SOT-23-5, tl331-sot-23-5, 31.75, 15.88, 0.00
IC3, SMD, TL331, SOT-23-5, tl331-sot-23-5, 46.99, 15.88, 0.00
IC4, SMD, TL331, SOT-23-5, tl331-sot-23-5, 60.96, 15.88, 0.00
LED1, SMD, Y, 0603-LED, y-0603-led, 16.51, 61.60, 90.00
LED2, SMD, Y, 0603-LED, y-0603-led, 31.75, 61.60, 90.00
LED3, SMD, Y, 0603-LED, y-0603-led, 46.99, 61.60, 90.00
LED4, SMD, Y, 0603-LED, y-0603-led, 60.96, 61.60, 90.00
LED5, SMD, Y, 0603-LED, y-0603-led, 74.93, 61.60, 90.00
Q1, SMD, 2N7002, SOT23, 2n7002-sot23, 76.20, 43.18, 270.00
Q2, SMD, 2N7002, SOT23, 2n7002-sot23, 76.20, 38.10, 270.00
Q3, SMD, 2N7002, SOT23, 2n7002-sot23, 76.20, 33.02, 270.00
Q4, SMD, 2N7002, SOT23, 2n7002-sot23, 76.20, 27.94, 270.00
R1, SMD, 2K0, 0805-RES, 2k0-0805-res, 46.99, 50.80, 90.00
R2, SMD, 2K0, 0805-RES, 2k0-0805-res, 49.53, 50.80, 90.00
R3, SMD, 2K0, 0805-RES, 2k0-0805-res, 52.07, 50.80, 90.00
R4, SMD, 2K0, 0805-RES, 2k0-0805-res, 54.61, 50.80, 90.00
R5, SMD, 2K0, 0805-RES, 2k0-0805-res, 57.15, 50.80, 270.00
R6, SMD, 20k, 0805-RES, 20k-0805-res, 66.04, 44.45, 180.00
R7, SMD, 10R, 0805-RES, 10r-0805-res, 71.12, 44.45, 180.00
R8, SMD, 20k, 0805-RES, 20k-0805-res, 66.04, 39.37, 180.00
R9, SMD, 10R, 0805-RES, 10r-0805-res, 71.12, 39.37, 180.00
R10, SMD, 20k, 0805-RES, 20k-0805-res, 66.04, 34.29, 180.00
R11, SMD, 10R, 0805-RES, 10r-0805-res, 71.12, 34.29, 180.00
R12, SMD, 20k, 0805-RES, 20k-0805-res, 66.04, 29.21, 180.00
R13, SMD, 10R, 0805-RES, 10r-0805-res, 71.12, 29.21, 180.00
R14, SMD, 10k, 0805-RES, 10k-0805-res, 19.05, 19.69, 0.00
R15, SMD, 10k, 0805-RES, 10k-0805-res, 34.29, 19.69, 0.00
R16, SMD, 10k, 0805-RES, 10k-0805-res, 49.53, 19.69, 0.00
R17, SMD, 10k, 0805-RES, 10k-0805-res, 63.50, 19.69, 0.00
R18, SMD, 10K, 0805-RES, 10k-0805-res, 13.97, 12.07, 180.00
R19, SMD, 5k6, 0805-RES, 5k6-0805-res, 19.05, 12.07, 0.00
R20, SMD, 10K, 0805-RES, 10k-0805-res, 29.21, 12.07, 180.00
R21, SMD, 5k6, 0805-RES, 5k6-0805-res, 34.29, 12.07, 0.00
R22, SMD, 10K, 0805-RES, 10k-0805-res, 44.45, 12.07, 180.00
R23, SMD, 5k6, 0805-RES, 5k6-0805-res, 49.53, 12.07, 0.00
R24, SMD, 10K, 0805-RES, 10k-0805-res, 58.42, 12.07, 180.00
R25, SMD, 5k6, 0805-RES, 5k6-0805-res, 63.50, 12.07, 0.00
