# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
BOARD1, PTH, BOARD80X100, BOARD-DINRAIL-3.17INX10CM, board80x100-board-dinrail-3.17inx10cm, 0.00, 0.00, 0.00, 0.00
C1, SMD, 10uF, 0603-CAP, 10uf-0603-cap, 69.85, 53.34, 270.00, 90.00
C2, SMD, 0.1uF, 0603-CAP, 0.1uf-0603-cap, 78.74, 53.34, 270.00, 90.00
C5, SMD, 220uF, 0810-CAP, 220uf-0810-cap, 85.73, 55.25, 90.00, -90.00
CON1, PTH, , RJ25-INVERTED, -rj25-inverted, 0.00, 0.00, 0.00, 0.00
CON3, PTH, , MSTBA4, -mstba4, 0.00, 0.00, 180.00, -180.00
CON6, PTH, , MSTBA2, -mstba2, 0.00, 0.00, 180.00, -180.00
CON7, PTH, , MSTBA2, -mstba2, 0.00, 0.00, 180.00, -180.00
CON8, PTH, , MSTBA4, -mstba4, 0.00, 0.00, 180.00, -180.00
FID-LR, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 90.17, 7.62, 0.00, 0.00
FID-UL, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 10.16, 92.71, 0.00, 0.00
OSHW1, PTH, OSHW-LOGOL, OSHW-LOGO-L, oshw-logol-oshw-logo-l, 0.00, 0.00, 0.00, 0.00
POWER, PTH, , MSTBA2, -mstba2, 0.00, 0.00, 0.00, 0.00
Q1, SMD, DMN4468, SO08, dmn4468-so08, 7.62, 55.25, 0.00, 0.00
Q2, SMD, DMN4468, SO08, dmn4468-so08, 19.05, 55.25, 0.00, 0.00
Q3, SMD, DMN4468, SO08, dmn4468-so08, 36.83, 55.25, 0.00, 0.00
Q7, SMD, DMN4468, SO08, dmn4468-so08, 57.15, 55.25, 0.00, 0.00
R3, SMD, 10k, 0603-RES, 10k-0603-res, 23.50, 53.34, 90.00, -90.00
R4, SMD, 10k, 0603-RES, 10k-0603-res, 12.07, 53.34, 90.00, -90.00
R5, SMD, 10k, 0603-RES, 10k-0603-res, 41.27, 53.34, 90.00, -90.00
R9, SMD, 10k, 0603-RES, 10k-0603-res, 61.60, 53.34, 90.00, -90.00
