# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
BOARD1,PTH,,BOARD-DINRAIL-3.17INX10CM,-board-dinrail-3.17inx10cm,0.00,0.00,0.00,0.00
CON-AA,PTH,,RJ45-NO-SHIELD,-rj45-no-shield,0.00,0.00,180.00,-180.00
CON-AB,PTH,,RJ45-NO-SHIELD,-rj45-no-shield,0.00,0.00,180.00,-180.00
CON-BA,PTH,,RJ45-NO-SHIELD,-rj45-no-shield,0.00,0.00,180.00,-180.00
CON-BB,PTH,,RJ45-NO-SHIELD,-rj45-no-shield,0.00,0.00,180.00,-180.00
CON1,PTH,,RJ24-INVERTED-PINS,-rj24-inverted-pins,0.00,0.00,180.00,-180.00
CON2,PTH,,RJ24-INVERTED-PINS,-rj24-inverted-pins,0.00,0.00,180.00,-180.00
FIDLR,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,88.90,3.81,0.00,0.00
FIDUL,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,11.43,96.52,0.00,0.00
LED1,SMD,Y,0603-LED,y-0603-led,68.58,34.29,0.00,0.00
LEDAA,SMD,Y,0603-LED,y-0603-led,87.63,82.93,180.00,-180.00
LEDAB,SMD,Y,0603-LED,y-0603-led,67.18,82.93,180.00,-180.00
LEDBA,SMD,Y,0603-LED,y-0603-led,46.86,82.93,180.00,-180.00
LEDBB,SMD,Y,0603-LED,y-0603-led,26.54,82.93,180.00,-180.00
R1,SMD,2K2,0603-RES,2k2-0603-res,68.58,29.21,180.00,-180.00
R2,SMD,2K2,0603-RES,2k2-0603-res,87.63,79.12,0.00,0.00
R3,SMD,2K2,0603-RES,2k2-0603-res,67.18,79.12,0.00,0.00
R4,SMD,2K2,0603-RES,2k2-0603-res,46.86,79.12,0.00,0.00
R5,SMD,2K2,0603-RES,2k2-0603-res,26.54,79.12,0.00,0.00
U1,SMD,MAX4702EUE+,MAX4702EUE+,max4702eue+-max4702eue+,76.20,42.93,0.00,0.00
U2,SMD,74LVC1G97GW,SOT363,74lvc1g97gw-sot363,67.18,74.04,0.00,0.00
U3,SMD,74LVC1G97GW,SOT363,74lvc1g97gw-sot363,46.86,74.04,0.00,0.00
U4,SMD,74LVC1G97GW,SOT363,74lvc1g97gw-sot363,26.54,74.04,0.00,0.00
U5,SMD,74LVC1G97GW,SOT363,74lvc1g97gw-sot363,8.89,61.47,0.00,0.00
U6,SMD,74LVC1G97GW,SOT363,74lvc1g97gw-sot363,5.84,66.42,0.00,0.00
U7,SMD,74LVC1G97GW,SOT363,74lvc1g97gw-sot363,5.84,71.50,0.00,0.00
U8,SMD,74LVC1G97GW,SOT363,74lvc1g97gw-sot363,87.63,74.04,0.00,0.00
UA,SMD,MAX4702EUE+,MAX4702EUE+,max4702eue+-max4702eue+,67.31,56.39,0.00,0.00
UB,SMD,MAX4702EUE+,MAX4702EUE+,max4702eue+-max4702eue+,25.40,56.39,0.00,0.00
