# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
C1,SMD,0.1UF,0603-CAP,0.1uf-0603-cap,23.23,21.34,270.00,90.00
CON4,PTH,3.5mm,SCREWTERMINAL-3.5MM-4,3.5mm-screwterminal-3.5mm-4,0.00,0.00,270.00,90.00
CON5,PTH,3.5mm,SCREWTERMINAL-3.5MM-4,3.5mm-screwterminal-3.5mm-4,0.00,0.00,270.00,90.00
FID1,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,47.86,1.91,0.00,0.00
FID3,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,8.24,37.21,0.00,0.00
HEAD1,PTH,2mm,4P-2.0,2mm-4p-2.0,0.00,0.00,270.00,90.00
HEAD2,PTH,2mm,4P-2.0,2mm-4p-2.0,0.00,0.00,270.00,90.00
IC1,SMD,74HS139A,SO16,74hs139a-so16,29.45,21.21,0.00,0.00
IO4,PTH,RJ12/6,RJ25-INVERTED,rj12/6-rj25-inverted,0.00,0.00,90.00,-90.00
R4,SMD,1k0,0603-RES,1k0-0603-res,19.42,14.22,0.00,0.00
R6,SMD,2k2,0603-RES,2k2-0603-res,19.42,10.41,0.00,0.00
R7,SMD,2k2,0603-RES,2k2-0603-res,19.42,18.03,0.00,0.00
R8,SMD,1k0,0603-RES,1k0-0603-res,19.42,30.10,0.00,0.00
R9,SMD,2k2,0603-RES,2k2-0603-res,19.42,26.92,0.00,0.00
R10,SMD,2k2,0603-RES,2k2-0603-res,19.42,33.27,0.00,0.00
U$1,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
U$2,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
