# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
BOARD,PTH,BOARD,BOARD-10X10-2X2-PANEL,board-board-10x10-2x2-panel,0.00,0.00,0.00,0.00
C1X11,SMD,0.1UF,0603-CAP,0.1uf-0603-cap,23.23,27.69,270.00,90.00
C1X12,SMD,0.1UF,0603-CAP,0.1uf-0603-cap,23.23,71.34,270.00,90.00
C1X21,SMD,0.1UF,0603-CAP,0.1uf-0603-cap,73.23,27.69,270.00,90.00
C1X22,SMD,0.1UF,0603-CAP,0.1uf-0603-cap,73.23,71.34,270.00,90.00
CON4X11,PTH,3.5mm,SCREWTERMINAL-3.5MM-4,3.5mm-screwterminal-3.5mm-4,0.00,0.00,270.00,90.00
CON4X12,PTH,3.5mm,SCREWTERMINAL-3.5MM-4,3.5mm-screwterminal-3.5mm-4,0.00,0.00,270.00,90.00
CON4X21,PTH,3.5mm,SCREWTERMINAL-3.5MM-4,3.5mm-screwterminal-3.5mm-4,0.00,0.00,270.00,90.00
CON4X22,PTH,3.5mm,SCREWTERMINAL-3.5MM-4,3.5mm-screwterminal-3.5mm-4,0.00,0.00,270.00,90.00
CON5X11,PTH,3.5mm,SCREWTERMINAL-3.5MM-4,3.5mm-screwterminal-3.5mm-4,0.00,0.00,270.00,90.00
CON5X12,PTH,3.5mm,SCREWTERMINAL-3.5MM-4,3.5mm-screwterminal-3.5mm-4,0.00,0.00,270.00,90.00
CON5X21,PTH,3.5mm,SCREWTERMINAL-3.5MM-4,3.5mm-screwterminal-3.5mm-4,0.00,0.00,270.00,90.00
CON5X22,PTH,3.5mm,SCREWTERMINAL-3.5MM-4,3.5mm-screwterminal-3.5mm-4,0.00,0.00,270.00,90.00
FID1X11,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,47.86,8.26,0.00,0.00
FID1X12,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,47.86,51.91,0.00,0.00
FID1X21,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,97.86,8.26,0.00,0.00
FID1X22,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,97.86,51.91,0.00,0.00
FID3X11,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,8.24,43.56,0.00,0.00
FID3X12,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,8.24,87.21,0.00,0.00
FID3X21,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,58.24,43.56,0.00,0.00
FID3X22,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,58.24,87.21,0.00,0.00
FIDLR,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,92.06,3.39,0.00,0.00
FIDUL,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,9.51,96.10,0.00,0.00
HEAD1X11,PTH,2mm,4P-2.0,2mm-4p-2.0,0.00,0.00,270.00,90.00
HEAD1X12,PTH,2mm,4P-2.0,2mm-4p-2.0,0.00,0.00,270.00,90.00
HEAD1X21,PTH,2mm,4P-2.0,2mm-4p-2.0,0.00,0.00,270.00,90.00
HEAD1X22,PTH,2mm,4P-2.0,2mm-4p-2.0,0.00,0.00,270.00,90.00
HEAD2X11,PTH,2mm,4P-2.0,2mm-4p-2.0,0.00,0.00,270.00,90.00
HEAD2X12,PTH,2mm,4P-2.0,2mm-4p-2.0,0.00,0.00,270.00,90.00
HEAD2X21,PTH,2mm,4P-2.0,2mm-4p-2.0,0.00,0.00,270.00,90.00
HEAD2X22,PTH,2mm,4P-2.0,2mm-4p-2.0,0.00,0.00,270.00,90.00
IC1X11,SMD,74HS139A,SO16,74hs139a-so16,29.45,27.56,0.00,0.00
IC1X12,SMD,74HS139A,SO16,74hs139a-so16,29.45,71.21,0.00,0.00
IC1X21,SMD,74HS139A,SO16,74hs139a-so16,79.45,27.56,0.00,0.00
IC1X22,SMD,74HS139A,SO16,74hs139a-so16,79.45,71.21,0.00,0.00
IO4X11,PTH,RJ12/6,RJ25-INVERTED,rj12/6-rj25-inverted,0.00,0.00,90.00,-90.00
IO4X12,PTH,RJ12/6,RJ25-INVERTED,rj12/6-rj25-inverted,0.00,0.00,90.00,-90.00
