# name, smd?, value, package, component, x, y, angle
BOARD, PTH, BOARD70X50-HOHOLES, BOARD-7X5-TEMPLATE, board70x50-hoholes-board-7x5-template, 0.00, 0.00, 0.00
C1, SMD, 10uf, 0805-CAP, 10uf-0805-cap, 33.02, 30.48, 90.00
C2, SMD, 0.1uf, 0805-CAP, 0.1uf-0805-cap, 76.20, 27.94, 0.00
C3, SMD, 10uf, 0805-CAP, 10uf-0805-cap, 30.48, 30.48, 90.00
C4, SMD, 2.2uf, 0805-CAP, 2.2uf-0805-cap, 53.34, 45.72, 270.00
C5, SMD, 10uf, 0805-CAP, 10uf-0805-cap, 20.32, 30.48, 270.00
CON2, PTH, RJ12/6, RJ25-INVERTED, rj12/6-rj25-inverted, 0.00, 0.00, 270.00
D6, SMD, BAV99, SOT23, bav99-sot23, 60.33, 49.53, 0.00
FEEDBACK, PTH, DPDT, 8X8-SQ-PB, dpdt-8x8-sq-pb, 0.00, 0.00, 0.00
FID1, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 17.78, 71.12, 0.00
FID2, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 82.55, 26.67, 0.00
FROG, PTH, DPDT, 8X8-SQ-PB, dpdt-8x8-sq-pb, 0.00, 0.00, 180.00
IC1, SMD, TC4428A, SO-08, tc4428a-so-08, 48.90, 31.75, 0.00
IC2, SMD, NE555S, SO08, ne555s-so08, 48.26, 47.62, 0.00
LED3, SMD, Y, 0603-LED, y-0603-led, 41.27, 42.55, 0.00
LEDN, SMD, G, 0603-LED, g-0603-led, 41.27, 37.47, 0.00
LEDR, SMD, R, 0603-LED, r-0603-led, 41.27, 40.01, 0.00
MOTOR, PTH, DPDT, 8X8-SQ-PB, dpdt-8x8-sq-pb, 0.00, 0.00, 0.00
Q1, SMD, PMBT2222, SOT23, pmbt2222-sot23, 60.33, 44.45, 180.00
R2, SMD, 10k, 0805-RES, 10k-0805-res, 43.18, 50.16, 90.00
R3, SMD, 10k, 0805-RES, 10k-0805-res, 33.66, 42.55, 90.00
R4, SMD, 1M0, 0805-RES, 1m0-0805-res, 56.52, 45.72, 270.00
R5, SMD, 10k, 0805-RES, 10k-0805-res, 31.12, 42.55, 90.00
R6, SMD, 2K0, 0805-RES, 2k0-0805-res, 48.26, 38.48, 0.00
R7, SMD, 10K, 0805-RES, 10k-0805-res, 64.14, 48.26, 270.00
R8, SMD, 1K0, 0805-RES, 1k0-0805-res, 48.26, 42.55, 0.00
TR1, PTH, CoilCraft, TH-T4, coilcraft-th-t4, 0.00, 0.00, 180.00
VR1, SMD, LM1117-5, SOT223, lm1117-5-sot223, 25.40, 29.21, 180.00
X1, PTH, 0.156 Molex, KK-156-8-F, 0.156 molex-kk-156-8-f, 0.00, 0.00, 270.00
X2, PTH, MSTBA5, MSTBA5, mstba5-mstba5, 0.00, 0.00, 180.00
