# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
C1,SMD,10uf,0603-CAP,10uf-0603-cap,6.35,63.50,180.00,-180.00
C2,SMD,100uf,PANASONIC_D,100uf-panasonic_d,5.08,49.53,270.00,90.00
C3,SMD,2.2uf,0603-CAP,2.2uf-0603-cap,24.77,30.48,0.00,0.00
C4,SMD,0.1uf,0603-CAP,0.1uf-0603-cap,3.81,8.89,270.00,90.00
CON1,PTH,RJ12/6,RJ25-INVERTED,rj12/6-rj25-inverted,0.00,0.00,180.00,-180.00
D1,SMD,BAV99,SOT23,bav99-sot23,28.07,24.38,270.00,90.00
FEEDBACK,PTH,DPDT,8X8-SQ-PB,dpdt-8x8-sq-pb,0.00,0.00,270.00,90.00
FID1,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,1.91,66.67,270.00,90.00
FID2,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,48.26,1.91,270.00,90.00
FROG,PTH,DPDT,8X8-SQ-PB,dpdt-8x8-sq-pb,0.00,0.00,90.00,-90.00
IC1,SMD,TC4428A,SO-08,tc4428a-so-08,7.62,36.20,270.00,90.00
IC2,SMD,NE555S,SO-08,ne555s-so-08,24.77,36.20,270.00,90.00
J1,PTH,0.156,KK-156-8-F,0.156-kk-156-8-f,0.00,0.00,180.00,-180.00
LEDN,SMD,G,0603-LED,g-0603-led,13.34,42.55,90.00,-90.00
LEDO,SMD,Y,0603-LED,y-0603-led,19.69,42.55,90.00,-90.00
LEDR,SMD,R,0603-LED,r-0603-led,10.79,42.55,90.00,-90.00
LMP1,PTH,12v,BULB-3156,12v-bulb-3156,0.00,0.00,90.00,-90.00
MOTOR,PTH,DPDT,8X8-SQ-PB,dpdt-8x8-sq-pb,0.00,0.00,270.00,90.00
OSHW1,PTH,OSHW,OSHW-LOGO-M,oshw-oshw-logo-m,0.00,0.00,0.00,0.00
Q1,SMD,NPN,SOT23,npn-sot23,22.99,24.38,270.00,90.00
R1,SMD,10k,0603-RES,10k-0603-res,17.02,30.48,0.00,0.00
R2,SMD,10k,0603-RES,10k-0603-res,17.02,27.94,0.00,0.00
R3,SMD,10k,0603-RES,10k-0603-res,24.77,42.55,90.00,-90.00
R4,SMD,2K0,0603-RES,2k0-0603-res,14.35,36.20,270.00,90.00
R5,SMD,1K0,0603-RES,1k0-0603-res,19.69,36.20,270.00,90.00
R6,SMD,1M0,0603-RES,1m0-0603-res,24.77,27.94,0.00,0.00
R7,SMD,10K,0603-RES,10k-0603-res,30.23,27.94,0.00,0.00
TR1,PTH,CoilCraft,TH-T4,coilcraft-th-t4,0.00,0.00,90.00,-90.00
VR1,SMD,LM1117-5,SOT223,lm1117-5-sot223,5.08,58.42,90.00,-90.00
X2,PTH,0.200,MSTBA5,0.200-mstba5,0.00,0.00,90.00,-90.00
