# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
CARRIER, PTH, , BOARD-DINRAIL-3.17IN-5X2-IOP, -board-dinrail-3.17in-5x2-iop, 0.00, 0.00, 0.00, 0.00
FID-LR, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 93.98, 10.16, 0.00, 0.00
FID-UL, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 5.08, 91.44, 0.00, 0.00
JP1X11, SMD, CONNECTOR-M05X2EDGE, 2X5-EDGE, connector-m05x2edge-2x5-edge, 16.51, 15.49, 90.00, -90.00
JP1X12, SMD, CONNECTOR-M05X2EDGE, 2X5-EDGE, connector-m05x2edge-2x5-edge, 16.51, 53.59, 90.00, -90.00
JP1X21, SMD, CONNECTOR-M05X2EDGE, 2X5-EDGE, connector-m05x2edge-2x5-edge, 34.29, 15.49, 90.00, -90.00
JP1X22, SMD, CONNECTOR-M05X2EDGE, 2X5-EDGE, connector-m05x2edge-2x5-edge, 34.29, 53.59, 90.00, -90.00
JP1X31, SMD, CONNECTOR-M05X2EDGE, 2X5-EDGE, connector-m05x2edge-2x5-edge, 52.07, 15.49, 90.00, -90.00
JP1X32, SMD, CONNECTOR-M05X2EDGE, 2X5-EDGE, connector-m05x2edge-2x5-edge, 52.07, 53.59, 90.00, -90.00
JP1X41, SMD, CONNECTOR-M05X2EDGE, 2X5-EDGE, connector-m05x2edge-2x5-edge, 69.85, 15.49, 90.00, -90.00
JP1X42, SMD, CONNECTOR-M05X2EDGE, 2X5-EDGE, connector-m05x2edge-2x5-edge, 69.85, 53.59, 90.00, -90.00
JP1X51, SMD, CONNECTOR-M05X2EDGE, 2X5-EDGE, connector-m05x2edge-2x5-edge, 87.63, 15.49, 90.00, -90.00
JP1X52, SMD, CONNECTOR-M05X2EDGE, 2X5-EDGE, connector-m05x2edge-2x5-edge, 87.63, 53.59, 90.00, -90.00
R9X11, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R9X12, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R9X21, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R9X22, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R9X31, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R9X32, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R9X41, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R9X42, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R9X51, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R9X52, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R10X11, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R10X12, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R10X21, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R10X22, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R10X31, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R10X32, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R10X41, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R10X42, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R10X51, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R10X52, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R11X11, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R11X12, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R11X21, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R11X22, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R11X31, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R11X32, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R11X41, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R11X42, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R11X51, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R11X52, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R12X11, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R12X12, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R12X21, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R12X22, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R12X31, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R12X32, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R12X41, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R12X42, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R12X51, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
R12X52, PTH, NOSTUFF, CUT-R, nostuff-cut-r, 0.00, 0.00, 90.00, -90.00
