# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
C1, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 3.56, 18.67, 90.00, -90.00
C2, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 6.86, 18.67, 90.00, -90.00
C3, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 10.16, 18.67, 90.00, -90.00
C4, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 13.46, 18.67, 90.00, -90.00
D1, SMD, BAT54S, SOT23, bat54s-sot23, 3.56, 14.86, 90.00, -90.00
D2, SMD, BAT54S, SOT23, bat54s-sot23, 6.86, 14.86, 90.00, -90.00
D3, SMD, BAT54S, SOT23, bat54s-sot23, 10.16, 14.86, 90.00, -90.00
D4, SMD, BAT54S, SOT23, bat54s-sot23, 13.46, 14.86, 90.00, -90.00
JP1, PTH, CONNECTOR-M05X2, IOB-V3-MODULE, connector-m05x2-iob-v3-module, 0.00, 0.00, 270.00, 90.00
R5, SMD, 1K0, 0603-RES, 1k0-0603-res, 3.56, 10.92, 90.00, -90.00
R6, SMD, 1K0, 0603-RES, 1k0-0603-res, 6.86, 10.92, 90.00, -90.00
R7, SMD, 1K0, 0603-RES, 1k0-0603-res, 10.16, 10.92, 90.00, -90.00
R8, SMD, 1K0, 0603-RES, 1k0-0603-res, 13.46, 10.92, 90.00, -90.00
R9, SMD, 82R, 0805-RES, 82r-0805-res, 13.46, 25.02, 90.00, -90.00
R10, SMD, 82R, 0805-RES, 82r-0805-res, 10.16, 25.02, 90.00, -90.00
R11, SMD, 82R, 0805-RES, 82r-0805-res, 6.99, 25.02, 90.00, -90.00
R12, SMD, 82R, 0805-RES, 82r-0805-res, 3.56, 25.02, 90.00, -90.00
