# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
C1X11,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,11.18,31.37,90.00,-90.00
C1X12,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,11.18,69.47,90.00,-90.00
C1X21,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,28.96,31.37,90.00,-90.00
C1X22,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,28.96,69.47,90.00,-90.00
C1X31,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,46.74,31.37,90.00,-90.00
C1X32,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,46.74,69.47,90.00,-90.00
C1X41,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,64.52,31.37,90.00,-90.00
C1X42,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,64.52,69.47,90.00,-90.00
C1X51,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,82.30,31.37,90.00,-90.00
C1X52,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,82.30,69.47,90.00,-90.00
C2X11,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,14.48,31.37,90.00,-90.00
C2X12,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,14.48,69.47,90.00,-90.00
C2X21,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,32.26,31.37,90.00,-90.00
C2X22,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,32.26,69.47,90.00,-90.00
C2X31,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,50.04,31.37,90.00,-90.00
C2X32,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,50.04,69.47,90.00,-90.00
C2X41,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,67.82,31.37,90.00,-90.00
C2X42,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,67.82,69.47,90.00,-90.00
C2X51,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,85.60,31.37,90.00,-90.00
C2X52,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,85.60,69.47,90.00,-90.00
C3X11,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,17.78,31.37,90.00,-90.00
C3X12,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,17.78,69.47,90.00,-90.00
C3X21,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,35.56,31.37,90.00,-90.00
C3X22,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,35.56,69.47,90.00,-90.00
C3X31,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,53.34,31.37,90.00,-90.00
C3X32,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,53.34,69.47,90.00,-90.00
C3X41,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,71.12,31.37,90.00,-90.00
C3X42,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,71.12,69.47,90.00,-90.00
C3X51,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,88.90,31.37,90.00,-90.00
C3X52,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,88.90,69.47,90.00,-90.00
C4X11,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,21.08,31.37,90.00,-90.00
C4X12,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,21.08,69.47,90.00,-90.00
C4X21,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,38.86,31.37,90.00,-90.00
C4X22,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,38.86,69.47,90.00,-90.00
C4X31,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,56.64,31.37,90.00,-90.00
C4X32,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,56.64,69.47,90.00,-90.00
C4X41,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,74.42,31.37,90.00,-90.00
C4X42,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,74.42,69.47,90.00,-90.00
C4X51,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,92.20,31.37,90.00,-90.00
C4X52,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,92.20,69.47,90.00,-90.00
CARRIER,PTH,BOARD,BOARD-DINRAIL-3.17IN-5X2-IOP,board-board-dinrail-3.17in-5x2-iop,0.00,0.00,0.00,0.00
D1X11,SMD,BAT54S,SOT23,bat54s-sot23,11.18,27.56,90.00,-90.00
D1X12,SMD,BAT54S,SOT23,bat54s-sot23,11.18,65.66,90.00,-90.00
D1X21,SMD,BAT54S,SOT23,bat54s-sot23,28.96,27.56,90.00,-90.00
D1X22,SMD,BAT54S,SOT23,bat54s-sot23,28.96,65.66,90.00,-90.00
D1X31,SMD,BAT54S,SOT23,bat54s-sot23,46.74,27.56,90.00,-90.00
D1X32,SMD,BAT54S,SOT23,bat54s-sot23,46.74,65.66,90.00,-90.00
D1X41,SMD,BAT54S,SOT23,bat54s-sot23,64.52,27.56,90.00,-90.00
D1X42,SMD,BAT54S,SOT23,bat54s-sot23,64.52,65.66,90.00,-90.00
D1X51,SMD,BAT54S,SOT23,bat54s-sot23,82.30,27.56,90.00,-90.00
D1X52,SMD,BAT54S,SOT23,bat54s-sot23,82.30,65.66,90.00,-90.00
D2X11,SMD,BAT54S,SOT23,bat54s-sot23,14.48,27.56,90.00,-90.00
D2X12,SMD,BAT54S,SOT23,bat54s-sot23,14.48,65.66,90.00,-90.00
D2X21,SMD,BAT54S,SOT23,bat54s-sot23,32.26,27.56,90.00,-90.00
D2X22,SMD,BAT54S,SOT23,bat54s-sot23,32.26,65.66,90.00,-90.00
D2X31,SMD,BAT54S,SOT23,bat54s-sot23,50.04,27.56,90.00,-90.00
D2X32,SMD,BAT54S,SOT23,bat54s-sot23,50.04,65.66,90.00,-90.00
D2X41,SMD,BAT54S,SOT23,bat54s-sot23,67.82,27.56,90.00,-90.00
D2X42,SMD,BAT54S,SOT23,bat54s-sot23,67.82,65.66,90.00,-90.00
D2X51,SMD,BAT54S,SOT23,bat54s-sot23,85.60,27.56,90.00,-90.00
D2X52,SMD,BAT54S,SOT23,bat54s-sot23,85.60,65.66,90.00,-90.00
D3X11,SMD,BAT54S,SOT23,bat54s-sot23,17.78,27.56,90.00,-90.00
D3X12,SMD,BAT54S,SOT23,bat54s-sot23,17.78,65.66,90.00,-90.00
D3X21,SMD,BAT54S,SOT23,bat54s-sot23,35.56,27.56,90.00,-90.00
D3X22,SMD,BAT54S,SOT23,bat54s-sot23,35.56,65.66,90.00,-90.00
D3X31,SMD,BAT54S,SOT23,bat54s-sot23,53.34,27.56,90.00,-90.00
D3X32,SMD,BAT54S,SOT23,bat54s-sot23,53.34,65.66,90.00,-90.00
D3X41,SMD,BAT54S,SOT23,bat54s-sot23,71.12,27.56,90.00,-90.00
D3X42,SMD,BAT54S,SOT23,bat54s-sot23,71.12,65.66,90.00,-90.00
D3X51,SMD,BAT54S,SOT23,bat54s-sot23,88.90,27.56,90.00,-90.00
