# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
JP1X11,PTH,0.100,2X5_NOSILK,0.100-2x5_nosilk,0.00,0.00,270.00,90.00
JP1X12,PTH,0.100,2X5_NOSILK,0.100-2x5_nosilk,0.00,0.00,270.00,90.00
JP1X13,PTH,0.100,2X5_NOSILK,0.100-2x5_nosilk,0.00,0.00,270.00,90.00
JP1X14,PTH,0.100,2X5_NOSILK,0.100-2x5_nosilk,0.00,0.00,270.00,90.00
JP1X15,PTH,0.100,2X5_NOSILK,0.100-2x5_nosilk,0.00,0.00,270.00,90.00
JP1X16,PTH,0.100,2X5_NOSILK,0.100-2x5_nosilk,0.00,0.00,270.00,90.00
JP1X17,PTH,0.100,2X5_NOSILK,0.100-2x5_nosilk,0.00,0.00,270.00,90.00
JP1X18,PTH,0.100,2X5_NOSILK,0.100-2x5_nosilk,0.00,0.00,270.00,90.00
JP1X19,PTH,0.100,2X5_NOSILK,0.100-2x5_nosilk,0.00,0.00,270.00,90.00
JP1X21,PTH,0.100,2X5_NOSILK,0.100-2x5_nosilk,0.00,0.00,270.00,90.00
JP1X22,PTH,0.100,2X5_NOSILK,0.100-2x5_nosilk,0.00,0.00,270.00,90.00
JP1X23,PTH,0.100,2X5_NOSILK,0.100-2x5_nosilk,0.00,0.00,270.00,90.00
JP1X24,PTH,0.100,2X5_NOSILK,0.100-2x5_nosilk,0.00,0.00,270.00,90.00
JP1X25,PTH,0.100,2X5_NOSILK,0.100-2x5_nosilk,0.00,0.00,270.00,90.00
JP1X26,PTH,0.100,2X5_NOSILK,0.100-2x5_nosilk,0.00,0.00,270.00,90.00
JP1X27,PTH,0.100,2X5_NOSILK,0.100-2x5_nosilk,0.00,0.00,270.00,90.00
JP1X28,PTH,0.100,2X5_NOSILK,0.100-2x5_nosilk,0.00,0.00,270.00,90.00
JP1X29,PTH,0.100,2X5_NOSILK,0.100-2x5_nosilk,0.00,0.00,270.00,90.00
JP1X31,PTH,0.100,2X5_NOSILK,0.100-2x5_nosilk,0.00,0.00,270.00,90.00
JP1X32,PTH,0.100,2X5_NOSILK,0.100-2x5_nosilk,0.00,0.00,270.00,90.00
JP1X33,PTH,0.100,2X5_NOSILK,0.100-2x5_nosilk,0.00,0.00,270.00,90.00
JP1X34,PTH,0.100,2X5_NOSILK,0.100-2x5_nosilk,0.00,0.00,270.00,90.00
JP1X35,PTH,0.100,2X5_NOSILK,0.100-2x5_nosilk,0.00,0.00,270.00,90.00
JP1X36,PTH,0.100,2X5_NOSILK,0.100-2x5_nosilk,0.00,0.00,270.00,90.00
JP1X37,PTH,0.100,2X5_NOSILK,0.100-2x5_nosilk,0.00,0.00,270.00,90.00
JP1X38,PTH,0.100,2X5_NOSILK,0.100-2x5_nosilk,0.00,0.00,270.00,90.00
JP1X39,PTH,0.100,2X5_NOSILK,0.100-2x5_nosilk,0.00,0.00,270.00,90.00
JP1X41,PTH,0.100,2X5_NOSILK,0.100-2x5_nosilk,0.00,0.00,270.00,90.00
JP1X42,PTH,0.100,2X5_NOSILK,0.100-2x5_nosilk,0.00,0.00,270.00,90.00
JP1X43,PTH,0.100,2X5_NOSILK,0.100-2x5_nosilk,0.00,0.00,270.00,90.00
