# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
C1,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,13.97,24.77,90.00,-90.00
C2,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,9.53,24.77,90.00,-90.00
C3,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,5.08,24.77,90.00,-90.00
D1,SMD,BAT54S,SOT23,bat54s-sot23,13.97,20.96,90.00,-90.00
D2,SMD,BAT54S,SOT23,bat54s-sot23,9.53,20.96,90.00,-90.00
D3,SMD,BAT54S,SOT23,bat54s-sot23,5.08,20.96,90.00,-90.00
D4,SMD,4.7v,SOT23,4.7v-sot23,2.54,13.34,270.00,90.00
JP1,PTH,CONNECTOR-M05X2,IOB-V3-MODULE,connector-m05x2-iob-v3-module,0.00,0.00,270.00,90.00
R1,SMD,10k,0603-RES,10k-0603-res,13.97,32.38,270.00,90.00
R2,SMD,10k,0603-RES,10k-0603-res,9.53,32.38,270.00,90.00
R3,SMD,10k,0603-RES,10k-0603-res,5.08,32.38,270.00,90.00
R4,SMD,1K0,0603-RES,1k0-0603-res,13.97,28.58,270.00,90.00
R5,SMD,1K0,0603-RES,1k0-0603-res,9.53,28.58,270.00,90.00
R6,SMD,1K0,0603-RES,1k0-0603-res,5.08,28.58,270.00,90.00
RM,SMD,1K0,0603-RES,1k0-0603-res,2.54,9.53,90.00,-90.00
RN,SMD,82R,0603-RES,82r-0603-res,9.53,15.88,270.00,90.00
RO,SMD,82R,0603-RES,82r-0603-res,5.08,15.88,270.00,90.00
RR,SMD,82R,0603-RES,82r-0603-res,13.97,15.88,270.00,90.00
