# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
C1X11,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,21.59,37.47,90.00,-90.00
C1X12,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,21.59,75.56,90.00,-90.00
C1X21,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,39.37,37.47,90.00,-90.00
C1X22,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,39.37,75.56,90.00,-90.00
C1X31,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,57.15,37.47,90.00,-90.00
C1X32,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,57.15,75.56,90.00,-90.00
C1X41,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,74.93,37.47,90.00,-90.00
C1X42,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,74.93,75.56,90.00,-90.00
C1X51,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,92.71,37.47,90.00,-90.00
C1X52,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,92.71,75.56,90.00,-90.00
C2X11,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,17.14,37.47,90.00,-90.00
C2X12,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,17.14,75.56,90.00,-90.00
C2X21,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,34.93,37.47,90.00,-90.00
C2X22,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,34.93,75.56,90.00,-90.00
C2X31,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,52.71,37.47,90.00,-90.00
C2X32,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,52.71,75.56,90.00,-90.00
C2X41,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,70.48,37.47,90.00,-90.00
C2X42,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,70.48,75.56,90.00,-90.00
C2X51,SMD,0.01uF,0603-CAP,0.01uf-0603-cap,88.27,37.47,90.00,-90.00
