# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
BOARDX11, PTH, I2C-EXPANDER, I2C-EXPANDER, i2c-expander-i2c-expander, 0.00, 0.00, 0.00, 0.00
BOARDX12, PTH, I2C-EXPANDER, I2C-EXPANDER, i2c-expander-i2c-expander, 0.00, 0.00, 0.00, 0.00
BOARDX13, PTH, I2C-EXPANDER, I2C-EXPANDER, i2c-expander-i2c-expander, 0.00, 0.00, 0.00, 0.00
C1X11, SMD, 0.1uF, 0603-CAP, 0.1uf-0603-cap, 52.32, 26.92, 270.00, 90.00
C1X12, SMD, 0.1uF, 0603-CAP, 0.1uf-0603-cap, 52.32, 59.94, 270.00, 90.00
C1X13, SMD, 0.1uF, 0603-CAP, 0.1uf-0603-cap, 52.32, 92.96, 270.00, 90.00
FID-LR, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 93.98, 8.89, 0.00, 0.00
FID-UL, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 5.08, 91.44, 0.00, 0.00
IC1X11, SMD, MAX7311, TSSOP24, max7311-tssop24, 48.26, 20.32, 90.00, -90.00
IC1X12, SMD, MAX7311, TSSOP24, max7311-tssop24, 48.26, 53.34, 90.00, -90.00
IC1X13, SMD, MAX7311, TSSOP24, max7311-tssop24, 48.26, 86.36, 90.00, -90.00
LED16X11, SMD, G, 0603-LED, g-0603-led, 48.26, 27.94, 0.00, 0.00
LED16X12, SMD, G, 0603-LED, g-0603-led, 48.26, 60.96, 0.00, 0.00
LED16X13, SMD, G, 0603-LED, g-0603-led, 48.26, 93.98, 0.00, 0.00
R17X11, SMD, 4k7, 0805-RES, 4k7-0805-res, 44.07, 26.92, 270.00, 90.00
R17X12, SMD, 4k7, 0805-RES, 4k7-0805-res, 44.07, 59.94, 270.00, 90.00
R17X13, SMD, 4k7, 0805-RES, 4k7-0805-res, 44.07, 92.96, 270.00, 90.00
SW1X11, PTH, A0, EDG-04, a0-edg-04, 0.00, 0.00, 180.00, -180.00
SW1X12, PTH, A0, EDG-04, a0-edg-04, 0.00, 0.00, 180.00, -180.00
SW1X13, PTH, A0, EDG-04, a0-edg-04, 0.00, 0.00, 180.00, -180.00
SW2X11, PTH, A1, EDG-04, a1-edg-04, 0.00, 0.00, 180.00, -180.00
SW2X12, PTH, A1, EDG-04, a1-edg-04, 0.00, 0.00, 180.00, -180.00
SW2X13, PTH, A1, EDG-04, a1-edg-04, 0.00, 0.00, 180.00, -180.00
SW3X11, PTH, A2, EDG-04, a2-edg-04, 0.00, 0.00, 180.00, -180.00
SW3X12, PTH, A2, EDG-04, a2-edg-04, 0.00, 0.00, 180.00, -180.00
SW3X13, PTH, A2, EDG-04, a2-edg-04, 0.00, 0.00, 180.00, -180.00
U$1X11, PTH, DOC-OSHW-LOGO-L, OSHW-LOGO-L, doc-oshw-logo-l-oshw-logo-l, 0.00, 0.00, 0.00, 0.00
U$1X12, PTH, DOC-OSHW-LOGO-L, OSHW-LOGO-L, doc-oshw-logo-l-oshw-logo-l, 0.00, 0.00, 0.00, 0.00
U$1X13, PTH, DOC-OSHW-LOGO-L, OSHW-LOGO-L, doc-oshw-logo-l-oshw-logo-l, 0.00, 0.00, 0.00, 0.00
U$5X1, PTH, , BOARD-TEMPLATE-IOB-I2C-3X1-ARRAY, -board-template-iob-i2c-3x1-array, 0.00, 0.00, 0.00, 0.00
