# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
C1X11, SMD, 0.1uF, 0603-CAP, 0.1uf-0603-cap, 52.32, 26.92, 270.00, 90.00
C1X12, SMD, 0.1uF, 0603-CAP, 0.1uf-0603-cap, 52.32, 59.94, 270.00, 90.00
C1X13, SMD, 0.1uF, 0603-CAP, 0.1uf-0603-cap, 52.32, 92.96, 270.00, 90.00
FID-LR, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 93.98, 8.89, 0.00, 0.00
FID-UL, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 5.08, 91.44, 0.00, 0.00
IC1X11, SMD, MAX7311, TSSOP24, max7311-tssop24, 48.26, 19.05, 90.00, -90.00
IC1X12, SMD, MAX7311, TSSOP24, max7311-tssop24, 48.26, 52.07, 90.00, -90.00
IC1X13, SMD, MAX7311, TSSOP24, max7311-tssop24, 48.26, 85.09, 90.00, -90.00
LED16X11, SMD, G, 0603-LED, g-0603-led, 48.26, 27.94, 0.00, 0.00
LED16X12, SMD, G, 0603-LED, g-0603-led, 48.26, 60.96, 0.00, 0.00
LED16X13, SMD, G, 0603-LED, g-0603-led, 48.26, 93.98, 0.00, 0.00
R17X11, SMD, 4k7, 0805-RES, 4k7-0805-res, 44.07, 26.92, 270.00, 90.00
R17X12, SMD, 4k7, 0805-RES, 4k7-0805-res, 44.07, 59.94, 270.00, 90.00
R17X13, SMD, 4k7, 0805-RES, 4k7-0805-res, 44.07, 92.96, 270.00, 90.00
