# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
BOARD,PTH,CONNECTOR-I2C-EXPANDER,I2C-EXPANDER,connector-i2c-expander-i2c-expander,0.00,0.00,0.00,0.00
C1,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,22.86,12.07,0.00,0.00
IC1,SMD,MCP23017SO,SO28W,mcp23017so-so28w,34.80,16.51,270.00,90.00
LED1,SMD,G,0603-LED,g-0603-led,35.56,27.94,180.00,-180.00
OSHW1,PTH,OSHW,OSHW-LOGO-M,oshw-oshw-logo-m,0.00,0.00,0.00,0.00
R1,SMD,10K,0603-RES,10k-0603-res,44.45,6.35,270.00,90.00
R2,SMD,10K,0603-RES,10k-0603-res,51.44,10.79,90.00,-90.00
R3,SMD,10K,0603-RES,10k-0603-res,48.26,10.79,90.00,-90.00
R4,SMD,4k7,0603-RES,4k7-0603-res,31.50,27.94,180.00,-180.00
SW1,PTH,SPSTx4,EDG-04,spstx4-edg-04,0.00,0.00,180.00,-180.00
