# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
C1X11, SMD, 0.1uF, 0603-CAP, 0.1uf-0603-cap, 35.56, 12.07, 0.00, 0.00
C1X12, SMD, 0.1uF, 0603-CAP, 0.1uf-0603-cap, 35.56, 45.09, 0.00, 0.00
C1X13, SMD, 0.1uF, 0603-CAP, 0.1uf-0603-cap, 35.56, 78.11, 0.00, 0.00
FID_LR, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 93.98, 8.89, 0.00, 0.00
FID_UL, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 5.08, 91.44, 0.00, 0.00
IC1X11, SMD, MCP23017SO, SO28W, mcp23017so-so28w, 47.50, 16.51, 270.00, 90.00
IC1X12, SMD, MCP23017SO, SO28W, mcp23017so-so28w, 47.50, 49.53, 270.00, 90.00
IC1X13, SMD, MCP23017SO, SO28W, mcp23017so-so28w, 47.50, 82.55, 270.00, 90.00
LED1X11, SMD, , 0805-LED, -0805-led, 48.26, 27.30, 180.00, -180.00
LED1X12, SMD, , 0805-LED, -0805-led, 48.26, 60.33, 180.00, -180.00
LED1X13, SMD, , 0805-LED, -0805-led, 48.26, 93.34, 180.00, -180.00
R1X11, SMD, 10K, 0603-RES, 10k-0603-res, 57.15, 6.35, 270.00, 90.00
R1X12, SMD, 10K, 0603-RES, 10k-0603-res, 57.15, 39.37, 270.00, 90.00
R1X13, SMD, 10K, 0603-RES, 10k-0603-res, 57.15, 72.39, 270.00, 90.00
R2X11, SMD, 10K, 0603-RES, 10k-0603-res, 64.14, 10.79, 90.00, -90.00
R2X12, SMD, 10K, 0603-RES, 10k-0603-res, 64.14, 43.82, 90.00, -90.00
R2X13, SMD, 10K, 0603-RES, 10k-0603-res, 64.14, 76.84, 90.00, -90.00
R3X11, SMD, 10K, 0603-RES, 10k-0603-res, 60.96, 10.79, 90.00, -90.00
R3X12, SMD, 10K, 0603-RES, 10k-0603-res, 60.96, 43.82, 90.00, -90.00
R3X13, SMD, 10K, 0603-RES, 10k-0603-res, 60.96, 76.84, 90.00, -90.00
R4X11, SMD, 2k2, 0603-RES, 2k2-0603-res, 48.26, 29.85, 0.00, 0.00
R4X12, SMD, 2k2, 0603-RES, 2k2-0603-res, 48.26, 62.87, 0.00, 0.00
R4X13, SMD, 2k2, 0603-RES, 2k2-0603-res, 48.26, 95.89, 0.00, 0.00
