# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
BOARDX11,PTH,CONNECTOR-I2C-EXPANDER,I2C-EXPANDER,connector-i2c-expander-i2c-expander,0.00,0.00,0.00,0.00
BOARDX12,PTH,CONNECTOR-I2C-EXPANDER,I2C-EXPANDER,connector-i2c-expander-i2c-expander,0.00,0.00,0.00,0.00
BOARDX13,PTH,CONNECTOR-I2C-EXPANDER,I2C-EXPANDER,connector-i2c-expander-i2c-expander,0.00,0.00,0.00,0.00
C1X11,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,48.26,25.65,0.00,0.00
C1X12,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,48.26,58.67,0.00,0.00
C1X13,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,48.26,91.69,0.00,0.00
FID_LR,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,93.98,8.89,0.00,0.00
FID_UL,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,5.08,91.44,0.00,0.00
IC1X11,SMD,PCA9685PW,TSSOP28,pca9685pw-tssop28,48.26,19.69,90.00,-90.00
IC1X12,SMD,PCA9685PW,TSSOP28,pca9685pw-tssop28,48.26,52.71,90.00,-90.00
IC1X13,SMD,PCA9685PW,TSSOP28,pca9685pw-tssop28,48.26,85.73,90.00,-90.00
R1X11,SMD,10k,0603-RES,10k-0603-res,54.74,8.51,180.00,-180.00
R1X12,SMD,10k,0603-RES,10k-0603-res,54.74,41.53,180.00,-180.00
R1X13,SMD,10k,0603-RES,10k-0603-res,54.74,74.55,180.00,-180.00
R2X11,SMD,10k,0603-RES,10k-0603-res,54.74,10.79,180.00,-180.00
R2X12,SMD,10k,0603-RES,10k-0603-res,54.74,43.82,180.00,-180.00
R2X13,SMD,10k,0603-RES,10k-0603-res,54.74,76.84,180.00,-180.00
R3X11,SMD,10k,0603-RES,10k-0603-res,71.12,8.51,180.00,-180.00
R3X12,SMD,10k,0603-RES,10k-0603-res,71.12,41.53,180.00,-180.00
R3X13,SMD,10k,0603-RES,10k-0603-res,71.12,74.55,180.00,-180.00
R4X11,SMD,10k,0603-RES,10k-0603-res,71.12,10.79,180.00,-180.00
R4X12,SMD,10k,0603-RES,10k-0603-res,71.12,43.82,180.00,-180.00
R4X13,SMD,10k,0603-RES,10k-0603-res,71.12,76.84,180.00,-180.00
R5X11,SMD,10k,0603-RES,10k-0603-res,71.12,17.91,180.00,-180.00
R5X12,SMD,10k,0603-RES,10k-0603-res,71.12,50.93,180.00,-180.00
R5X13,SMD,10k,0603-RES,10k-0603-res,71.12,83.95,180.00,-180.00
R6X11,SMD,10k,0603-RES,10k-0603-res,71.12,15.75,180.00,-180.00
R6X12,SMD,10k,0603-RES,10k-0603-res,71.12,48.77,180.00,-180.00
R6X13,SMD,10k,0603-RES,10k-0603-res,71.12,81.79,180.00,-180.00
SW1X11,PTH,SPSTx4,EDG-04,spstx4-edg-04,0.00,0.00,180.00,-180.00
SW1X12,PTH,SPSTx4,EDG-04,spstx4-edg-04,0.00,0.00,180.00,-180.00
SW1X13,PTH,SPSTx4,EDG-04,spstx4-edg-04,0.00,0.00,180.00,-180.00
SW2X11,PTH,SPSTx4,EDG-04,spstx4-edg-04,0.00,0.00,180.00,-180.00
SW2X12,PTH,SPSTx4,EDG-04,spstx4-edg-04,0.00,0.00,180.00,-180.00
SW2X13,PTH,SPSTx4,EDG-04,spstx4-edg-04,0.00,0.00,180.00,-180.00
U$1X11,PTH,OSHW,OSHW-LOGO-L,oshw-oshw-logo-l,0.00,0.00,0.00,0.00
U$1X12,PTH,OSHW,OSHW-LOGO-L,oshw-oshw-logo-l,0.00,0.00,0.00,0.00
U$1X13,PTH,OSHW,OSHW-LOGO-L,oshw-oshw-logo-l,0.00,0.00,0.00,0.00
U$5X1,PTH,BOARD,BOARD-TEMPLATE-IOB-I2C-3X1-ARRAY,board-board-template-iob-i2c-3x1-array,0.00,0.00,0.00,0.00
